#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
655981,24567069,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Geomyces destructans).,other,-,-,-,-,20181203,-
655981,31078763,cox1,-,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,cytochrome c oxidase subunit 1,20200909,-
655981,31078764,orf32,-,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,31078765,atp8,-,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,ATP synthase F0 subunit 8,20200909,-
655981,31078766,nad4l,-,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20200909,-
655981,31078767,nad5,-,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20200909,-
655981,31078768,trnV(aac),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078769,cob,-,-,-,MT,-,cytochrome b,protein-coding,-,-,-,cytochrome b,20200909,-
655981,31078770,trnC(gca),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078771,nad1,-,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20200909,-
655981,31078772,trnR(tct),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078773,atp6,-,-,-,MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,ATP synthase F0 subunit 6,20200909,-
655981,31078774,rrns,-,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
655981,31078775,trnY(gta),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078776,trnM(cat),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078777,trnN(gtt),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
