#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2588499,55619472,2,HWC47_gp02,SEA_ADELAIDE_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200910,-
2588499,55619473,3,HWC47_gp03,SEA_ADELAIDE_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2588499,55619474,20,HWC47_gp20,SEA_ADELAIDE_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619475,21,HWC47_gp21,SEA_ADELAIDE_21,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2588499,55619476,22,HWC47_gp22,SEA_ADELAIDE_22,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
2588499,55619477,31,HWC47_gp31,SEA_ADELAIDE_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619478,32,HWC47_gp32,SEA_ADELAIDE_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619479,33,HWC47_gp33,SEA_ADELAIDE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2588499,55619480,34,HWC47_gp34,SEA_ADELAIDE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619481,35,HWC47_gp35,SEA_ADELAIDE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619482,36,HWC47_gp36,SEA_ADELAIDE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619483,37,HWC47_gp37,SEA_ADELAIDE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619484,38,HWC47_gp38,SEA_ADELAIDE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619485,39,HWC47_gp39,SEA_ADELAIDE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2588499,55619486,40,HWC47_gp40,SEA_ADELAIDE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2588499,55619487,16,HWC47_gp16,SEA_ADELAIDE_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2588499,55619488,17,HWC47_gp17,SEA_ADELAIDE_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2588499,55619489,18,HWC47_gp18,SEA_ADELAIDE_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619490,19,HWC47_gp19,SEA_ADELAIDE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619491,41,HWC47_gp41,SEA_ADELAIDE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2588499,55619492,42,HWC47_gp42,SEA_ADELAIDE_42,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200912,-
2588499,55619493,43,HWC47_gp43,SEA_ADELAIDE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2588499,55619494,44,HWC47_gp44,SEA_ADELAIDE_44,-,-,-,VRR-NUC domain-containing protein,protein-coding,-,-,-,VRR-NUC domain-containing protein,20201217,-
2588499,55619495,12,HWC47_gp12,SEA_ADELAIDE_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
2588499,55619496,14,HWC47_gp13,SEA_ADELAIDE_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2588499,55619497,15,HWC47_gp15,SEA_ADELAIDE_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201117,-
2588499,55619498,13,HWC47_gp14,SEA_ADELAIDE_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2588499,55619499,26,HWC47_gp26,SEA_ADELAIDE_26,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2588499,55619500,27,HWC47_gp27,SEA_ADELAIDE_27,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210424,-
2588499,55619501,28,HWC47_gp28,SEA_ADELAIDE_28,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2588499,55619502,29,HWC47_gp29,SEA_ADELAIDE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
