#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1887649,29065579,2,BIZ70_gp002,SEA_JSWAG_2,-,-,-,ADP-ribosyltransferase,protein-coding,-,-,-,ADP-ribosyltransferase,20200719,-
1887649,29065580,3,BIZ70_gp003,SEA_JSWAG_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065581,4,BIZ70_gp004,SEA_JSWAG_4,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201010,-
1887649,29065582,5,BIZ70_gp005,SEA_JSWAG_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065583,6,BIZ70_gp006,SEA_JSWAG_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065584,7,BIZ70_gp007,SEA_JSWAG_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065585,8,BIZ70_gp008,SEA_JSWAG_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065586,9,BIZ70_gt001,SEA_JSWAG_9,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1887649,29065587,10,BIZ70_gt002,SEA_JSWAG_10,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1887649,29065588,11,BIZ70_gt003,SEA_JSWAG_11,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1887649,29065589,12,BIZ70_gp101,SEA_JSWAG_12,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200719,-
1887649,29065590,13,BIZ70_gp100,SEA_JSWAG_13,-,-,-,holin,protein-coding,-,-,-,holin,20200719,-
1887649,29065591,14,BIZ70_gp099,SEA_JSWAG_14,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200719,-
1887649,29065592,15,BIZ70_gp098,SEA_JSWAG_15,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1887649,29065593,16,BIZ70_gp097,SEA_JSWAG_16,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200719,-
1887649,29065594,17,BIZ70_gp096,SEA_JSWAG_17,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200719,-
1887649,29065595,18,BIZ70_gp095,SEA_JSWAG_18,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1887649,29065596,19,BIZ70_gp094,SEA_JSWAG_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065597,20,BIZ70_gp093,SEA_JSWAG_20,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200719,-
1887649,29065598,21,BIZ70_gp092,SEA_JSWAG_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
