#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2126724,54990335,HOT02_gp002,HOT02_gp002,phiSABS2_2,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20200910,-
2126724,54990336,HOT02_gp003,HOT02_gp003,phiSABS2_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990337,HOT02_gp004,HOT02_gp004,phiSABS2_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990338,HOT02_gp005,HOT02_gp005,phiSABS2_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990339,HOT02_gp006,HOT02_gp006,phiSABS2_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990340,HOT02_gp007,HOT02_gp007,phiSABS2_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990341,HOT02_gp008,HOT02_gp008,phiSABS2_8,-,-,-,YopX protein,protein-coding,-,-,-,YopX protein,20210403,-
2126724,54990342,HOT02_gp009,HOT02_gp009,phiSABS2_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990343,HOT02_gp010,HOT02_gp010,phiSABS2_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990344,HOT02_gp011,HOT02_gp011,phiSABS2_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990345,HOT02_gp012,HOT02_gp012,phiSABS2_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990346,HOT02_gp013,HOT02_gp013,phiSABS2_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990347,HOT02_gp014,HOT02_gp014,phiSABS2_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990348,HOT02_gp015,HOT02_gp015,phiSABS2_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990349,HOT02_gp016,HOT02_gp016,phiSABS2_16,-,-,-,serine/threonine protein phosphatase,protein-coding,-,-,-,serine/threonine protein phosphatase,20210403,-
2126724,54990350,HOT02_gp017,HOT02_gp017,phiSABS2_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990351,HOT02_gp018,HOT02_gp018,phiSABS2_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990352,HOT02_gp019,HOT02_gp019,phiSABS2_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990353,HOT02_gp020,HOT02_gp020,phiSABS2_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990354,HOT02_gp021,HOT02_gp021,phiSABS2_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990355,HOT02_gp022,HOT02_gp022,phiSABS2_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990356,HOT02_gp023,HOT02_gp023,phiSABS2_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990357,HOT02_gp024,HOT02_gp024,phiSABS2_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990358,HOT02_gp025,HOT02_gp025,phiSABS2_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990359,HOT02_gp026,HOT02_gp026,phiSABS2_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990360,HOT02_gp027,HOT02_gp027,phiSABS2_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990361,HOT02_gp028,HOT02_gp028,phiSABS2_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990362,HOT02_gp029,HOT02_gp029,phiSABS2_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990363,HOT02_gp030,HOT02_gp030,phiSABS2_30,-,-,-,tRNA maturase RNaseZ metal-dependent hydrolase,protein-coding,-,-,-,tRNA maturase RNaseZ metal-dependent hydrolase,20210403,-
2126724,54990364,HOT02_gp031,HOT02_gp031,phiSABS2_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990365,HOT02_gp032,HOT02_gp032,phiSABS2_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990366,HOT02_gp033,HOT02_gp033,phiSABS2_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990367,HOT02_gp034,HOT02_gp034,phiSABS2_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990368,HOT02_gp035,HOT02_gp035,phiSABS2_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990369,HOT02_gp036,HOT02_gp036,phiSABS2_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990370,HOT02_gp037,HOT02_gp037,phiSABS2_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990371,HOT02_gp038,HOT02_gp038,phiSABS2_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990372,HOT02_gp039,HOT02_gp039,phiSABS2_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990373,HOT02_gp040,HOT02_gp040,phiSABS2_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990374,HOT02_gp041,HOT02_gp041,phiSABS2_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990375,HOT02_gp042,HOT02_gp042,phiSABS2_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990376,HOT02_gp043,HOT02_gp043,phiSABS2_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990377,HOT02_gp044,HOT02_gp044,phiSABS2_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990378,HOT02_gp045,HOT02_gp045,phiSABS2_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990379,HOT02_gp046,HOT02_gp046,phiSABS2_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990380,HOT02_gp047,HOT02_gp047,phiSABS2_47,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20210403,-
2126724,54990381,HOT02_gp048,HOT02_gp048,phiSABS2_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990382,HOT02_gp049,HOT02_gp049,phiSABS2_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990383,HOT02_gp050,HOT02_gp050,phiSABS2_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990384,HOT02_gp051,HOT02_gp051,phiSABS2_51,-,-,-,Lar family restriction alleviation protein,protein-coding,-,-,-,Lar family restriction alleviation protein,20210403,-
2126724,54990385,HOT02_gp052,HOT02_gp052,phiSABS2_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990386,HOT02_gp053,HOT02_gp053,phiSABS2_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990387,HOT02_gp054,HOT02_gp054,phiSABS2_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990388,HOT02_gp055,HOT02_gp055,phiSABS2_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990389,HOT02_gp056,HOT02_gp056,phiSABS2_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990390,HOT02_gp057,HOT02_gp057,phiSABS2_57,-,-,-,-,other,-,-,-,-,20200910,-
2126724,54990391,HOT02_gp058,HOT02_gp058,phiSABS2_58,-,-,-,RNase and PhoH-family ATPase domain protein,protein-coding,-,-,-,RNase and PhoH-family ATPase domain protein,20210403,-
2126724,54990392,HOT02_gp059,HOT02_gp059,phiSABS2_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990393,HOT02_gp060,HOT02_gp060,phiSABS2_60,-,-,-,ribonuclease H,protein-coding,-,-,-,ribonuclease H,20210403,-
2126724,54990394,HOT02_gp061,HOT02_gp061,phiSABS2_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990395,HOT02_gp062,HOT02_gp062,phiSABS2_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990396,HOT02_gp063,HOT02_gp063,phiSABS2_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990397,HOT02_gp064,HOT02_gp064,phiSABS2_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990398,HOT02_gp065,HOT02_gp065,phiSABS2_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990399,HOT02_gp066,HOT02_gp066,phiSABS2_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990400,HOT02_gp067,HOT02_gp067,phiSABS2_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990401,HOT02_gp068,HOT02_gp068,phiSABS2_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990402,HOT02_gp069,HOT02_gp069,phiSABS2_69,-,-,-,tenebrin,protein-coding,-,-,-,tenebrin,20210403,-
2126724,54990403,HOT02_gp070,HOT02_gp070,phiSABS2_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990404,HOT02_gp071,HOT02_gp071,phiSABS2_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990405,HOT02_gp072,HOT02_gp072,phiSABS2_72,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2126724,54990406,HOT02_gp073,HOT02_gp073,phiSABS2_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
