#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1458842,18506405,GBK2_2,GBK2_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1458842,18506406,GBK2_3,GBK2_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1458842,18506407,GBK2_4,GBK2_4,-,-,-,-,prohead protein,protein-coding,-,-,-,prohead protein,20201221,-
1458842,18506408,GBK2_5,GBK2_5,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1458842,18506409,GBK2_6,GBK2_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506410,GBK2_7,GBK2_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506411,GBK2_8,GBK2_8,-,-,-,-,head-tail adaptor,protein-coding,-,-,-,head-tail adaptor,20201221,-
1458842,18506412,GBK2_9,GBK2_9,-,-,-,-,tail component protein,protein-coding,-,-,-,tail component protein,20201221,-
1458842,18506413,GBK2_10,GBK2_10,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1458842,18506414,GBK2_11,GBK2_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506415,GBK2_12,GBK2_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506416,GBK2_13,GBK2_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506417,GBK2_14,GBK2_14,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201221,-
1458842,18506418,GBK2_15,GBK2_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506419,GBK2_16,GBK2_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506420,GBK2_17,GBK2_17,-,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20201221,-
1458842,18506421,GBK2_18,GBK2_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506422,GBK2_19,GBK2_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506423,GBK2_20,GBK2_20,-,-,-,-,glycoside hydrolase,protein-coding,-,-,-,glycoside hydrolase,20201221,-
1458842,18506424,GBK2_21,GBK2_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506425,GBK2_22,GBK2_22,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20201221,-
1458842,18506426,GBK2_23,GBK2_23,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1458842,18506427,GBK2_24,GBK2_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506428,GBK2_25,GBK2_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506429,GBK2_26,GBK2_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506430,GBK2_27,GBK2_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506431,GBK2_28,GBK2_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506432,GBK2_29,GBK2_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506433,GBK2_30,GBK2_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506434,GBK2_31,GBK2_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506435,GBK2_32,GBK2_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506436,GBK2_33,GBK2_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506437,GBK2_34,GBK2_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506438,GBK2_35,GBK2_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506439,GBK2_36,GBK2_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506440,GBK2_37,GBK2_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506441,GBK2_38,GBK2_38,-,-,-,-,recombinase,protein-coding,-,-,-,recombinase,20201221,-
