#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2594798,55636404,GKQ38_RS00005,GKQ38_RS00005,GKQ38_00005,-,-,-,S-layer protein,protein-coding,-,-,-,S-layer protein,20210522,-
2594798,55636405,GKQ38_RS00010,GKQ38_RS00010,GKQ38_00010,-,-,-,nucleotidyltransferase domain-containing protein,protein-coding,-,-,-,nucleotidyltransferase domain-containing protein,20210522,-
2594798,55636406,GKQ38_RS00015,GKQ38_RS00015,GKQ38_00015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636407,GKQ38_RS00020,GKQ38_RS00020,GKQ38_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636408,GKQ38_RS00025,GKQ38_RS00025,GKQ38_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636409,GKQ38_RS00030,GKQ38_RS00030,GKQ38_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636410,GKQ38_RS00035,GKQ38_RS00035,GKQ38_00035,-,-,-,-,tRNA,-,-,-,-,20200624,-
2594798,55636411,GKQ38_RS00040,GKQ38_RS00040,GKQ38_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636412,GKQ38_RS00045,GKQ38_RS00045,GKQ38_00045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636413,GKQ38_RS00050,GKQ38_RS00050,GKQ38_00050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636414,GKQ38_RS00055,GKQ38_RS00055,GKQ38_00055,-,-,-,30S ribosomal protein S11,protein-coding,-,-,-,30S ribosomal protein S11,20210522,-
2594798,55636415,GKQ38_RS00060,GKQ38_RS00060,GKQ38_00060,-,-,-,30S ribosomal protein S4,protein-coding,-,-,-,30S ribosomal protein S4,20210522,-
2594798,55636416,GKQ38_RS00065,GKQ38_RS00065,GKQ38_00065,-,-,-,30S ribosomal protein S13,protein-coding,-,-,-,30S ribosomal protein S13,20210522,-
2594798,55636417,GKQ38_RS00070,GKQ38_RS00070,GKQ38_00070,-,-,-,peptidylprolyl isomerase,protein-coding,-,-,-,peptidylprolyl isomerase,20210522,-
2594798,55636418,GKQ38_RS00075,GKQ38_RS00075,GKQ38_00075,-,-,-,AI-2E family transporter,protein-coding,-,-,-,AI-2E family transporter,20200624,-
2594798,55636419,GKQ38_RS00080,GKQ38_RS00080,GKQ38_00080,-,-,-,EamA family transporter,protein-coding,-,-,-,EamA family transporter,20210522,-
2594798,55636420,GKQ38_RS00085,GKQ38_RS00085,GKQ38_00085,-,-,-,-,tRNA,-,-,-,-,20200624,-
2594798,55636421,GKQ38_RS00090,GKQ38_RS00090,GKQ38_00090,-,-,-,methyltransferase domain-containing protein,protein-coding,-,-,-,methyltransferase domain-containing protein,20210522,-
2594798,55636422,GKQ38_RS00095,GKQ38_RS00095,GKQ38_00095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636423,GKQ38_RS00100,GKQ38_RS00100,GKQ38_00100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636424,GKQ38_RS00105,GKQ38_RS00105,GKQ38_00105,-,-,-,MarR family transcriptional regulator,protein-coding,-,-,-,MarR family transcriptional regulator,20210522,-
2594798,55636425,GKQ38_RS00110,GKQ38_RS00110,GKQ38_00110,-,-,-,cation:proton antiporter,protein-coding,-,-,-,cation:proton antiporter,20210522,-
2594798,55636426,GKQ38_RS00115,GKQ38_RS00115,GKQ38_00115,-,-,-,CBS domain-containing protein,protein-coding,-,-,-,CBS domain-containing protein,20210522,-
