#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821559,29123925,2,BJD61_gp02,SEA_OBLIVIATE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1821559,29123926,3,BJD61_gp03,SEA_OBLIVIATE_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1821559,29123927,4,BJD61_gp04,SEA_OBLIVIATE_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
1821559,29123928,5,BJD61_gp05,SEA_OBLIVIATE_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1821559,29123929,6,BJD61_gp06,SEA_OBLIVIATE_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1821559,29123930,7,BJD61_gp07,SEA_OBLIVIATE_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123931,8,BJD61_gp08,SEA_OBLIVIATE_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1821559,29123932,9,BJD61_gp09,SEA_OBLIVIATE_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1821559,29123933,10,BJD61_gp10,SEA_OBLIVIATE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123934,11,BJD61_gp11,SEA_OBLIVIATE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123935,12,BJD61_gp12,SEA_OBLIVIATE_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200927,-
1821559,29123936,13,BJD61_gp13,SEA_OBLIVIATE_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1821559,29123937,15,BJD61_gp14,SEA_OBLIVIATE_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1821559,29123938,16,BJD61_gp16,SEA_OBLIVIATE_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1821559,29123939,14,BJD61_gp15,SEA_OBLIVIATE_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1821559,29123940,17,BJD61_gp17,SEA_OBLIVIATE_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
1821559,29123941,18,BJD61_gp18,SEA_OBLIVIATE_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821559,29123942,19,BJD61_gp19,SEA_OBLIVIATE_19,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",protein-coding,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",20210424,-
1821559,29123943,20,BJD61_gp20,SEA_OBLIVIATE_20,-,-,-,"lysin A, glycosyl hydrolase domain",protein-coding,-,-,-,"lysin A, glycosyl hydrolase domain",20200927,-
1821559,29123944,21,BJD61_gp21,SEA_OBLIVIATE_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123945,22,BJD61_gp22,SEA_OBLIVIATE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123946,23,BJD61_gp23,SEA_OBLIVIATE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123947,24,BJD61_gp24,SEA_OBLIVIATE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123948,25,BJD61_gp25,SEA_OBLIVIATE_25,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1821559,29123949,26,BJD61_gp26,SEA_OBLIVIATE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123950,27,BJD61_gp27,SEA_OBLIVIATE_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821559,29123951,28,BJD61_gp28,SEA_OBLIVIATE_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821559,29123952,29,BJD61_gp29,SEA_OBLIVIATE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123953,30,BJD61_gp30,SEA_OBLIVIATE_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821559,29123954,31,BJD61_gp31,SEA_OBLIVIATE_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821559,29123955,32,BJD61_gp32,SEA_OBLIVIATE_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123956,33,BJD61_gp33,SEA_OBLIVIATE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123957,34,BJD61_gp34,SEA_OBLIVIATE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123958,35,BJD61_gp35,SEA_OBLIVIATE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123959,36,BJD61_gp36,SEA_OBLIVIATE_36,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
1821559,29123960,37,BJD61_gp37,SEA_OBLIVIATE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123961,38,BJD61_gp38,SEA_OBLIVIATE_38,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200927,-
1821559,29123962,39,BJD61_gp39,SEA_OBLIVIATE_39,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1821559,29123963,40,BJD61_gp40,SEA_OBLIVIATE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123964,41,BJD61_gp41,SEA_OBLIVIATE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123965,42,BJD61_gp42,SEA_OBLIVIATE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123966,43,BJD61_gp43,SEA_OBLIVIATE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123967,44,BJD61_gp44,SEA_OBLIVIATE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123968,45,BJD61_gp45,SEA_OBLIVIATE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123969,46,BJD61_gp46,SEA_OBLIVIATE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123970,47,BJD61_gp47,SEA_OBLIVIATE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123971,48,BJD61_gp48,SEA_OBLIVIATE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123972,49,BJD61_gp49,SEA_OBLIVIATE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123973,50,BJD61_gp50,SEA_OBLIVIATE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123974,51,BJD61_gp51,SEA_OBLIVIATE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123975,52,BJD61_gp52,SEA_OBLIVIATE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123976,53,BJD61_gp53,SEA_OBLIVIATE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123977,54,BJD61_gp54,SEA_OBLIVIATE_54,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200927,-
1821559,29123978,55,BJD61_gp55,SEA_OBLIVIATE_55,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20200927,-
1821559,29123979,56,BJD61_gp56,SEA_OBLIVIATE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123980,57,BJD61_gp57,SEA_OBLIVIATE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123981,58,BJD61_gp58,SEA_OBLIVIATE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123982,59,BJD61_gp59,SEA_OBLIVIATE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123983,60,BJD61_gp60,SEA_OBLIVIATE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123984,61,BJD61_gp61,SEA_OBLIVIATE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123985,62,BJD61_gp62,SEA_OBLIVIATE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123986,63,BJD61_gp63,SEA_OBLIVIATE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123987,64,BJD61_gp64,SEA_OBLIVIATE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123988,65,BJD61_gp65,SEA_OBLIVIATE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123989,66,BJD61_gp66,SEA_OBLIVIATE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123990,67,BJD61_gp67,SEA_OBLIVIATE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123991,68,BJD61_gp68,SEA_OBLIVIATE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123992,69,BJD61_gp69,SEA_OBLIVIATE_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123993,70,BJD61_gp70,SEA_OBLIVIATE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123994,71,BJD61_gp71,SEA_OBLIVIATE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123995,72,BJD61_gp72,SEA_OBLIVIATE_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123996,73,BJD61_gp73,SEA_OBLIVIATE_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123997,74,BJD61_gp74,SEA_OBLIVIATE_74,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20200927,-
1821559,29123998,75,BJD61_gp75,SEA_OBLIVIATE_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29123999,76,BJD61_gp76,SEA_OBLIVIATE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29124000,77,BJD61_gp77,SEA_OBLIVIATE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29124001,78,BJD61_gp78,SEA_OBLIVIATE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29124002,79,BJD61_gp79,SEA_OBLIVIATE_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821559,29124003,80,BJD61_gp80,SEA_OBLIVIATE_80,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1821559,29124004,1,BJD61_gp01,SEA_OBLIVIATE_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1821559,29140845,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
