#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2593333,55813318,2,HYP95_gp02,SEA_VIBAKI_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200829,-
2593333,55813319,3,HYP95_gp03,SEA_VIBAKI_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813320,4,HYP95_gp04,SEA_VIBAKI_4,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20200829,-
2593333,55813321,5,HYP95_gp05,SEA_VIBAKI_5,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2593333,55813322,6,HYP95_gp06,SEA_VIBAKI_6,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210424,-
2593333,55813323,7,HYP95_gp07,SEA_VIBAKI_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813324,8,HYP95_gp08,SEA_VIBAKI_8,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210424,-
2593333,55813325,9,HYP95_gp09,SEA_VIBAKI_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813326,10,HYP95_gp10,SEA_VIBAKI_10,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200704,-
2593333,55813327,11,HYP95_gp11,SEA_VIBAKI_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813328,12,HYP95_gp12,SEA_VIBAKI_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813329,13,HYP95_gp13,SEA_VIBAKI_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2593333,55813330,14,HYP95_gp14,SEA_VIBAKI_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813331,15,HYP95_gp15,SEA_VIBAKI_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813332,16,HYP95_gp16,SEA_VIBAKI_16,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210424,-
2593333,55813333,17,HYP95_gp17,SEA_VIBAKI_17,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200704,-
2593333,55813334,18,HYP95_gp18,SEA_VIBAKI_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813335,19,HYP95_gp19,SEA_VIBAKI_19,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200829,-
2593333,55813336,20,HYP95_gp20,SEA_VIBAKI_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813337,21,HYP95_gp21,SEA_VIBAKI_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2593333,55813338,22,HYP95_gp22,SEA_VIBAKI_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813339,23,HYP95_gp23,SEA_VIBAKI_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2593333,55813340,24,HYP95_gp24,SEA_VIBAKI_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813341,25,HYP95_gp25,SEA_VIBAKI_25,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200704,-
2593333,55813342,26,HYP95_gp26,SEA_VIBAKI_26,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200704,-
