#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1897497,40072185,FDH05_gp02,FDH05_gp02,SEA_TORTELLINI_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1897497,40072186,FDH05_gp03,FDH05_gp03,SEA_TORTELLINI_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1897497,40072187,FDH05_gp04,FDH05_gp04,SEA_TORTELLINI_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1897497,40072188,FDH05_gp05,FDH05_gp05,SEA_TORTELLINI_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1897497,40072189,FDH05_gp06,FDH05_gp06,SEA_TORTELLINI_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1897497,40072190,FDH05_gp07,FDH05_gp07,SEA_TORTELLINI_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072191,FDH05_gp08,FDH05_gp08,SEA_TORTELLINI_8,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201221,-
1897497,40072192,FDH05_gp09,FDH05_gp09,SEA_TORTELLINI_9,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201221,-
1897497,40072193,FDH05_gp10,FDH05_gp10,SEA_TORTELLINI_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072194,FDH05_gp11,FDH05_gp11,SEA_TORTELLINI_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072195,FDH05_gp12,FDH05_gp12,SEA_TORTELLINI_12,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201221,-
