#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1983536,65072925,KMD50_gp02,KMD50_gp02,PLgW1_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
1983536,65072926,KMD50_gp03,KMD50_gp03,PLgW1_3,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
1983536,65072927,KMD50_gp04,KMD50_gp04,PLgW1_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
1983536,65072928,KMD50_gp05,KMD50_gp05,PLgW1_5,-,-,-,protease,protein-coding,-,-,-,protease,20210607,-
1983536,65072929,KMD50_gp06,KMD50_gp06,PLgW1_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
1983536,65072930,KMD50_gp07,KMD50_gp07,PLgW1_7,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210607,-
1983536,65072931,KMD50_gp08,KMD50_gp08,PLgW1_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072932,KMD50_gp09,KMD50_gp09,PLgW1_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072933,KMD50_gp10,KMD50_gp10,PLgW1_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072934,KMD50_gp11,KMD50_gp11,PLgW1_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072935,KMD50_gp12,KMD50_gp12,PLgW1_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
1983536,65072936,KMD50_gp13,KMD50_gp13,PLgW1_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072937,KMD50_gp14,KMD50_gp14,PLgW1_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072938,KMD50_gp15,KMD50_gp15,PLgW1_15,-,-,-,neck passage structure,protein-coding,-,-,-,neck passage structure,20210607,-
1983536,65072939,KMD50_gp16,KMD50_gp16,PLgW1_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072940,KMD50_gp17,KMD50_gp17,PLgW1_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072941,KMD50_gp18,KMD50_gp18,PLgW1_18,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210607,-
1983536,65072942,KMD50_gp19,KMD50_gp19,PLgW1_19,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20210607,-
1983536,65072943,KMD50_gp20,KMD50_gp20,PLgW1_20,-,-,-,tail associated lysin,protein-coding,-,-,-,tail associated lysin,20210607,-
1983536,65072944,KMD50_gp21,KMD50_gp21,PLgW1_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072945,KMD50_gp22,KMD50_gp22,PLgW1_22,-,-,-,receptor binding protein,protein-coding,-,-,-,receptor binding protein,20210607,-
1983536,65072946,KMD50_gp23,KMD50_gp23,PLgW1_23,-,-,-,holin,protein-coding,-,-,-,holin,20210607,-
1983536,65072947,KMD50_gp24,KMD50_gp24,PLgW1_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072948,KMD50_gp25,KMD50_gp25,PLgW1_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072949,KMD50_gp26,KMD50_gp26,PLgW1_26,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
1983536,65072950,KMD50_gp27,KMD50_gp27,PLgW1_27,-,-,-,lytic transglycosylase,protein-coding,-,-,-,lytic transglycosylase,20210607,-
1983536,65072951,KMD50_gp28,KMD50_gp28,PLgW1_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072952,KMD50_gp29,KMD50_gp29,PLgW1_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072953,KMD50_gp30,KMD50_gp30,PLgW1_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072954,KMD50_gp31,KMD50_gp31,PLgW1_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072955,KMD50_gp32,KMD50_gp32,PLgW1_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072956,KMD50_gp33,KMD50_gp33,PLgW1_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072957,KMD50_gp34,KMD50_gp34,PLgW1_34,-,-,-,SSB protein,protein-coding,-,-,-,SSB protein,20210607,-
1983536,65072958,KMD50_gp35,KMD50_gp35,PLgW1_35,-,-,-,SAK protein,protein-coding,-,-,-,SAK protein,20210607,-
1983536,65072959,KMD50_gp36,KMD50_gp36,PLgW1_36,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
1983536,65072960,KMD50_gp37,KMD50_gp37,PLgW1_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072961,KMD50_gp38,KMD50_gp38,PLgW1_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072962,KMD50_gp39,KMD50_gp39,PLgW1_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072963,KMD50_gp40,KMD50_gp40,PLgW1_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072964,KMD50_gp41,KMD50_gp41,PLgW1_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072965,KMD50_gp42,KMD50_gp42,PLgW1_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072966,KMD50_gp43,KMD50_gp43,PLgW1_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072967,KMD50_gp44,KMD50_gp44,PLgW1_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072968,KMD50_gp45,KMD50_gp45,PLgW1_45,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210607,-
1983536,65072969,KMD50_gp46,KMD50_gp46,PLgW1_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072970,KMD50_gp47,KMD50_gp47,PLgW1_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072971,KMD50_gp48,KMD50_gp48,PLgW1_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072972,KMD50_gp49,KMD50_gp49,PLgW1_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072973,KMD50_gp50,KMD50_gp50,PLgW1_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072974,KMD50_gp51,KMD50_gp51,PLgW1_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072975,KMD50_gp52,KMD50_gp52,PLgW1_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072976,KMD50_gp53,KMD50_gp53,PLgW1_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072977,KMD50_gp54,KMD50_gp54,PLgW1_54,-,-,-,holliday junction endonuclease,protein-coding,-,-,-,holliday junction endonuclease,20210607,-
1983536,65072978,KMD50_gp55,KMD50_gp55,PLgW1_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072979,KMD50_gp56,KMD50_gp56,PLgW1_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983536,65072980,KMD50_gp01,KMD50_gp01,PLgW1_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
1983536,65242573,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
