#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1630362,33352530,ND4L,CGV74_mgp11,-,-,mt|MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,-,20170916,-
1630362,33352531,ATP6,CGV74_mgp09,-,-,mt|MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,-,20170916,-
1630362,33352532,CGV74_mgt08,CGV74_mgt08,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1630362,33352533,CGV74_mgt11,CGV74_mgt11,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1630362,33352534,CGV74_mgt03,CGV74_mgt03,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1630362,33352535,CGV74_mgt15,CGV74_mgt15,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1630362,33352536,CGV74_mgt16,CGV74_mgt16,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1630362,33352537,COX1,CGV74_mgp04,-,-,mt|MT,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,-,20170916,-
1630362,33352538,CGV74_mgt17,CGV74_mgt17,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1630362,33352539,CGV74_mgt21,CGV74_mgt21,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1630362,33352540,ND5,CGV74_mgp01,-,-,mt|MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20170916,-
1630362,33352541,CGV74_mgt22,CGV74_mgt22,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1630362,33352542,CGV74_mgt01,CGV74_mgt01,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1630362,33352543,CGV74_mgt02,CGV74_mgt02,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1630362,33352544,ND6,CGV74_mgp12,-,-,mt|MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,-,20170916,-
1630362,33352545,CGV74_mgt04,CGV74_mgt04,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1630362,33352546,CGV74_mgr02,CGV74_mgr02,-,-,mt|MT,-,12S ribosomal RNA,rRNA,-,-,-,-,20170916,-
1630362,33352547,CGV74_mgt05,CGV74_mgt05,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1630362,33352548,CGV74_mgt06,CGV74_mgt06,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1630362,33352549,CGV74_mgt07,CGV74_mgt07,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1630362,33352550,ND1,CGV74_mgp10,-,-,mt|MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,-,20170916,-
1630362,33352551,CGV74_mgt09,CGV74_mgt09,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1630362,33352552,CGV74_mgt10,CGV74_mgt10,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1630362,33352553,ND2,CGV74_mgp08,-,-,mt|MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,-,20170916,-
1630362,33352554,CGV74_mgt12,CGV74_mgt12,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1630362,33352555,CGV74_mgt13,CGV74_mgt13,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1630362,33352556,CGV74_mgt14,CGV74_mgt14,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1630362,33352557,CYTB,CGV74_mgp07,-,-,mt|MT,-,cytochrome b,protein-coding,-,-,-,-,20170916,-
1630362,33352558,COX3,CGV74_mgp06,-,-,mt|MT,-,cytochrome c oxidase subunit III,protein-coding,-,-,-,-,20170916,-
1630362,33352559,ND4,CGV74_mgp05,-,-,mt|MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,-,20170916,-
1630362,33352560,CGV74_mgt18,CGV74_mgt18,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1630362,33352561,CGV74_mgt19,CGV74_mgt19,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1630362,33352562,CGV74_mgt20,CGV74_mgt20,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1630362,33352563,COX2,CGV74_mgp03,-,-,mt|MT,-,cytochrome c oxidase subunit II,protein-coding,-,-,-,-,20170916,-
1630362,33352564,CGV74_mgr01,CGV74_mgr01,-,-,mt|MT,-,16S ribosomal RNA,rRNA,-,-,-,-,20170916,-
1630362,33352565,ND3,CGV74_mgp02,-,-,mt|MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,-,20170916,-
