#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647470,28799946,BH788_gp02,BH788_gp02,GMA1_2,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20200629,-
1647470,28799947,BH788_gp03,BH788_gp03,GMA1_3,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1647470,28799948,BH788_gp04,BH788_gp04,GMA1_4,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
1647470,28799949,BH788_gp05,BH788_gp05,GMA1_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799950,BH788_gp06,BH788_gp06,GMA1_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799951,BH788_gp07,BH788_gp07,GMA1_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799952,BH788_gp08,BH788_gp08,GMA1_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799953,BH788_gp09,BH788_gp09,GMA1_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799954,BH788_gp10,BH788_gp10,GMA1_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799955,BH788_gp11,BH788_gp11,GMA1_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799956,BH788_gp12,BH788_gp12,GMA1_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799957,BH788_gp13,BH788_gp13,GMA1_13,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20200629,-
1647470,28799958,BH788_gp14,BH788_gp14,GMA1_15,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20200629,-
1647470,28799959,BH788_gp16,BH788_gp16,GMA1_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799960,BH788_gp15,BH788_gp15,GMA1_14,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20200629,-
1647470,28799961,BH788_gp17,BH788_gp17,GMA1_17,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20200629,-
1647470,28799962,BH788_gp18,BH788_gp18,GMA1_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799963,BH788_gp19,BH788_gp19,GMA1_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799964,BH788_gp20,BH788_gp20,GMA1_20,-,-,-,putative lysin,protein-coding,-,-,-,putative lysin,20200629,-
1647470,28799965,BH788_gp21,BH788_gp21,GMA1_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200629,-
1647470,28799966,BH788_gp22,BH788_gp22,GMA1_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799967,BH788_gp23,BH788_gp23,GMA1_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799968,BH788_gp24,BH788_gp24,GMA1_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799969,BH788_gp25,BH788_gp25,GMA1_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799970,BH788_gp26,BH788_gp26,GMA1_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799971,BH788_gp27,BH788_gp27,GMA1_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799972,BH788_gp28,BH788_gp28,GMA1_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799973,BH788_gp29,BH788_gp29,GMA1_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799974,BH788_gp30,BH788_gp30,GMA1_30,-,-,-,putative integrase,protein-coding,-,-,-,putative integrase,20200629,-
1647470,28799975,BH788_gp31,BH788_gp31,GMA1_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799976,BH788_gp32,BH788_gp32,GMA1_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799977,BH788_gp33,BH788_gp33,GMA1_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799978,BH788_gp34,BH788_gp34,GMA1_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799979,BH788_gp35,BH788_gp35,GMA1_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799980,BH788_gp36,BH788_gp36,GMA1_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799981,BH788_gp37,BH788_gp37,GMA1_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799982,BH788_gp38,BH788_gp38,GMA1_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799983,BH788_gp39,BH788_gp39,GMA1_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799984,BH788_gp40,BH788_gp40,GMA1_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799985,BH788_gp41,BH788_gp41,GMA1_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799986,BH788_gp42,BH788_gp42,GMA1_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799987,BH788_gp43,BH788_gp43,GMA1_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799988,BH788_gp44,BH788_gp44,GMA1_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
