#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
134537,58747553,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Burkholderia fungorum.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20200824,-
134537,61177894,A8H39_RS00005,A8H39_RS00005,A8H39_00005,-,-,-,DNA cytosine methyltransferase,protein-coding,-,-,-,DNA cytosine methyltransferase,20201228,-
134537,61177895,A8H39_RS00010,A8H39_RS00010,A8H39_00010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177896,A8H39_RS00015,A8H39_RS00015,A8H39_00015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177897,A8H39_RS00025,A8H39_RS00025,A8H39_00025,-,-,-,site-specific DNA-methyltransferase,protein-coding,-,-,-,site-specific DNA-methyltransferase,20201228,-
134537,61177898,A8H39_RS00030,A8H39_RS00030,A8H39_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177899,A8H39_RS00035,A8H39_RS00035,A8H39_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177900,A8H39_RS00040,A8H39_RS00040,A8H39_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177901,A8H39_RS00045,A8H39_RS00045,A8H39_00045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177902,A8H39_RS00050,A8H39_RS00050,A8H39_00050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177903,A8H39_RS00055,A8H39_RS00055,A8H39_00055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177904,A8H39_RS00060,A8H39_RS00060,A8H39_00060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177905,A8H39_RS00065,A8H39_RS00065,A8H39_00065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177906,A8H39_RS00070,A8H39_RS00070,A8H39_00070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177907,A8H39_RS00075,A8H39_RS00075,A8H39_00075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177908,A8H39_RS00080,A8H39_RS00080,A8H39_00080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177909,A8H39_RS00085,A8H39_RS00085,A8H39_00085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177910,A8H39_RS00090,A8H39_RS00090,A8H39_00090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201228,-
134537,61177911,A8H39_RS00095,A8H39_RS00095,A8H39_00095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177912,A8H39_RS00100,A8H39_RS00100,A8H39_00100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177913,A8H39_RS00105,A8H39_RS00105,A8H39_00105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177914,A8H39_RS00110,A8H39_RS00110,A8H39_00110,-,-,-,DUF4241 domain-containing protein,protein-coding,-,-,-,DUF4241 domain-containing protein,20201226,-
134537,61177915,A8H39_RS00115,A8H39_RS00115,A8H39_00115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177916,A8H39_RS00120,A8H39_RS00120,A8H39_00120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177917,A8H39_RS00125,A8H39_RS00125,A8H39_00125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177918,A8H39_RS00130,A8H39_RS00130,A8H39_00130,-,-,-,DNA cytosine methyltransferase,protein-coding,-,-,-,DNA cytosine methyltransferase,20201228,-
134537,61177919,A8H39_RS00135,A8H39_RS00135,A8H39_00135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177920,A8H39_RS00140,A8H39_RS00140,A8H39_00140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177921,A8H39_RS00145,A8H39_RS00145,A8H39_00145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177922,A8H39_RS00150,A8H39_RS00150,A8H39_00150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177923,A8H39_RS00155,A8H39_RS00155,A8H39_00155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177924,A8H39_RS00160,A8H39_RS00160,A8H39_00160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177925,A8H39_RS00165,A8H39_RS00165,A8H39_00165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177926,A8H39_RS00170,A8H39_RS00170,A8H39_00170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177927,A8H39_RS00175,A8H39_RS00175,A8H39_00175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177928,A8H39_RS00180,A8H39_RS00180,A8H39_00180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177929,A8H39_RS00185,A8H39_RS00185,A8H39_00185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177930,A8H39_RS00190,A8H39_RS00190,A8H39_00190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177931,A8H39_RS00195,A8H39_RS00195,A8H39_00195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
