#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2023953,60334133,I5H91_gp002,I5H91_gp002,SEA_SPOONBILL_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2023953,60334134,I5H91_gp003,I5H91_gp003,SEA_SPOONBILL_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2023953,60334135,I5H91_gp004,I5H91_gp004,SEA_SPOONBILL_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2023953,60334136,I5H91_gp005,I5H91_gp005,SEA_SPOONBILL_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2023953,60334137,I5H91_gp006,I5H91_gp006,SEA_SPOONBILL_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201129,-
2023953,60334138,I5H91_gp007,I5H91_gp007,SEA_SPOONBILL_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2023953,60334139,I5H91_gp008,I5H91_gp008,SEA_SPOONBILL_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2023953,60334140,I5H91_gp009,I5H91_gp009,SEA_SPOONBILL_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2023953,60334141,I5H91_gp010,I5H91_gp010,SEA_SPOONBILL_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2023953,60334142,I5H91_gp011,I5H91_gp011,SEA_SPOONBILL_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2023953,60334143,I5H91_gp012,I5H91_gp012,SEA_SPOONBILL_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2023953,60334144,I5H91_gp014,I5H91_gp014,SEA_SPOONBILL_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2023953,60334145,I5H91_gp013,I5H91_gp013,SEA_SPOONBILL_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2023953,60334146,I5H91_gp015,I5H91_gp015,SEA_SPOONBILL_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
