#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1698358,26613943,SEA_BRUSACORAM_2,SEA_BRUSACORAM_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1698358,26613944,SEA_BRUSACORAM_3,SEA_BRUSACORAM_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1698358,26613945,SEA_BRUSACORAM_4,SEA_BRUSACORAM_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210424,-
1698358,26613946,SEA_BRUSACORAM_5,SEA_BRUSACORAM_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210417,-
1698358,26613947,SEA_BRUSACORAM_6,SEA_BRUSACORAM_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1698358,26613948,SEA_BRUSACORAM_7,SEA_BRUSACORAM_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613949,SEA_BRUSACORAM_8,SEA_BRUSACORAM_8,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1698358,26613950,SEA_BRUSACORAM_9,SEA_BRUSACORAM_9,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1698358,26613951,SEA_BRUSACORAM_10,SEA_BRUSACORAM_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1698358,26613952,SEA_BRUSACORAM_11,SEA_BRUSACORAM_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613953,SEA_BRUSACORAM_12,SEA_BRUSACORAM_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613954,SEA_BRUSACORAM_13,SEA_BRUSACORAM_13,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1698358,26613955,SEA_BRUSACORAM_14,SEA_BRUSACORAM_14,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1698358,26613956,SEA_BRUSACORAM_16,SEA_BRUSACORAM_16,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1698358,26613957,SEA_BRUSACORAM_17,SEA_BRUSACORAM_17,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1698358,26613958,SEA_BRUSACORAM_15,SEA_BRUSACORAM_15,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1698358,26613959,SEA_BRUSACORAM_18,SEA_BRUSACORAM_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698358,26613960,SEA_BRUSACORAM_19,SEA_BRUSACORAM_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
