#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
12402,2667811,cI,EJ-1p04,-,-,-,-,cI repressor,protein-coding,-,-,-,cI repressor,20201220,-
12402,2667812,xis,EJ-1p16,-,-,-,-,excisionase,protein-coding,-,-,-,excisionase,20201220,-
12402,2667813,dnaC,EJ-1p12,-,-,-,-,DnaC protein,protein-coding,-,-,-,DnaC protein,20201220,-
12402,2667814,dnaD,EJ-1p11,-,-,-,-,DnaD protein,protein-coding,-,-,-,DnaD protein,20201220,-
12402,2667815,int,EJ-1p01,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
12402,2667816,cro,EJ-1p10,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
12402,2667817,ejh,EJ-1p72,-,-,-,-,holin,protein-coding,-,-,-,holin,20201220,-
12402,2667818,ejl,EJ-1p73,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20201220,-
12402,2672828,EJ-1p54,EJ-1p54,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20201220,-
12402,2672829,EJ-1p55,EJ-1p55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672830,EJ-1p56,EJ-1p56,-,-,-,-,tail length tape measure protein,protein-coding,-,-,-,tail length tape measure protein,20200629,-
12402,2672831,EJ-1p57,EJ-1p57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672832,EJ-1p58,EJ-1p58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672833,EJ-1p59,EJ-1p59,-,-,-,-,DUF2577 domain-containing protein,protein-coding,-,-,-,DUF2577 domain-containing protein,20201220,-
12402,2672834,EJ-1p07,EJ-1p07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672835,EJ-1p08,EJ-1p08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672836,EJ-1p43,EJ-1p43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672837,EJ-1p44,EJ-1p44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672838,EJ-1p63,EJ-1p63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
