#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1105327,11447728,VCYphi_gp02,VCYphi_gp02,-,-,-,-,DNA replication initiation protein,protein-coding,-,-,-,DNA replication initiation protein,20180816,-
1105327,11447729,VCYphi_gp03,VCYphi_gp03,-,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20200905,-
1105327,11447730,VCYphi_gp04,VCYphi_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
1105327,11447731,VCYphi_gp05,VCYphi_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
1105327,11447732,VCYphi_gp06,VCYphi_gp06,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20180816,-
1105327,11447733,VCYphi_gp07,VCYphi_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
1105327,11447734,VCYphi_gp08,VCYphi_gp08,-,-,-,-,Zot-like protein,protein-coding,-,-,-,Zot-like protein,20180816,-
1105327,11447735,VCYphi_gp09,VCYphi_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
1105327,11447736,VCYphi_gp10,VCYphi_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
1105327,11447737,VCYphi_gp11,VCYphi_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
1105327,11447738,VCYphi_gp01,VCYphi_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
1105327,11451802,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Vibrio phage VCY).,other,-,-,-,-,20200603,-
