#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1391455,26660905,nblA,AV945_gp59,-,-,-,-,phycobilisome degredation protein,protein-coding,-,-,-,phycobilisome degredation protein,20201221,-
1391455,26660906,proB,AV945_gp22,-,-,-,-,gamma-glutamyl kinase,protein-coding,-,-,-,gamma-glutamyl kinase,20201221,-
1391455,26683488,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20190918,-
1391455,26709219,AV945_gp11,AV945_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709220,AV945_gp12,AV945_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709221,AV945_gp13,AV945_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709222,AV945_gp14,AV945_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709223,AV945_gp15,AV945_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709224,AV945_gp16,AV945_gp16,-,-,-,-,DNA Ligase,protein-coding,-,-,-,DNA Ligase,20201221,-
1391455,26709225,AV945_gp17,AV945_gp17,-,-,-,-,nucleoid DNA binding protein,protein-coding,-,-,-,nucleoid DNA binding protein,20201221,-
1391455,26709226,AV945_gp18,AV945_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709227,AV945_gp36,AV945_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709228,AV945_gp37,AV945_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709229,AV945_gp38,AV945_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709230,AV945_gp39,AV945_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
