#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1296646,15302118,2,K768_gp02,PBI_BUTTERS_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1296646,15302119,3,K768_gp03,PBI_BUTTERS_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302120,4,K768_gp04,PBI_BUTTERS_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1296646,15302121,5,K768_gp05,PBI_BUTTERS_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
1296646,15302122,6,K768_gp06,PBI_BUTTERS_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1296646,15302123,7,K768_gp07,PBI_BUTTERS_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302124,8,K768_gp08,PBI_BUTTERS_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302125,9,K768_gp09,PBI_BUTTERS_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1296646,15302126,10,K768_gp10,PBI_BUTTERS_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302127,11,K768_gp11,PBI_BUTTERS_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302128,12,K768_gp12,PBI_BUTTERS_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302129,13,K768_gp13,PBI_BUTTERS_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1296646,15302130,15,K768_gp14,PBI_BUTTERS_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1296646,15302131,16,K768_gp16,PBI_BUTTERS_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1296646,15302132,14,K768_gp15,PBI_BUTTERS_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1296646,15302133,17,K768_gp17,PBI_BUTTERS_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
