#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2100421,65109091,KNT69_gp02,KNT69_gp02,UFOVP1367_2,-,-,-,ClpP Protease subunit of ATP-dependent Clp proteases,protein-coding,-,-,-,ClpP Protease subunit of ATP-dependent Clp proteases,20210607,-
2100421,65109092,KNT69_gp11,KNT69_gp11,UFOVP1367_11,-,-,-,Bacteriophage tail completion protein R,protein-coding,-,-,-,Bacteriophage tail completion protein R,20210607,-
2100421,65109093,KNT69_gp12,KNT69_gp12,UFOVP1367_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109094,KNT69_gp13,KNT69_gp13,UFOVP1367_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109095,KNT69_gp14,KNT69_gp14,UFOVP1367_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109096,KNT69_gp15,KNT69_gp15,UFOVP1367_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109097,KNT69_gp16,KNT69_gp16,UFOVP1367_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109098,KNT69_gp17,KNT69_gp17,UFOVP1367_17,-,-,-,COG3617 Prophage antirepressor,protein-coding,-,-,-,COG3617 Prophage antirepressor,20210607,-
2100421,65109099,KNT69_gp18,KNT69_gp18,UFOVP1367_18,-,-,-,"Caudovirus, tape measure, N-terminal",protein-coding,-,-,-,"Caudovirus, tape measure, N-terminal",20210607,-
2100421,65109100,KNT69_gp19,KNT69_gp19,UFOVP1367_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109101,KNT69_gp20,KNT69_gp20,UFOVP1367_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109102,KNT69_gp03,KNT69_gp03,UFOVP1367_3,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210607,-
2100421,65109103,KNT69_gp21,KNT69_gp21,UFOVP1367_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109104,KNT69_gp22,KNT69_gp22,UFOVP1367_22,-,-,-,FG-GAP repeat,protein-coding,-,-,-,FG-GAP repeat,20210607,-
2100421,65109105,KNT69_gp23,KNT69_gp23,UFOVP1367_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109106,KNT69_gp24,KNT69_gp24,UFOVP1367_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109107,KNT69_gp25,KNT69_gp25,UFOVP1367_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109108,KNT69_gp26,KNT69_gp26,UFOVP1367_26,-,-,-,Bacteriophage CI repressor,protein-coding,-,-,-,Bacteriophage CI repressor,20210607,-
2100421,65109109,KNT69_gp27,KNT69_gp27,UFOVP1367_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109110,KNT69_gp28,KNT69_gp28,UFOVP1367_28,-,-,-,CsgD DNA-binding HTH domain-containing proteins,protein-coding,-,-,-,CsgD DNA-binding HTH domain-containing proteins,20210607,-
2100421,65109111,KNT69_gp29,KNT69_gp29,UFOVP1367_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109112,KNT69_gp30,KNT69_gp30,UFOVP1367_30,-,-,-,Protein of unknown function DUF3102,protein-coding,-,-,-,Protein of unknown function DUF3102,20210607,-
2100421,65109113,KNT69_gp04,KNT69_gp04,UFOVP1367_4,-,-,-,terminase endonuclease subunit,protein-coding,-,-,-,terminase endonuclease subunit,20210607,-
2100421,65109114,KNT69_gp31,KNT69_gp31,UFOVP1367_31,-,-,-,"DNA primase, phage/plasmid",protein-coding,-,-,-,"DNA primase, phage/plasmid",20210607,-
2100421,65109115,KNT69_gp32,KNT69_gp32,UFOVP1367_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109116,KNT69_gp33,KNT69_gp33,UFOVP1367_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109117,KNT69_gp34,KNT69_gp34,UFOVP1367_34,-,-,-,Transcription regulator PrtN,protein-coding,-,-,-,Transcription regulator PrtN,20210607,-
2100421,65109118,KNT69_gp35,KNT69_gp35,UFOVP1367_35,-,-,-,XerC Integrase,protein-coding,-,-,-,XerC Integrase,20210607,-
2100421,65109119,KNT69_gp36,KNT69_gp36,UFOVP1367_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109120,KNT69_gp37,KNT69_gp37,UFOVP1367_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109121,KNT69_gp38,KNT69_gp38,UFOVP1367_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109122,KNT69_gp39,KNT69_gp39,UFOVP1367_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109123,KNT69_gp40,KNT69_gp40,UFOVP1367_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109124,KNT69_gp05,KNT69_gp05,UFOVP1367_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109125,KNT69_gp41,KNT69_gp41,UFOVP1367_41,-,-,-,portal vertex protein,protein-coding,-,-,-,portal vertex protein,20210607,-
2100421,65109126,KNT69_gp06,KNT69_gp06,UFOVP1367_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109127,KNT69_gp07,KNT69_gp07,UFOVP1367_7,-,-,-,LydA-like holin,protein-coding,-,-,-,LydA-like holin,20210607,-
2100421,65109128,KNT69_gp08,KNT69_gp08,UFOVP1367_8,-,-,-,Bacteriophage head completion protein GpL,protein-coding,-,-,-,Bacteriophage head completion protein GpL,20210607,-
2100421,65109129,KNT69_gp09,KNT69_gp09,UFOVP1367_9,-,-,-,COG3772 Phage-related lysozyme (muraminidase),protein-coding,-,-,-,COG3772 Phage-related lysozyme (muraminidase),20210607,-
2100421,65109130,KNT69_gp10,KNT69_gp10,UFOVP1367_10,-,-,-,Phage virion morphogensis protein,protein-coding,-,-,-,Phage virion morphogensis protein,20210607,-
2100421,65109131,KNT69_gp01,KNT69_gp01,UFOVP1367_1,-,-,-,"ATPase terminase subunit, putative",protein-coding,-,-,-,"ATPase terminase subunit, putative",20210607,-
2100421,65109994,KNT73_gp02,KNT73_gp02,2F1_2,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109995,KNT73_gp03,KNT73_gp03,2F1_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109996,KNT73_gp04,KNT73_gp04,2F1_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109997,KNT73_gp05,KNT73_gp05,2F1_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109998,KNT73_gp06,KNT73_gp06,2F1_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65109999,KNT73_gp07,KNT73_gp07,2F1_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65110000,KNT73_gp08,KNT73_gp08,2F1_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
