#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
73422,14492582,H316_gp05,H316_gp05,-,-,-,-,putative antirepressor,protein-coding,-,-,-,putative antirepressor,20201220,-
73422,14492583,coh,H316_gp04,-,-,-,-,putative cro homolog,protein-coding,-,-,-,putative cro homolog,20201220,-
73422,14492584,ltp,H316_gp01,-,-,-,-,superinfection exclusion lipoprotein,protein-coding,-,-,-,superinfection exclusion lipoprotein,20201220,-
73422,14492585,crh,H316_gp03,-,-,-,-,"putative CI repressor homolog;putative regulator, metallo-proteinase motif",protein-coding,-,-,-,"putative CI repressor homolog;putative regulator, metallo-proteinase motif",20201220,-
73422,14492586,H316_gp06,H316_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492587,H316_gp07,H316_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492588,H316_gp08,H316_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492589,H316_gp09,H316_gp09,-,-,-,-,putative primosome component,protein-coding,-,-,-,putative primosome component,20201220,-
73422,14492590,H316_gp10,H316_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492591,H316_gp11,H316_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492592,H316_gp12,H316_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492593,H316_gp13,H316_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492594,H316_gp14,H316_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492595,H316_gp15,H316_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492596,H316_gp16,H316_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492597,H316_gp17,H316_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492598,H316_gp18,H316_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492599,H316_gp19,H316_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492600,H316_gp20,H316_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492601,H316_gp21,H316_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
