#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2315613,60325975,3,I5H13_gp003,SEA_ARCUSANGELUS_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2315613,60325976,4,I5H13_gp004,SEA_ARCUSANGELUS_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2315613,60325977,5,I5H13_gp005,SEA_ARCUSANGELUS_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2315613,60325978,6,I5H13_gp006,SEA_ARCUSANGELUS_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
2315613,60325979,7,I5H13_gp007,SEA_ARCUSANGELUS_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2315613,60325980,8,I5H13_gp008,SEA_ARCUSANGELUS_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2315613,60325981,9,I5H13_gp009,SEA_ARCUSANGELUS_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2315613,60325982,10,I5H13_gp010,SEA_ARCUSANGELUS_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2315613,60325983,11,I5H13_gp011,SEA_ARCUSANGELUS_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2315613,60325984,13,I5H13_gp012,SEA_ARCUSANGELUS_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2315613,60325985,14,I5H13_gp014,SEA_ARCUSANGELUS_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2315613,60325986,12,I5H13_gp013,SEA_ARCUSANGELUS_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2315613,60325987,15,I5H13_gp015,SEA_ARCUSANGELUS_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2315613,60325988,16,I5H13_gp016,SEA_ARCUSANGELUS_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60325989,17,I5H13_gp017,SEA_ARCUSANGELUS_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2315613,60325990,18,I5H13_gp018,SEA_ARCUSANGELUS_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2315613,60325991,19,I5H13_gp019,SEA_ARCUSANGELUS_19,-,-,-,D-ala-D-ala carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala carboxypeptidase,20210424,-
2315613,60325992,20,I5H13_gp020,SEA_ARCUSANGELUS_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60325993,21,I5H13_gp021,SEA_ARCUSANGELUS_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60325994,22,I5H13_gp022,SEA_ARCUSANGELUS_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60325995,23,I5H13_gp023,SEA_ARCUSANGELUS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2315613,60325996,24,I5H13_gp024,SEA_ARCUSANGELUS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
