#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1458710,26518265,2,AU110_gp002,BADFISH_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200927,-
1458710,26518266,3,AU110_gp003,BADFISH_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518267,4,AU110_gp004,BADFISH_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518268,5,AU110_gp005,BADFISH_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518269,6,AU110_gp006,BADFISH_6,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210212,-
1458710,26518270,7,AU110_gp007,BADFISH_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518271,8,AU110_gp008,BADFISH_8,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1458710,26518272,9,AU110_gp009,BADFISH_9,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20200927,-
1458710,26518273,10,AU110_gp010,BADFISH_10,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20210212,-
1458710,26518274,11,AU110_gp011,BADFISH_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518275,12,AU110_gp012,BADFISH_12,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1458710,26518276,13,AU110_gp013,BADFISH_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518277,14,AU110_gp014,BADFISH_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518278,15,AU110_gp015,BADFISH_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518279,16,AU110_gp016,BADFISH_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518280,17,AU110_gp017,BADFISH_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518281,18,AU110_gp018,BADFISH_18,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1458710,26518282,19,AU110_gp019,BADFISH_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518283,20,AU110_gp020,BADFISH_20,-,-,-,queuine-tRNA ribosyltransferase,protein-coding,-,-,-,queuine-tRNA ribosyltransferase,20200927,-
1458710,26518284,21,AU110_gp021,BADFISH_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518285,22,AU110_gp022,BADFISH_22,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1458710,26518286,23,AU110_gp023,BADFISH_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518287,24,AU110_gp024,BADFISH_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518288,25,AU110_gp025,BADFISH_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1458710,26518289,26,AU110_gp026,BADFISH_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518290,27,AU110_gp027,BADFISH_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518291,28,AU110_gp028,BADFISH_28,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1458710,26518292,29,AU110_gp029,BADFISH_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1458710,26518293,30,AU110_gp030,BADFISH_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1458710,26518294,31,AU110_gp031,BADFISH_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1458710,26518295,32,AU110_gp032,BADFISH_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1458710,26518296,33,AU110_gp033,BADFISH_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518297,34,AU110_gp034,BADFISH_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518298,35,AU110_gp035,BADFISH_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518299,36,AU110_gp036,BADFISH_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518300,37,AU110_gp037,BADFISH_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518301,38,AU110_gp038,BADFISH_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518302,39,AU110_gp039,BADFISH_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518303,40,AU110_gp040,BADFISH_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518304,41,AU110_gp041,BADFISH_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518305,42,AU110_gp042,BADFISH_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518306,43,AU110_gp043,BADFISH_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518307,44,AU110_gp044,BADFISH_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518308,45,AU110_gp045,BADFISH_45,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200927,-
1458710,26518309,46,AU110_gp046,BADFISH_46,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200927,-
1458710,26518310,47,AU110_gp047,BADFISH_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518311,48,AU110_gp048,BADFISH_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518312,49,AU110_gp049,BADFISH_49,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210123,-
1458710,26518313,50,AU110_gp050,BADFISH_50,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1458710,26518314,51,AU110_gp051,BADFISH_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518315,52,AU110_gp052,BADFISH_52,-,-,-,helicase subunit,protein-coding,-,-,-,helicase subunit,20200927,-
1458710,26518316,53,AU110_gp053,BADFISH_53,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200927,-
1458710,26518317,54,AU110_gp054,BADFISH_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518318,55,AU110_gp055,BADFISH_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518319,56,AU110_gp056,BADFISH_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518320,57,AU110_gp057,BADFISH_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518321,58,AU110_gp058,BADFISH_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518322,59,AU110_gp059,BADFISH_59,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200927,-
1458710,26518323,60,AU110_gp060,BADFISH_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518324,61,AU110_gp061,BADFISH_61,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200927,-
1458710,26518325,62,AU110_gp062,BADFISH_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518326,63,AU110_gp063,BADFISH_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518327,64,AU110_gp064,BADFISH_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518328,65,AU110_gp065,BADFISH_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518329,66,AU110_gp066,BADFISH_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518330,67,AU110_gp067,BADFISH_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518331,68,AU110_gp068,BADFISH_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518332,69,AU110_gp069,BADFISH_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518333,70,AU110_gp070,BADFISH_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518334,71,AU110_gp071,BADFISH_71,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200927,-
1458710,26518335,72,AU110_gp072,BADFISH_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518336,73,AU110_gp073,BADFISH_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518337,74,AU110_gp074,BADFISH_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518338,75,AU110_gp075,BADFISH_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518339,76,AU110_gp076,BADFISH_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518340,77,AU110_gp077,BADFISH_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518341,78,AU110_gp078,BADFISH_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518342,79,AU110_gp079,BADFISH_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518343,80,AU110_gp080,BADFISH_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518344,81,AU110_gp081,BADFISH_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518345,82,AU110_gp082,BADFISH_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518346,83,AU110_gp083,BADFISH_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518347,84,AU110_gp084,BADFISH_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518348,85,AU110_gp085,BADFISH_85,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20200927,-
1458710,26518349,86,AU110_gp086,BADFISH_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518350,87,AU110_gp087,BADFISH_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518351,88,AU110_gp088,BADFISH_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518352,89,AU110_gp089,BADFISH_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518353,90,AU110_gp090,BADFISH_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518354,91,AU110_gp091,BADFISH_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518355,92,AU110_gp092,BADFISH_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518356,93,AU110_gp093,BADFISH_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518357,94,AU110_gp094,BADFISH_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518358,95,AU110_gp095,BADFISH_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518359,96,AU110_gp096,BADFISH_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518360,97,AU110_gp097,BADFISH_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518361,98,AU110_gp098,BADFISH_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518362,99,AU110_gp099,BADFISH_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518363,100,AU110_gp100,BADFISH_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518364,101,AU110_gp101,BADFISH_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518365,102,AU110_gp102,BADFISH_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458710,26518366,1,AU110_gp001,BADFISH_1,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20200927,-
1458710,26591583,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Badfish).,other,-,-,-,-,20200513,-
