#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500832,24724376,PHL308M00_02,PHL308M00_02,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500832,24724377,PHL308M00_03,PHL308M00_03,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500832,24724378,PHL308M00_04,PHL308M00_04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724379,PHL308M00_05,PHL308M00_05,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500832,24724380,PHL308M00_06,PHL308M00_06,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500832,24724381,PHL308M00_07,PHL308M00_07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724382,PHL308M00_08,PHL308M00_08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724383,PHL308M00_09,PHL308M00_09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724384,PHL308M00_10,PHL308M00_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724385,PHL308M00_11,PHL308M00_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500832,24724386,PHL308M00_12,PHL308M00_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724387,PHL308M00_13,PHL308M00_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724388,PHL308M00_14,PHL308M00_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500832,24724389,PHL308M00_15,PHL308M00_15,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500832,24724390,PHL308M00_16,PHL308M00_16,-,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500832,24724391,PHL308M00_17,PHL308M00_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724392,PHL308M00_18,PHL308M00_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724393,PHL308M00_19,PHL308M00_19,-,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500832,24724394,PHL308M00_20,PHL308M00_20,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500832,24724395,PHL308M00_21,PHL308M00_21,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500832,24724396,PHL308M00_22,PHL308M00_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724397,PHL308M00_23,PHL308M00_23,-,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500832,24724398,PHL308M00_24,PHL308M00_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724399,PHL308M00_25,PHL308M00_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724400,PHL308M00_26,PHL308M00_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724401,PHL308M00_27,PHL308M00_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724402,PHL308M00_28,PHL308M00_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724403,PHL308M00_29,PHL308M00_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724404,PHL308M00_30,PHL308M00_30,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500832,24724405,PHL308M00_31,PHL308M00_31,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500832,24724406,PHL308M00_32,PHL308M00_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724407,PHL308M00_33,PHL308M00_33,-,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1500832,24724408,PHL308M00_34,PHL308M00_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724409,PHL308M00_35,PHL308M00_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724410,PHL308M00_36,PHL308M00_36,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1500832,24724411,PHL308M00_37,PHL308M00_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724412,PHL308M00_38,PHL308M00_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724413,PHL308M00_39,PHL308M00_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724414,PHL308M00_40,PHL308M00_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724415,PHL308M00_41,PHL308M00_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724416,PHL308M00_42,PHL308M00_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724417,PHL308M00_43,PHL308M00_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724418,PHL308M00_44,PHL308M00_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500832,24724419,PHL308M00_45,PHL308M00_45,-,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1500832,24724420,PHL308M00_01,PHL308M00_01,-,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1500832,24936554,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
