#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2576882,65056533,KMC02_gp002,KMC02_gp002,EcNP1_gp003,-,-,-,putative immunity to superinfection membrane protein,protein-coding,-,-,-,putative immunity to superinfection membrane protein,20210608,-
2576882,65056534,KMC02_gp003,KMC02_gp003,EcNP1_gp004,-,-,-,immunity protein,protein-coding,-,-,-,immunity protein,20210608,-
2576882,65056535,KMC02_gp004,KMC02_gp004,EcNP1_gp005,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210609,-
2576882,65056536,KMC02_gp005,KMC02_gp005,EcNP1_gp006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056537,KMC02_gp006,KMC02_gp006,EcNP1_gp007,-,-,-,endoribonuclease translational repressor of early genes,protein-coding,-,-,-,endoribonuclease translational repressor of early genes,20210608,-
2576882,65056538,KMC02_gp007,KMC02_gp007,EcNP1_gp008,-,-,-,DNA polymerase clamp loader subunit,protein-coding,-,-,-,DNA polymerase clamp loader subunit,20210608,-
2576882,65056539,KMC02_gp008,KMC02_gp008,EcNP1_gp009,-,-,-,replication factor C small subunit of DNA polymerase clamp loader subunit,protein-coding,-,-,-,replication factor C small subunit of DNA polymerase clamp loader subunit,20210608,-
2576882,65056540,KMC02_gp009,KMC02_gp009,EcNP1_gp010,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20210608,-
2576882,65056541,KMC02_gp010,KMC02_gp010,EcNP1_gp011,-,-,-,RNA polymerase-binding protein,protein-coding,-,-,-,RNA polymerase-binding protein,20210608,-
2576882,65056542,KMC02_gp011,KMC02_gp011,EcNP1_gp012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056543,KMC02_gp012,KMC02_gp012,EcNP1_gp013,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210608,-
2576882,65056544,KMC02_gp013,KMC02_gp013,EcNP1_gp014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056545,KMC02_gp014,KMC02_gp014,EcNP1_gp015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056546,KMC02_gp015,KMC02_gp015,EcNP1_gp016,-,-,-,recombination-related endonuclease,protein-coding,-,-,-,recombination-related endonuclease,20210609,-
2576882,65056547,KMC02_gp016,KMC02_gp016,EcNP1_gp017,-,-,-,alpha glucosyl transferase,protein-coding,-,-,-,alpha glucosyl transferase,20210608,-
2576882,65056548,KMC02_gp017,KMC02_gp017,EcNP1_gp018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2576882,65056549,KMC02_gp018,KMC02_gp018,EcNP1_gp019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
