#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2517951,60336206,2,I5J42_gp02,SEA_GREASELIGHTNIN_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2517951,60336207,3,I5J42_gp03,SEA_GREASELIGHTNIN_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
2517951,60336208,4,I5J42_gp04,SEA_GREASELIGHTNIN_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210417,-
2517951,60336209,5,I5J42_gp05,SEA_GREASELIGHTNIN_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210417,-
2517951,60336210,6,I5J42_gp06,SEA_GREASELIGHTNIN_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201130,-
2517951,60336211,7,I5J42_gp07,SEA_GREASELIGHTNIN_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336212,8,I5J42_gp08,SEA_GREASELIGHTNIN_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210123,-
2517951,60336213,9,I5J42_gp09,SEA_GREASELIGHTNIN_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201130,-
2517951,60336214,10,I5J42_gp10,SEA_GREASELIGHTNIN_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336215,11,I5J42_gp11,SEA_GREASELIGHTNIN_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336216,12,I5J42_gp12,SEA_GREASELIGHTNIN_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336217,13,I5J42_gp13,SEA_GREASELIGHTNIN_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201130,-
