#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1815955,29059148,BI048_gp07,BI048_gp07,PlgT1_7,-,-,-,CHAP domain-containing protein,protein-coding,-,-,-,CHAP domain-containing protein,20201221,-
1815955,29059149,BI048_gp23,BI048_gp23,PlgT1_23,-,-,-,DUF4355 domain-containing protein,protein-coding,-,-,-,DUF4355 domain-containing protein,20210313,-
1815955,29059150,BI048_gp02,BI048_gp02,PlgT1_2,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059151,BI048_gp03,BI048_gp03,PlgT1_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059152,BI048_gp04,BI048_gp04,PlgT1_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059153,BI048_gp05,BI048_gp05,PlgT1_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059154,BI048_gp06,BI048_gp06,PlgT1_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059155,BI048_gp08,BI048_gp08,PlgT1_8,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
1815955,29059156,BI048_gp09,BI048_gp09,PlgT1_9,-,-,-,hemolysin XhlA family protein,protein-coding,-,-,-,hemolysin XhlA family protein,20201221,-
1815955,29059157,BI048_gp10,BI048_gp10,PlgT1_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059158,BI048_gp11,BI048_gp11,PlgT1_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059159,BI048_gp12,BI048_gp12,PlgT1_12,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
1815955,29059160,BI048_gp13,BI048_gp13,PlgT1_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059161,BI048_gp14,BI048_gp14,PlgT1_14,-,-,-,transglycosylase SLT domain-containing protein,protein-coding,-,-,-,transglycosylase SLT domain-containing protein,20201221,-
1815955,29059162,BI048_gp15,BI048_gp15,PlgT1_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059163,BI048_gp16,BI048_gp16,PlgT1_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059164,BI048_gp17,BI048_gp17,PlgT1_17,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200629,-
1815955,29059165,BI048_gp18,BI048_gp18,PlgT1_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059166,BI048_gp19,BI048_gp19,PlgT1_19,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200629,-
1815955,29059167,BI048_gp20,BI048_gp20,PlgT1_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059168,BI048_gp21,BI048_gp21,PlgT1_21,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20201221,-
1815955,29059169,BI048_gp22,BI048_gp22,PlgT1_22,-,-,-,Ig-like domain-containing protein,protein-coding,-,-,-,Ig-like domain-containing protein,20201221,-
1815955,29059170,BI048_gp24,BI048_gp24,PlgT1_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059171,BI048_gp25,BI048_gp25,PlgT1_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059172,BI048_gp26,BI048_gp26,PlgT1_26,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1815955,29059173,BI048_gp27,BI048_gp27,PlgT1_27,-,-,-,ribosomal-processing cysteine protease Prp,protein-coding,-,-,-,ribosomal-processing cysteine protease Prp,20201221,-
1815955,29059174,BI048_gp28,BI048_gp28,PlgT1_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059175,BI048_gp29,BI048_gp29,PlgT1_29,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1815955,29059176,BI048_gp30,BI048_gp30,PlgT1_30,-,-,-,PBSX familygterminase large subunit,protein-coding,-,-,-,PBSX familygterminase large subunit,20201221,-
