#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2027893,60328075,I5H33_gp002,I5H33_gp002,SEA_EMMA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2027893,60328076,I5H33_gp004,I5H33_gp004,SEA_EMMA_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2027893,60328077,I5H33_gp006,I5H33_gp006,SEA_EMMA_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2027893,60328078,I5H33_gp007,I5H33_gp007,SEA_EMMA_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2027893,60328079,I5H33_gp008,I5H33_gp008,SEA_EMMA_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2027893,60328080,I5H33_gp009,I5H33_gp009,SEA_EMMA_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2027893,60328081,I5H33_gp010,I5H33_gp010,SEA_EMMA_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2027893,60328082,I5H33_gp011,I5H33_gp011,SEA_EMMA_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2027893,60328083,I5H33_gp012,I5H33_gp012,SEA_EMMA_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2027893,60328084,I5H33_gp014,I5H33_gp014,SEA_EMMA_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2027893,60328085,I5H33_gp015,I5H33_gp015,SEA_EMMA_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027893,60328086,I5H33_gp016,I5H33_gp016,SEA_EMMA_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027893,60328087,I5H33_gp017,I5H33_gp017,SEA_EMMA_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027893,60328088,I5H33_gp019,I5H33_gp019,SEA_EMMA_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2027893,60328089,I5H33_gp020,I5H33_gp020,SEA_EMMA_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027893,60328090,I5H33_gp021,I5H33_gp021,SEA_EMMA_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027893,60328091,I5H33_gp022,I5H33_gp022,SEA_EMMA_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027893,60328092,I5H33_gp023,I5H33_gp023,SEA_EMMA_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027893,60328093,I5H33_gp024,I5H33_gp024,SEA_EMMA_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2027893,60328094,I5H33_gp025,I5H33_gp025,SEA_EMMA_25,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2027893,60328095,I5H33_gp026,I5H33_gp026,SEA_EMMA_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328096,I5H33_gp027,I5H33_gp027,SEA_EMMA_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328097,I5H33_gp028,I5H33_gp028,SEA_EMMA_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328098,I5H33_gp029,I5H33_gp029,SEA_EMMA_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328099,I5H33_gp030,I5H33_gp030,SEA_EMMA_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328100,I5H33_gp031,I5H33_gp031,SEA_EMMA_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328101,I5H33_gp032,I5H33_gp032,SEA_EMMA_32,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2027893,60328102,I5H33_gp033,I5H33_gp033,SEA_EMMA_33,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2027893,60328103,I5H33_gp034,I5H33_gp034,SEA_EMMA_34,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2027893,60328104,I5H33_gp035,I5H33_gp035,SEA_EMMA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2027893,60328105,I5H33_gp036,I5H33_gp036,SEA_EMMA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328106,I5H33_gp037,I5H33_gp037,SEA_EMMA_37,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210424,-
2027893,60328107,I5H33_gp038,I5H33_gp038,SEA_EMMA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328108,I5H33_gp040,I5H33_gp040,SEA_EMMA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328109,I5H33_gp041,I5H33_gp041,SEA_EMMA_41,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2027893,60328110,I5H33_gp042,I5H33_gp042,SEA_EMMA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328111,I5H33_gp043,I5H33_gp043,SEA_EMMA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328112,I5H33_gp044,I5H33_gp044,SEA_EMMA_44,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2027893,60328113,I5H33_gp045,I5H33_gp045,SEA_EMMA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328114,I5H33_gp046,I5H33_gp046,SEA_EMMA_46,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2027893,60328115,I5H33_gp047,I5H33_gp047,SEA_EMMA_47,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20201203,-
2027893,60328116,I5H33_gp048,I5H33_gp048,SEA_EMMA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328117,I5H33_gp049,I5H33_gp049,SEA_EMMA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328118,I5H33_gp051,I5H33_gp051,SEA_EMMA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328119,I5H33_gp052,I5H33_gp052,SEA_EMMA_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328120,I5H33_gp054,I5H33_gp054,SEA_EMMA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
