#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1777064,28800102,BH775_gp02,BH775_gp02,PAEP54_00020,-,-,-,DNA cytosine methyltransferase,protein-coding,-,-,-,DNA cytosine methyltransferase,20200629,-
1777064,28800103,BH775_gp03,BH775_gp03,PAEP54_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800104,BH775_gp04,BH775_gp04,PAEP54_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800105,BH775_gp05,BH775_gp05,PAEP54_00050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800106,BH775_gp06,BH775_gp06,PAEP54_00060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800107,BH775_gp07,BH775_gp07,PAEP54_00070,-,-,-,dual specificity protein phosphatase family protein,protein-coding,-,-,-,dual specificity protein phosphatase family protein,20201221,-
1777064,28800108,BH775_gp08,BH775_gp08,PAEP54_00080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800109,BH775_gp09,BH775_gp09,PAEP54_00090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800110,BH775_gp10,BH775_gp10,PAEP54_00100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800111,BH775_gp11,BH775_gp11,PAEP54_00110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800112,BH775_gp12,BH775_gp12,PAEP54_00120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800113,BH775_gp13,BH775_gp13,PAEP54_00130,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201221,-
1777064,28800114,BH775_gp14,BH775_gp14,PAEP54_00140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800115,BH775_gp15,BH775_gp15,PAEP54_00150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800116,BH775_gp16,BH775_gp16,PAEP54_00160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800117,BH775_gp17,BH775_gp17,PAEP54_00170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800118,BH775_gp18,BH775_gp18,PAEP54_00180,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1777064,28800119,BH775_gp19,BH775_gp19,PAEP54_00190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800120,BH775_gp20,BH775_gp20,PAEP54_00200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800121,BH775_gp21,BH775_gp21,PAEP54_00210,-,-,-,DUF1833 family protein,protein-coding,-,-,-,DUF1833 family protein,20201221,-
1777064,28800122,BH775_gp22,BH775_gp22,PAEP54_00220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800123,BH775_gp23,BH775_gp23,PAEP54_00230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800124,BH775_gp24,BH775_gp24,PAEP54_00240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800125,BH775_gp25,BH775_gp25,PAEP54_00250,-,-,-,Ig-like domain-containing protein,protein-coding,-,-,-,Ig-like domain-containing protein,20201221,-
1777064,28800126,BH775_gp26,BH775_gp26,PAEP54_00260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800127,BH775_gp27,BH775_gp27,PAEP54_00270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800128,BH775_gp28,BH775_gp28,PAEP54_00280,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
1777064,28800129,BH775_gp29,BH775_gp29,PAEP54_00290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800130,BH775_gp30,BH775_gp30,PAEP54_00300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800131,BH775_gp31,BH775_gp31,PAEP54_00310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800132,BH775_gp32,BH775_gp32,PAEP54_00320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800133,BH775_gp33,BH775_gp33,PAEP54_00330,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800134,BH775_gp34,BH775_gp34,PAEP54_00340,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800135,BH775_gp35,BH775_gp35,PAEP54_00350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1777064,28800136,BH775_gp36,BH775_gp36,PAEP54_00360,-,-,-,DUF1073 domain-containing protein,protein-coding,-,-,-,DUF1073 domain-containing protein,20201221,-
1777064,28800137,BH775_gp37,BH775_gp37,PAEP54_00370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800138,BH775_gp38,BH775_gp38,PAEP54_00380,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1777064,28800139,BH775_gp39,BH775_gp39,PAEP54_00390,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210406,-
1777064,28800140,BH775_gp40,BH775_gp40,PAEP54_00400,-,-,-,holin family protein,protein-coding,-,-,-,holin family protein,20210424,-
1777064,28800141,BH775_gp41,BH775_gp41,PAEP54_00410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1777064,28800142,BH775_gp42,BH775_gp42,PAEP54_00420,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800143,BH775_gp43,BH775_gp43,PAEP54_00430,-,-,-,RusA family crossover junction endodeoxyribonuclease,protein-coding,-,-,-,RusA family crossover junction endodeoxyribonuclease,20210123,-
1777064,28800144,BH775_gp44,BH775_gp44,PAEP54_00440,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20201221,-
1777064,28800145,BH775_gp45,BH775_gp45,PAEP54_00450,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800146,BH775_gp46,BH775_gp46,PAEP54_00460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800147,BH775_gp47,BH775_gp47,PAEP54_00470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800148,BH775_gp48,BH775_gp48,PAEP54_00480,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800149,BH775_gp49,BH775_gp49,PAEP54_00490,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800150,BH775_gp50,BH775_gp50,PAEP54_00500,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1777064,28800151,BH775_gp51,BH775_gp51,PAEP54_00510,-,-,-,repressor protein,protein-coding,-,-,-,repressor protein,20200629,-
1777064,28800152,BH775_gp52,BH775_gp52,PAEP54_00520,-,-,-,outer membrane protein assembly factor BamE,protein-coding,-,-,-,outer membrane protein assembly factor BamE,20210424,-
1777064,28800153,BH775_gp53,BH775_gp53,PAEP54_00530,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800154,BH775_gp54,BH775_gp54,PAEP54_00540,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800155,BH775_gp55,BH775_gp55,PAEP54_00550,-,-,-,DUF1654 domain-containing protein,protein-coding,-,-,-,DUF1654 domain-containing protein,20201221,-
1777064,28800156,BH775_gp56,BH775_gp56,PAEP54_00560,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
