#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2686233,60321362,2,I5G63_gp002,PBI_IMVUBU_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210313,-
2686233,60321363,3,I5G63_gp003,PBI_IMVUBU_3,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210313,-
2686233,60321364,4,I5G63_gp004,PBI_IMVUBU_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321365,5,I5G63_gp005,PBI_IMVUBU_5,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201129,-
2686233,60321366,6,I5G63_gp006,PBI_IMVUBU_6,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20210313,-
2686233,60321367,7,I5G63_gp007,PBI_IMVUBU_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321368,8,I5G63_gp008,PBI_IMVUBU_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321369,9,I5G63_gp009,PBI_IMVUBU_9,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210313,-
2686233,60321370,10,I5G63_gp010,PBI_IMVUBU_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321371,11,I5G63_gp011,PBI_IMVUBU_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321372,12,I5G63_gp012,PBI_IMVUBU_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321373,13,I5G63_gp013,PBI_IMVUBU_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321374,14,I5G63_gp014,PBI_IMVUBU_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321375,15,I5G63_gp015,PBI_IMVUBU_15,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2686233,60321376,16,I5G63_gp016,PBI_IMVUBU_16,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2686233,60321377,17,I5G63_gp017,PBI_IMVUBU_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321378,18,I5G63_gp018,PBI_IMVUBU_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321379,19,I5G63_gp019,PBI_IMVUBU_19,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2686233,60321380,20,I5G63_gp020,PBI_IMVUBU_20,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2686233,60321381,21,I5G63_gp021,PBI_IMVUBU_21,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210313,-
2686233,60321382,22,I5G63_gp022,PBI_IMVUBU_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2686233,60321383,23,I5G63_gp023,PBI_IMVUBU_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2686233,60321384,24,I5G63_gp024,PBI_IMVUBU_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2686233,60321385,25,I5G63_gp025,PBI_IMVUBU_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2686233,60321386,26,I5G63_gp026,PBI_IMVUBU_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321387,27,I5G63_gp027,PBI_IMVUBU_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321388,28,I5G63_gp028,PBI_IMVUBU_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321389,29,I5G63_gp029,PBI_IMVUBU_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321390,30,I5G63_gp030,PBI_IMVUBU_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321391,31,I5G63_gp031,PBI_IMVUBU_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321392,32,I5G63_gp032,PBI_IMVUBU_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321393,33,I5G63_gp033,PBI_IMVUBU_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321394,34,I5G63_gp034,PBI_IMVUBU_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321395,35,I5G63_gp035,PBI_IMVUBU_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321396,36,I5G63_gp036,PBI_IMVUBU_36,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2686233,60321397,37,I5G63_gp037,PBI_IMVUBU_37,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210313,-
2686233,60321398,38,I5G63_gp038,PBI_IMVUBU_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321399,39,I5G63_gp039,PBI_IMVUBU_39,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201129,-
2686233,60321400,40,I5G63_gp040,PBI_IMVUBU_40,-,-,-,holin,protein-coding,-,-,-,holin,20210313,-
2686233,60321401,41,I5G63_gp041,PBI_IMVUBU_41,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2686233,60321402,42,I5G63_gp042,PBI_IMVUBU_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321403,43,I5G63_gp043,PBI_IMVUBU_43,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201129,-
2686233,60321404,44,I5G63_gp044,PBI_IMVUBU_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321405,45,I5G63_gp045,PBI_IMVUBU_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321406,46,I5G63_gp046,PBI_IMVUBU_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321407,47,I5G63_gp047,PBI_IMVUBU_47,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210313,-
2686233,60321408,48,I5G63_gp048,PBI_IMVUBU_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321409,49,I5G63_gp049,PBI_IMVUBU_49,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210313,-
2686233,60321410,50,I5G63_gp050,PBI_IMVUBU_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321411,51,I5G63_gp051,PBI_IMVUBU_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321412,52,I5G63_gp052,PBI_IMVUBU_52,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210313,-
2686233,60321413,53,I5G63_gp053,PBI_IMVUBU_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321414,54,I5G63_gp054,PBI_IMVUBU_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321415,55,I5G63_gp055,PBI_IMVUBU_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
