#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2653759,60329981,2,I5H51_gp02,SEA_KENUHA5_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2653759,60329982,3,I5H51_gp03,SEA_KENUHA5_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2653759,60329983,4,I5H51_gp04,SEA_KENUHA5_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2653759,60329984,5,I5H51_gp05,SEA_KENUHA5_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2653759,60329985,6,I5H51_gp06,SEA_KENUHA5_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2653759,60329986,7,I5H51_gp07,SEA_KENUHA5_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2653759,60329987,8,I5H51_gp08,SEA_KENUHA5_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2653759,60329988,9,I5H51_gp09,SEA_KENUHA5_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2653759,60329989,10,I5H51_gp10,SEA_KENUHA5_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2653759,60329990,11,I5H51_gp11,SEA_KENUHA5_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2653759,60329991,13,I5H51_gp12,SEA_KENUHA5_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2653759,60329992,14,I5H51_gp14,SEA_KENUHA5_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201202,-
2653759,60329993,12,I5H51_gp13,SEA_KENUHA5_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2653759,60329994,15,I5H51_gp15,SEA_KENUHA5_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2653759,60329995,16,I5H51_gp16,SEA_KENUHA5_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2653759,60329996,17,I5H51_gp17,SEA_KENUHA5_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60329997,18,I5H51_gp18,SEA_KENUHA5_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2653759,60329998,19,I5H51_gp19,SEA_KENUHA5_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2653759,60329999,20,I5H51_gp20,SEA_KENUHA5_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2653759,60330000,21,I5H51_gp21,SEA_KENUHA5_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330001,22,I5H51_gp22,SEA_KENUHA5_22,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210417,-
2653759,60330002,23,I5H51_gp23,SEA_KENUHA5_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330003,24,I5H51_gp24,SEA_KENUHA5_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330004,25,I5H51_gp25,SEA_KENUHA5_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330005,26,I5H51_gp26,SEA_KENUHA5_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330006,27,I5H51_gp27,SEA_KENUHA5_27,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2653759,60330007,28,I5H51_gp28,SEA_KENUHA5_28,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2653759,60330008,29,I5H51_gp29,SEA_KENUHA5_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2653759,60330009,30,I5H51_gp30,SEA_KENUHA5_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2653759,60330010,31,I5H51_gp31,SEA_KENUHA5_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330011,32,I5H51_gp32,SEA_KENUHA5_32,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20210417,-
2653759,60330012,33,I5H51_gp33,SEA_KENUHA5_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330013,34,I5H51_gp34,SEA_KENUHA5_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330014,35,I5H51_gp35,SEA_KENUHA5_35,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2653759,60330015,36,I5H51_gp36,SEA_KENUHA5_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330016,37,I5H51_gp37,SEA_KENUHA5_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330017,38,I5H51_gp38,SEA_KENUHA5_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330018,40,I5H51_gp40,SEA_KENUHA5_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330019,41,I5H51_gp41,SEA_KENUHA5_41,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2653759,60330020,42,I5H51_gp42,SEA_KENUHA5_42,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20201202,-
2653759,60330021,43,I5H51_gp43,SEA_KENUHA5_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330022,45,I5H51_gp45,SEA_KENUHA5_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330023,48,I5H51_gp48,SEA_KENUHA5_48,-,-,-,excise,protein-coding,-,-,-,excise,20201129,-
2653759,60330024,49,I5H51_gp49,SEA_KENUHA5_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330025,50,I5H51_gp50,SEA_KENUHA5_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330026,52,I5H51_gp52,SEA_KENUHA5_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330027,53,I5H51_gp53,SEA_KENUHA5_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330028,54,I5H51_gp54,SEA_KENUHA5_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2653759,60330029,55,I5H51_gp55,SEA_KENUHA5_55,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2653759,60330030,56,I5H51_gp56,SEA_KENUHA5_56,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210403,-
2653759,60330031,57,I5H51_gp57,SEA_KENUHA5_57,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2653759,60330032,58,I5H51_gp58,SEA_KENUHA5_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330033,59,I5H51_gp59,SEA_KENUHA5_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330034,60,I5H51_gp60,SEA_KENUHA5_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2653759,60330035,61,I5H51_gp61,SEA_KENUHA5_61,-,-,-,Ku-like dsDNA break-binding protein,protein-coding,-,-,-,Ku-like dsDNA break-binding protein,20201129,-
2653759,60330036,62,I5H51_gp62,SEA_KENUHA5_62,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210424,-
2653759,60330037,63,I5H51_gp63,SEA_KENUHA5_63,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2653759,60330038,64,I5H51_gp64,SEA_KENUHA5_64,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210417,-
2653759,60330039,65,I5H51_gp65,SEA_KENUHA5_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330040,66,I5H51_gp66,SEA_KENUHA5_66,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201202,-
2653759,60330041,67,I5H51_gp67,SEA_KENUHA5_67,-,-,-,ribbon helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,ribbon helix-turn-helix DNA binding domain protein,20201129,-
2653759,60330042,68,I5H51_gp68,SEA_KENUHA5_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330043,69,I5H51_gp69,SEA_KENUHA5_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330044,70,I5H51_gp70,SEA_KENUHA5_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330045,71,I5H51_gp71,SEA_KENUHA5_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330046,72,I5H51_gp72,SEA_KENUHA5_72,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2653759,60330047,73,I5H51_gp73,SEA_KENUHA5_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330048,74,I5H51_gp74,SEA_KENUHA5_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330049,75,I5H51_gp75,SEA_KENUHA5_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330050,76,I5H51_gp76,SEA_KENUHA5_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330051,77,I5H51_gp77,SEA_KENUHA5_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330052,79,I5H51_gp79,SEA_KENUHA5_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330053,80,I5H51_gp80,SEA_KENUHA5_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330054,81,I5H51_gp81,SEA_KENUHA5_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330055,82,I5H51_gp82,SEA_KENUHA5_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330056,83,I5H51_gp83,SEA_KENUHA5_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330057,84,I5H51_gp84,SEA_KENUHA5_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330058,85,I5H51_gp85,SEA_KENUHA5_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330059,86,I5H51_gp86,SEA_KENUHA5_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330060,87,I5H51_gp87,SEA_KENUHA5_87,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2653759,60330061,88,I5H51_gp88,SEA_KENUHA5_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330062,89,I5H51_gp89,SEA_KENUHA5_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330063,90,I5H51_gp90,SEA_KENUHA5_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330064,91,I5H51_gp91,SEA_KENUHA5_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330065,92,I5H51_gp92,SEA_KENUHA5_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330066,93,I5H51_gp93,SEA_KENUHA5_93,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201202,-
2653759,60330067,94,I5H51_gp94,SEA_KENUHA5_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653759,60330068,95,I5H51_gp95,SEA_KENUHA5_95,-,-,-,glucosyltransferase,protein-coding,-,-,-,glucosyltransferase,20201202,-
2653759,60330069,96,I5H51_gp96,SEA_KENUHA5_96,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2653759,60330070,39,I5H51_gp39,SEA_KENUHA5_39,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210406,-
2653759,60330071,44,I5H51_gp44,SEA_KENUHA5_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
