#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1846168,54976079,HOR15_gp02,HOR15_gp02,LVP1_g002,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210327,-
1846168,54976080,HOR15_gt01,HOR15_gt01,LVP1_t001,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1846168,54976081,HOR15_gt02,HOR15_gt02,LVP1_t002,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1846168,54976082,HOR15_gp84,HOR15_gp84,LVP1_g005,-,-,-,hk97 family portal protein,protein-coding,-,-,-,hk97 family portal protein,20210327,-
1846168,54976083,HOR15_gp83,HOR15_gp83,LVP1_g006,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20210327,-
1846168,54976084,HOR15_gp82,HOR15_gp82,LVP1_g007,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210327,-
1846168,54976085,HOR15_gp81,HOR15_gp81,LVP1_g008,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200910,-
1846168,54976086,HOR15_gp80,HOR15_gp80,LVP1_g009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1846168,54976087,HOR15_gp79,HOR15_gp79,LVP1_g010,-,-,-,head-tail joining protein,protein-coding,-,-,-,head-tail joining protein,20200910,-
1846168,54976088,HOR15_gp78,HOR15_gp78,LVP1_g011,-,-,-,head-tail adaptor,protein-coding,-,-,-,head-tail adaptor,20210327,-
1846168,54976089,HOR15_gp77,HOR15_gp77,LVP1_g012,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210327,-
1846168,54976090,HOR15_gp76,HOR15_gp76,LVP1_g013,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210327,-
1846168,54976091,HOR15_gp75,HOR15_gp75,LVP1_g014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1846168,54976092,HOR15_gp74,HOR15_gp74,LVP1_g015,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210327,-
1846168,54976093,HOR15_gp73,HOR15_gp73,LVP1_g016,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20210327,-
1846168,54976094,HOR15_gp72,HOR15_gp72,LVP1_g017,-,-,-,baseplate protein tal-like protein,protein-coding,-,-,-,baseplate protein tal-like protein,20210327,-
1846168,54976095,HOR15_gp71,HOR15_gp71,LVP1_g018,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200910,-
1846168,54976096,HOR15_gp70,HOR15_gp70,LVP1_g019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976097,HOR15_gp69,HOR15_gp69,LVP1_g020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976098,HOR15_gp68,HOR15_gp68,LVP1_g021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976099,HOR15_gp67,HOR15_gp67,LVP1_g022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1846168,54976100,HOR15_gp66,HOR15_gp66,LVP1_g023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976101,HOR15_gp65,HOR15_gp65,LVP1_g024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
