#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419955,55006569,2,HOU48_gp02,PBI_DRMANHATTAN_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2419955,55006570,3,HOU48_gp03,PBI_DRMANHATTAN_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2419955,55006571,4,HOU48_gp04,PBI_DRMANHATTAN_4,-,-,-,ADP-ribosyltransferase domain and MuF-like fusion protein,protein-coding,-,-,-,ADP-ribosyltransferase domain and MuF-like fusion protein,20210403,-
2419955,55006572,5,HOU48_gp05,PBI_DRMANHATTAN_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006573,6,HOU48_gp06,PBI_DRMANHATTAN_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210403,-
2419955,55006574,7,HOU48_gp07,PBI_DRMANHATTAN_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2419955,55006575,8,HOU48_gp08,PBI_DRMANHATTAN_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
2419955,55006576,9,HOU48_gp09,PBI_DRMANHATTAN_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006577,10,HOU48_gp10,PBI_DRMANHATTAN_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
2419955,55006578,11,HOU48_gp11,PBI_DRMANHATTAN_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006579,12,HOU48_gp12,PBI_DRMANHATTAN_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
2419955,55006580,13,HOU48_gp13,PBI_DRMANHATTAN_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2419955,55006581,15,HOU48_gp14,PBI_DRMANHATTAN_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2419955,55006582,16,HOU48_gp16,PBI_DRMANHATTAN_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2419955,55006583,14,HOU48_gp15,PBI_DRMANHATTAN_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2419955,55006584,17,HOU48_gp17,PBI_DRMANHATTAN_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2419955,55006585,18,HOU48_gp18,PBI_DRMANHATTAN_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2419955,55006586,19,HOU48_gp19,PBI_DRMANHATTAN_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2419955,55006587,20,HOU48_gp20,PBI_DRMANHATTAN_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2419955,55006588,21,HOU48_gp21,PBI_DRMANHATTAN_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006589,22,HOU48_gp22,PBI_DRMANHATTAN_22,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2419955,55006590,23,HOU48_gp23,PBI_DRMANHATTAN_23,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20210403,-
2419955,55006591,24,HOU48_gp24,PBI_DRMANHATTAN_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006592,25,HOU48_gp25,PBI_DRMANHATTAN_25,-,-,-,RepA-like helicase,protein-coding,-,-,-,RepA-like helicase,20201221,-
2419955,55006593,26,HOU48_gp26,PBI_DRMANHATTAN_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2419955,55006594,27,HOU48_gp27,PBI_DRMANHATTAN_27,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210403,-
2419955,55006595,28,HOU48_gp28,PBI_DRMANHATTAN_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2419955,55006596,29,HOU48_gp29,PBI_DRMANHATTAN_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006597,30,HOU48_gp30,PBI_DRMANHATTAN_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006598,31,HOU48_gp31,PBI_DRMANHATTAN_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006599,32,HOU48_gp32,PBI_DRMANHATTAN_32,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210403,-
2419955,55006600,33,HOU48_gp33,PBI_DRMANHATTAN_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006601,34,HOU48_gp34,PBI_DRMANHATTAN_34,-,-,-,phosphodiesterase,protein-coding,-,-,-,phosphodiesterase,20210403,-
2419955,55006602,35,HOU48_gp35,PBI_DRMANHATTAN_35,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20201221,-
2419955,55006603,36,HOU48_gp36,PBI_DRMANHATTAN_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006604,37,HOU48_gp37,PBI_DRMANHATTAN_37,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210403,-
2419955,55006605,38,HOU48_gp38,PBI_DRMANHATTAN_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006606,39,HOU48_gp39,PBI_DRMANHATTAN_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006607,40,HOU48_gp40,PBI_DRMANHATTAN_40,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210403,-
2419955,55006608,41,HOU48_gp41,PBI_DRMANHATTAN_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006609,42,HOU48_gp42,PBI_DRMANHATTAN_42,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210403,-
2419955,55006610,43,HOU48_gp43,PBI_DRMANHATTAN_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006611,44,HOU48_gp44,PBI_DRMANHATTAN_44,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20210403,-
2419955,55006612,45,HOU48_gp45,PBI_DRMANHATTAN_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006613,46,HOU48_gp46,PBI_DRMANHATTAN_46,-,-,-,SprT-like protease,protein-coding,-,-,-,SprT-like protease,20210403,-
2419955,55006614,47,HOU48_gp47,PBI_DRMANHATTAN_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006615,48,HOU48_gp48,PBI_DRMANHATTAN_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006616,49,HOU48_gp49,PBI_DRMANHATTAN_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006617,50,HOU48_gp50,PBI_DRMANHATTAN_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006618,51,HOU48_gp51,PBI_DRMANHATTAN_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006619,52,HOU48_gp52,PBI_DRMANHATTAN_52,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
2419955,55006620,53,HOU48_gp53,PBI_DRMANHATTAN_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006621,54,HOU48_gp54,PBI_DRMANHATTAN_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006622,55,HOU48_gp55,PBI_DRMANHATTAN_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006623,56,HOU48_gp56,PBI_DRMANHATTAN_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006624,58,HOU48_gp58,PBI_DRMANHATTAN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006625,59,HOU48_gp59,PBI_DRMANHATTAN_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006626,60,HOU48_gp60,PBI_DRMANHATTAN_60,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210403,-
2419955,55006627,61,HOU48_gp61,PBI_DRMANHATTAN_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006628,63,HOU48_gp63,PBI_DRMANHATTAN_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006629,64,HOU48_gp64,PBI_DRMANHATTAN_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006630,65,HOU48_gp65,PBI_DRMANHATTAN_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006631,66,HOU48_gp66,PBI_DRMANHATTAN_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2419955,55006632,67,HOU48_gp67,PBI_DRMANHATTAN_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006633,68,HOU48_gp68,PBI_DRMANHATTAN_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006634,69,HOU48_gp69,PBI_DRMANHATTAN_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006635,70,HOU48_gp70,PBI_DRMANHATTAN_70,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
2419955,55006636,71,HOU48_gp71,PBI_DRMANHATTAN_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2419955,55006637,72,HOU48_gp72,PBI_DRMANHATTAN_72,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2419955,55006638,57,HOU48_gp57,PBI_DRMANHATTAN_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006639,62,HOU48_gp62,PBI_DRMANHATTAN_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419955,55006640,1,HOU48_gp01,PBI_DRMANHATTAN_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
2419955,55154218,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
