#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2510149,65072189,KMD28_gp02,KMD28_gp02,PFS2_002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2510149,65072190,KMD28_gp03,KMD28_gp03,PFS2_003,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2510149,65072191,KMD28_gp04,KMD28_gp04,PFS2_004,-,-,-,Clp protease,protein-coding,-,-,-,Clp protease,20210607,-
2510149,65072192,KMD28_gp05,KMD28_gp05,PFS2_005,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2510149,65072193,KMD28_gp06,KMD28_gp06,PFS2_006,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20210612,-
2510149,65072194,KMD28_gp07,KMD28_gp07,PFS2_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072195,KMD28_gp08,KMD28_gp08,PFS2_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072196,KMD28_gp09,KMD28_gp09,PFS2_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072197,KMD28_gp10,KMD28_gp10,PFS2_010,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210612,-
2510149,65072198,KMD28_gp11,KMD28_gp11,PFS2_011,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210607,-
2510149,65072199,KMD28_gp12,KMD28_gp12,PFS2_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072200,KMD28_gp13,KMD28_gp13,PFS2_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072201,KMD28_gp14,KMD28_gp14,PFS2_014,-,-,-,tail tape-measure protein,protein-coding,-,-,-,tail tape-measure protein,20210607,-
2510149,65072202,KMD28_gp15,KMD28_gp15,PFS2_015,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210612,-
2510149,65072203,KMD28_gp16,KMD28_gp16,PFS2_016,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210607,-
2510149,65072204,KMD28_gp17,KMD28_gp17,PFS2_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072205,KMD28_gp18,KMD28_gp18,PFS2_018,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20210607,-
2510149,65072206,KMD28_gp19,KMD28_gp19,PFS2_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072207,KMD28_gp20,KMD28_gp20,PFS2_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2510149,65072208,KMD28_gp21,KMD28_gp21,PFS2_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072209,KMD28_gp22,KMD28_gp22,PFS2_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2510149,65072210,KMD28_gp23,KMD28_gp23,PFS2_023,-,-,-,holin,protein-coding,-,-,-,holin,20210607,-
2510149,65072211,KMD28_gp24,KMD28_gp24,PFS2_024,-,-,-,amidase,protein-coding,-,-,-,amidase,20210607,-
2510149,65072212,KMD28_gp25,KMD28_gp25,PFS2_025,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20210607,-
2510149,65072213,KMD28_gp26,KMD28_gp26,PFS2_026,-,-,-,ATPase,protein-coding,-,-,-,ATPase,20210607,-
2510149,65072214,KMD28_gp27,KMD28_gp27,PFS2_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072215,KMD28_gp28,KMD28_gp28,PFS2_028,-,-,-,XRE family transcriptional regulator,protein-coding,-,-,-,XRE family transcriptional regulator,20210607,-
2510149,65072216,KMD28_gp29,KMD28_gp29,PFS2_029,-,-,-,XRE family transcriptional regulator,protein-coding,-,-,-,XRE family transcriptional regulator,20210607,-
2510149,65072217,KMD28_gp30,KMD28_gp30,PFS2_030,-,-,-,regulatory protein,protein-coding,-,-,-,regulatory protein,20210607,-
2510149,65072218,KMD28_gp31,KMD28_gp31,PFS2_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072219,KMD28_gp32,KMD28_gp32,PFS2_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072220,KMD28_gp33,KMD28_gp33,PFS2_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072221,KMD28_gp34,KMD28_gp34,PFS2_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072222,KMD28_gp35,KMD28_gp35,PFS2_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072223,KMD28_gp36,KMD28_gp36,PFS2_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2510149,65072224,KMD28_gp37,KMD28_gp37,PFS2_037,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20210607,-
2510149,65072225,KMD28_gp38,KMD28_gp38,PFS2_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072226,KMD28_gp39,KMD28_gp39,PFS2_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2510149,65072227,KMD28_gp40,KMD28_gp40,PFS2_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072228,KMD28_gp41,KMD28_gp41,PFS2_041,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20210612,-
2510149,65072229,KMD28_gp42,KMD28_gp42,PFS2_042,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20210612,-
2510149,65072230,KMD28_gp43,KMD28_gp43,PFS2_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072231,KMD28_gp44,KMD28_gp44,PFS2_044,-,-,-,DnaD domain protein,protein-coding,-,-,-,DnaD domain protein,20210607,-
2510149,65072232,KMD28_gp45,KMD28_gp45,PFS2_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072233,KMD28_gp46,KMD28_gp46,PFS2_046,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20210607,-
2510149,65072234,KMD28_gp47,KMD28_gp47,PFS2_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072235,KMD28_gp48,KMD28_gp48,PFS2_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072236,KMD28_gp49,KMD28_gp49,PFS2_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072237,KMD28_gp50,KMD28_gp50,PFS2_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2510149,65072238,KMD28_gp51,KMD28_gp51,PFS2_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072239,KMD28_gp52,KMD28_gp52,PFS2_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072240,KMD28_gp53,KMD28_gp53,PFS2_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072241,KMD28_gp54,KMD28_gp54,PFS2_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072242,KMD28_gp55,KMD28_gp55,PFS2_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072243,KMD28_gp56,KMD28_gp56,PFS2_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072244,KMD28_gp57,KMD28_gp57,PFS2_057,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20210607,-
2510149,65072245,KMD28_gp58,KMD28_gp58,PFS2_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2510149,65072246,KMD28_gp59,KMD28_gp59,PFS2_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072247,KMD28_gp60,KMD28_gp60,PFS2_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072248,KMD28_gp61,KMD28_gp61,PFS2_061,-,-,-,transcriptional activator,protein-coding,-,-,-,transcriptional activator,20210607,-
2510149,65072249,KMD28_gp62,KMD28_gp62,PFS2_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072250,KMD28_gp63,KMD28_gp63,PFS2_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072251,KMD28_gp64,KMD28_gp64,PFS2_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072252,KMD28_gp65,KMD28_gp65,PFS2_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2510149,65072253,KMD28_gp66,KMD28_gp66,PFS2_066,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2510149,65072254,KMD28_gp67,KMD28_gp67,PFS2_067,-,-,-,transcriptional regulatory protein,protein-coding,-,-,-,transcriptional regulatory protein,20210609,-
2510149,65072255,KMD28_gp68,KMD28_gp68,PFS2_068,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210612,-
2510149,65072256,KMD28_gp01,KMD28_gp01,PFS2_001,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
2510149,65243041,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
