#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1094321,33352308,ND4L,CGU68_mgp11,-,-,mt|MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,-,20170916,-
1094321,33352309,CGU68_mgt03,CGU68_mgt03,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094321,33352310,ATP6,CGU68_mgp09,-,-,mt|MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,-,20170916,-
1094321,33352311,CGU68_mgt08,CGU68_mgt08,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094321,33352312,CGU68_mgt11,CGU68_mgt11,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094321,33352313,CGU68_mgt15,CGU68_mgt15,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094321,33352314,CGU68_mgt16,CGU68_mgt16,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094321,33352315,COX1,CGU68_mgp04,-,-,mt|MT,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,-,20170916,-
1094321,33352316,CGU68_mgt17,CGU68_mgt17,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094321,33352317,CGU68_mgt21,CGU68_mgt21,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094321,33352318,ND5,CGU68_mgp01,-,-,mt|MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20170916,-
1094321,33352319,CGU68_mgt22,CGU68_mgt22,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094321,33352320,CGU68_mgt01,CGU68_mgt01,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094321,33352321,CGU68_mgt02,CGU68_mgt02,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094321,33352322,ND6,CGU68_mgp12,-,-,mt|MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,-,20170916,-
1094321,33352323,CGU68_mgt04,CGU68_mgt04,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094321,33352324,CGU68_mgr02,CGU68_mgr02,-,-,mt|MT,-,12S ribosomal RNA,rRNA,-,-,-,-,20170916,-
1094321,33352325,CGU68_mgt05,CGU68_mgt05,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094321,33352326,CGU68_mgt06,CGU68_mgt06,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094321,33352327,CGU68_mgt07,CGU68_mgt07,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094321,33352328,ND1,CGU68_mgp10,-,-,mt|MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,-,20170916,-
1094321,33352329,CGU68_mgt09,CGU68_mgt09,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094321,33352330,CGU68_mgt10,CGU68_mgt10,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094321,33352331,ND2,CGU68_mgp08,-,-,mt|MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,-,20170916,-
1094321,33352332,CGU68_mgt12,CGU68_mgt12,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094321,33352333,CGU68_mgt13,CGU68_mgt13,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094321,33352334,CGU68_mgt14,CGU68_mgt14,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094321,33352335,CYTB,CGU68_mgp07,-,-,mt|MT,-,cytochrome b,protein-coding,-,-,-,-,20170916,-
1094321,33352336,COX3,CGU68_mgp06,-,-,mt|MT,-,cytochrome c oxidase subunit III,protein-coding,-,-,-,-,20170916,-
1094321,33352337,ND4,CGU68_mgp05,-,-,mt|MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,-,20170916,-
1094321,33352338,CGU68_mgt18,CGU68_mgt18,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094321,33352339,CGU68_mgt19,CGU68_mgt19,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094321,33352340,CGU68_mgt20,CGU68_mgt20,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094321,33352341,COX2,CGU68_mgp03,-,-,mt|MT,-,cytochrome c oxidase subunit II,protein-coding,-,-,-,-,20170916,-
1094321,33352342,CGU68_mgr01,CGU68_mgr01,-,-,mt|MT,-,16S ribosomal RNA,rRNA,-,-,-,-,20170916,-
1094321,33352343,ND3,CGU68_mgp02,-,-,mt|MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,-,20170916,-
