#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
332952,7944278,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210529,-
332952,64842233,G4B84_000001,G4B84_000001,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
332952,64842234,G4B84_000002,G4B84_000002,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
332952,64842235,G4B84_000003,G4B84_000003,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
332952,64842236,G4B84_000004,G4B84_000004,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210515,-
332952,64842237,G4B84_000005,G4B84_000005,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210515,-
332952,64842238,G4B84_000006,G4B84_000006,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210515,-
332952,64842239,G4B84_000007,G4B84_000007,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210515,-
332952,64842240,G4B84_000008,G4B84_000008,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
332952,64842241,G4B84_000009,G4B84_000009,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210512,-
332952,64842242,G4B84_000010,G4B84_000010,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210512,-
332952,64842243,G4B84_000011,G4B84_000011,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210515,-
332952,64842244,G4B84_000012,G4B84_000012,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210515,-
332952,64842245,G4B84_000013,G4B84_000013,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
332952,64842246,G4B84_000014,G4B84_000014,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
332952,64842247,G4B84_000015,G4B84_000015,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210515,-
332952,64842248,G4B84_000016,G4B84_000016,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
332952,64842249,G4B84_000017,G4B84_000017,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210515,-
332952,64842250,G4B84_000018,G4B84_000018,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210515,-
332952,64842251,G4B84_000019,G4B84_000019,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
332952,64842252,G4B84_000020,G4B84_000020,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210515,-
332952,64842253,G4B84_000021,G4B84_000021,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210512,-
332952,64842254,G4B84_000022,G4B84_000022,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
332952,64842255,G4B84_000023,G4B84_000023,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210515,-
332952,64842256,G4B84_000024,G4B84_000024,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210515,-
332952,64842257,G4B84_000025,G4B84_000025,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210512,-
332952,64842258,G4B84_000026,G4B84_000026,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
332952,64842259,G4B84_000027,G4B84_000027,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210515,-
332952,64842260,G4B84_000028,G4B84_000028,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210512,-
332952,64842261,G4B84_000029,G4B84_000029,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210512,-
332952,64842262,G4B84_000030,G4B84_000030,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210512,-
332952,64842263,G4B84_000031,G4B84_000031,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210512,-
332952,64842264,G4B84_000032,G4B84_000032,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
332952,64842265,G4B84_000033,G4B84_000033,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210512,-
332952,64842266,G4B84_000034,G4B84_000034,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210512,-
