#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500816,24724017,ACQ72_gp02,ACQ72_gp02,PHL116M00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500816,24724018,ACQ72_gp03,ACQ72_gp03,PHL116M00_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500816,24724019,ACQ72_gp04,ACQ72_gp04,PHL116M00_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724020,ACQ72_gp05,ACQ72_gp05,PHL116M00_05,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500816,24724021,ACQ72_gp06,ACQ72_gp06,PHL116M00_06,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500816,24724022,ACQ72_gp07,ACQ72_gp07,PHL116M00_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724023,ACQ72_gp08,ACQ72_gp08,PHL116M00_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724024,ACQ72_gp09,ACQ72_gp09,PHL116M00_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724025,ACQ72_gp10,ACQ72_gp10,PHL116M00_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724026,ACQ72_gp11,ACQ72_gp11,PHL116M00_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500816,24724027,ACQ72_gp12,ACQ72_gp12,PHL116M00_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724028,ACQ72_gp13,ACQ72_gp13,PHL116M00_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724029,ACQ72_gp14,ACQ72_gp14,PHL116M00_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500816,24724030,ACQ72_gp15,ACQ72_gp15,PHL116M00_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500816,24724031,ACQ72_gp16,ACQ72_gp16,PHL116M00_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500816,24724032,ACQ72_gp17,ACQ72_gp17,PHL116M00_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724033,ACQ72_gp18,ACQ72_gp18,PHL116M00_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724034,ACQ72_gp19,ACQ72_gp19,PHL116M00_19,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500816,24724035,ACQ72_gp20,ACQ72_gp20,PHL116M00_20,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500816,24724036,ACQ72_gp21,ACQ72_gp21,PHL116M00_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500816,24724037,ACQ72_gp22,ACQ72_gp22,PHL116M00_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724038,ACQ72_gp23,ACQ72_gp23,PHL116M00_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500816,24724039,ACQ72_gp24,ACQ72_gp24,PHL116M00_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724040,ACQ72_gp25,ACQ72_gp25,PHL116M00_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724041,ACQ72_gp26,ACQ72_gp26,PHL116M00_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724042,ACQ72_gp27,ACQ72_gp27,PHL116M00_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724043,ACQ72_gp28,ACQ72_gp28,PHL116M00_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724044,ACQ72_gp29,ACQ72_gp29,PHL116M00_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724045,ACQ72_gp30,ACQ72_gp30,PHL116M00_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500816,24724046,ACQ72_gp31,ACQ72_gp31,PHL116M00_31,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500816,24724047,ACQ72_gp32,ACQ72_gp32,PHL116M00_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724048,ACQ72_gp33,ACQ72_gp33,PHL116M00_33,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1500816,24724049,ACQ72_gp34,ACQ72_gp34,PHL116M00_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724050,ACQ72_gp35,ACQ72_gp35,PHL116M00_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724051,ACQ72_gp36,ACQ72_gp36,PHL116M00_36,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1500816,24724052,ACQ72_gp37,ACQ72_gp37,PHL116M00_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724053,ACQ72_gp38,ACQ72_gp38,PHL116M00_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724054,ACQ72_gp39,ACQ72_gp39,PHL116M00_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724055,ACQ72_gp40,ACQ72_gp40,PHL116M00_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724056,ACQ72_gp41,ACQ72_gp41,PHL116M00_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724057,ACQ72_gp42,ACQ72_gp42,PHL116M00_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724058,ACQ72_gp43,ACQ72_gp43,PHL116M00_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724059,ACQ72_gp44,ACQ72_gp44,PHL116M00_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724060,ACQ72_gp45,ACQ72_gp45,PHL116M00_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500816,24724061,ACQ72_gp46,ACQ72_gp46,PHL116M00_46,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1500816,24724062,ACQ72_gp01,ACQ72_gp01,PHL116M00_01,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1500816,24936532,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
