#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1108865,14014078,F416_gp002,F416_gp002,-,-,-,-,RIIB,protein-coding,-,-,-,RIIB,20210424,-
1108865,14014079,F416_gp003,F416_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014080,F416_gp004,F416_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014081,F416_gp005,F416_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014082,F416_gp006,F416_gp006,-,-,-,-,putative tail fibre,protein-coding,-,-,-,putative tail fibre,20210313,-
1108865,14014083,F416_gp007,F416_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014084,F416_gp008,F416_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014085,F416_gp009,F416_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014086,F416_gp010,F416_gp010,-,-,-,-,DNA topoisomerase II,protein-coding,-,-,-,DNA topoisomerase II,20201220,-
1108865,14014087,F416_gp011,F416_gp011,-,-,-,-,DNA topoisomerase II medium subunit,protein-coding,-,-,-,DNA topoisomerase II medium subunit,20201220,-
1108865,14014088,F416_gp012,F416_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014089,F416_gp013,F416_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014090,F416_gp014,F416_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014091,F416_gp015,F416_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1108865,14014092,F416_gp016,F416_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014093,F416_gp017,F416_gp017,-,-,-,-,DexA exonuclease,protein-coding,-,-,-,DexA exonuclease,20210313,-
1108865,14014094,F416_gp018,F416_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014095,F416_gp019,F416_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1108865,14014096,F416_gp020,F416_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014097,F416_gp021,F416_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014098,F416_gp022,F416_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1108865,14014099,F416_gp023,F416_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014100,F416_gp024,F416_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014101,F416_gp025,F416_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014102,F416_gp026,F416_gp026,-,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20210313,-
1108865,14014103,F416_gp027,F416_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1108865,14014104,F416_gp028,F416_gp028,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210424,-
1108865,14014105,F416_gp029,F416_gp029,-,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210313,-
1108865,14014106,F416_gp030,F416_gp030,-,-,-,-,T4-like baseplate tail tube cap,protein-coding,-,-,-,T4-like baseplate tail tube cap,20201220,-
1108865,14014107,F416_gp031,F416_gp031,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210313,-
