#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1527692,55803624,HYO80_gp02,HYO80_gp02,Phi145_02,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
1527692,55803625,HYO80_gp03,HYO80_gp03,Phi145_03,-,-,-,large terminase,protein-coding,-,-,-,large terminase,20210424,-
1527692,55803626,HYO80_gp04,HYO80_gp04,Phi145_04,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
1527692,55803627,HYO80_gp05,HYO80_gp05,Phi145_05,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1527692,55803628,HYO80_gp06,HYO80_gp06,Phi145_06,-,-,-,protease,protein-coding,-,-,-,protease,20210417,-
1527692,55803629,HYO80_gp07,HYO80_gp07,Phi145_07,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20200704,-
1527692,55803630,HYO80_gp08,HYO80_gp08,Phi145_08,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200704,-
1527692,55803631,HYO80_gp09,HYO80_gp09,Phi145_09,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200704,-
1527692,55803632,HYO80_gp10,HYO80_gp10,Phi145_10,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
1527692,55803633,HYO80_gp11,HYO80_gp11,Phi145_11,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200704,-
1527692,55803634,HYO80_gp12,HYO80_gp12,Phi145_12,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200704,-
1527692,55803635,HYO80_gp13,HYO80_gp13,Phi145_13,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1527692,55803636,HYO80_gp14,HYO80_gp14,Phi145_14,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200704,-
1527692,55803637,HYO80_gp15,HYO80_gp15,Phi145_15,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200704,-
1527692,55803638,HYO80_gp16,HYO80_gp16,Phi145_16,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200704,-
1527692,55803639,HYO80_gp17,HYO80_gp17,Phi145_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
1527692,55803640,HYO80_gp18,HYO80_gp18,Phi145_18,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210424,-
1527692,55803641,HYO80_gp19,HYO80_gp19,Phi145_19,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210424,-
1527692,55803642,HYO80_gp20,HYO80_gp20,Phi145_20,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200704,-
1527692,55803643,HYO80_gp21,HYO80_gp21,Phi145_21,-,-,-,receptor-binding protein,protein-coding,-,-,-,receptor-binding protein,20210424,-
1527692,55803644,HYO80_gp22,HYO80_gp22,Phi145_22,-,-,-,holin,protein-coding,-,-,-,holin,20200704,-
1527692,55803645,HYO80_gp23,HYO80_gp23,Phi145_23,-,-,-,lysin,protein-coding,-,-,-,lysin,20210424,-
1527692,55803646,HYO80_gp24,HYO80_gp24,Phi145_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527692,55803647,HYO80_gp25,HYO80_gp25,Phi145_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527692,55803648,HYO80_gp26,HYO80_gp26,Phi145_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527692,55803649,HYO80_gp27,HYO80_gp27,Phi145_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527692,55803650,HYO80_gp28,HYO80_gp28,Phi145_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527692,55803651,HYO80_gp29,HYO80_gp29,Phi145_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527692,55803652,HYO80_gp30,HYO80_gp30,Phi145_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527692,55803653,HYO80_gp31,HYO80_gp31,Phi145_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527692,55803654,HYO80_gp32,HYO80_gp32,Phi145_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527692,55803655,HYO80_gp33,HYO80_gp33,Phi145_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527692,55803656,HYO80_gp34,HYO80_gp34,Phi145_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527692,55803657,HYO80_gp35,HYO80_gp35,Phi145_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
