#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2182398,60331012,2,I5H61_gp002,SEA_MATTES_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2182398,60331013,3,I5H61_gp003,SEA_MATTES_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2182398,60331014,4,I5H61_gp004,SEA_MATTES_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2182398,60331015,5,I5H61_gp005,SEA_MATTES_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2182398,60331016,6,I5H61_gp006,SEA_MATTES_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201129,-
2182398,60331017,7,I5H61_gp007,SEA_MATTES_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2182398,60331018,8,I5H61_gp008,SEA_MATTES_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2182398,60331019,9,I5H61_gp009,SEA_MATTES_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2182398,60331020,10,I5H61_gp010,SEA_MATTES_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2182398,60331021,11,I5H61_gp011,SEA_MATTES_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2182398,60331022,13,I5H61_gp012,SEA_MATTES_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2182398,60331023,14,I5H61_gp014,SEA_MATTES_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2182398,60331024,12,I5H61_gp013,SEA_MATTES_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2182398,60331025,15,I5H61_gp015,SEA_MATTES_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2182398,60331026,16,I5H61_gp016,SEA_MATTES_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2182398,60331027,17,I5H61_gp017,SEA_MATTES_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2182398,60331028,18,I5H61_gp018,SEA_MATTES_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2182398,60331029,19,I5H61_gp019,SEA_MATTES_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2182398,60331030,20,I5H61_gp020,SEA_MATTES_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210406,-
2182398,60331031,21,I5H61_gp021,SEA_MATTES_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2182398,60331032,22,I5H61_gp022,SEA_MATTES_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331033,23,I5H61_gp023,SEA_MATTES_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2182398,60331034,24,I5H61_gp024,SEA_MATTES_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2182398,60331035,25,I5H61_gp025,SEA_MATTES_25,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2182398,60331036,26,I5H61_gp026,SEA_MATTES_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331037,27,I5H61_gp027,SEA_MATTES_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331038,28,I5H61_gp028,SEA_MATTES_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331039,29,I5H61_gp029,SEA_MATTES_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331040,30,I5H61_gp030,SEA_MATTES_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2182398,60331041,31,I5H61_gp031,SEA_MATTES_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2182398,60331042,32,I5H61_gp032,SEA_MATTES_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2182398,60331043,33,I5H61_gp033,SEA_MATTES_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2182398,60331044,34,I5H61_gp034,SEA_MATTES_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331045,35,I5H61_gp035,SEA_MATTES_35,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210123,-
2182398,60331046,36,I5H61_gp036,SEA_MATTES_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331047,37,I5H61_gp037,SEA_MATTES_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331048,38,I5H61_gp038,SEA_MATTES_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331049,39,I5H61_gp039,SEA_MATTES_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331050,40,I5H61_gp040,SEA_MATTES_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331051,41,I5H61_gp041,SEA_MATTES_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331052,42,I5H61_gp042,SEA_MATTES_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331053,43,I5H61_gp043,SEA_MATTES_43,-,-,-,integrase,protein-coding,-,-,-,integrase,20210123,-
2182398,60331054,44,I5H61_gp044,SEA_MATTES_44,-,-,-,RelE-like toxin,protein-coding,-,-,-,RelE-like toxin,20210417,-
2182398,60331055,45,I5H61_gp045,SEA_MATTES_45,-,-,-,RelB-like antitoxin,protein-coding,-,-,-,RelB-like antitoxin,20210403,-
2182398,60331056,46,I5H61_gp046,SEA_MATTES_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331057,47,I5H61_gp047,SEA_MATTES_47,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2182398,60331058,48,I5H61_gp048,SEA_MATTES_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331059,49,I5H61_gp049,SEA_MATTES_49,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2182398,60331060,50,I5H61_gp050,SEA_MATTES_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2182398,60331061,51,I5H61_gp051,SEA_MATTES_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331062,52,I5H61_gp052,SEA_MATTES_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331063,53,I5H61_gp053,SEA_MATTES_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331064,54,I5H61_gp054,SEA_MATTES_54,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2182398,60331065,55,I5H61_gp055,SEA_MATTES_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331066,56,I5H61_gp056,SEA_MATTES_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331067,57,I5H61_gp057,SEA_MATTES_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331068,58,I5H61_gp058,SEA_MATTES_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331069,59,I5H61_gp059,SEA_MATTES_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
