#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
262177,911963,OpmnVgp091,OpmnVgp091,-,-,-,-,late expression factor 4,protein-coding,-,-,-,late expression factor 4,20180815,-
262177,911964,OpmnVgp135,OpmnVgp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911965,OpmnVgp103,OpmnVgp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911966,OpmnVgp147,OpmnVgp147,-,-,-,-,p32,protein-coding,-,-,-,p32,20180815,-
262177,911967,OpmnVgp084,OpmnVgp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911968,OpmnVgp079,OpmnVgp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911969,OpmnVgp114,OpmnVgp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911970,OpmnVgp122,OpmnVgp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911971,OpmnVgp112,OpmnVgp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911972,OpmnVgp102,OpmnVgp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911973,OpmnVgp108,OpmnVgp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911974,OpmnVgp082,OpmnVgp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911975,OpmnVgp020,OpmnVgp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911976,OpmnVgp046,OpmnVgp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911977,OpmnVgp131,OpmnVgp131,-,-,-,-,alkaline exonuclease,protein-coding,-,-,-,alkaline exonuclease,20180815,-
262177,911978,OpmnVgp040,OpmnVgp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911979,OpmnVgp143,OpmnVgp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911980,OpmnVgp073,OpmnVgp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911981,OpmnVgp138,OpmnVgp138,-,-,-,-,immediate early gene 0,protein-coding,-,-,-,immediate early gene 0,20180815,-
262177,911982,OpmnVgp116,OpmnVgp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911983,OpmnVgp024,OpmnVgp024,-,-,-,-,39K,protein-coding,-,-,-,39K,20180815,-
262177,911984,OpmnVgp060,OpmnVgp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911985,OpmnVgp011,OpmnVgp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
