#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1662330,26796435,RCTITAN_2,RCTITAN_2,-,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201221,-
1662330,26796436,RCTITAN_3,RCTITAN_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796437,RCTITAN_4,RCTITAN_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796438,RCTITAN_5,RCTITAN_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796439,RCTITAN_6,RCTITAN_6,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1662330,26796440,RCTITAN_7,RCTITAN_7,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1662330,26796441,RCTITAN_8,RCTITAN_8,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1662330,26796442,RCTITAN_9,RCTITAN_9,-,-,-,-,head morphogenesis,protein-coding,-,-,-,head morphogenesis,20201221,-
1662330,26796443,RCTITAN_10,RCTITAN_10,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1662330,26796444,RCTITAN_11,RCTITAN_11,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1662330,26796445,RCTITAN_12,RCTITAN_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796446,RCTITAN_13,RCTITAN_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796447,RCTITAN_14,RCTITAN_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796448,RCTITAN_15,RCTITAN_15,-,-,-,-,head-to-tail joining protein,protein-coding,-,-,-,head-to-tail joining protein,20201221,-
1662330,26796449,RCTITAN_16,RCTITAN_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796450,RCTITAN_17,RCTITAN_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796451,RCTITAN_18,RCTITAN_18,-,-,-,-,tail chaperonin,protein-coding,-,-,-,tail chaperonin,20201221,-
1662330,26796452,RCTITAN_19,RCTITAN_19,-,-,-,-,tail chaperonin,protein-coding,-,-,-,tail chaperonin,20201221,-
1662330,26796453,RCTITAN_20,RCTITAN_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796454,RCTITAN_21,RCTITAN_21,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1662330,26796455,RCTITAN_22,RCTITAN_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796456,RCTITAN_23,RCTITAN_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
