#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647476,28801581,BH784_gp02,BH784_gp02,TPA4_2,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20201221,-
1647476,28801582,BH784_gp03,BH784_gp03,TPA4_3,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1647476,28801583,BH784_gp04,BH784_gp04,TPA4_4,-,-,-,putative capsid maturation protease,protein-coding,-,-,-,putative capsid maturation protease,20201221,-
1647476,28801584,BH784_gp05,BH784_gp05,TPA4_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801585,BH784_gp06,BH784_gp06,TPA4_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801586,BH784_gp07,BH784_gp07,TPA4_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801587,BH784_gp08,BH784_gp08,TPA4_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801588,BH784_gp09,BH784_gp09,TPA4_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801589,BH784_gp10,BH784_gp10,TPA4_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801590,BH784_gp11,BH784_gp11,TPA4_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801591,BH784_gp12,BH784_gp12,TPA4_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801592,BH784_gp13,BH784_gp13,TPA4_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801593,BH784_gp14,BH784_gp14,TPA4_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801594,BH784_gp15,BH784_gp15,TPA4_16,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20201221,-
1647476,28801595,BH784_gp17,BH784_gp17,TPA4_17,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
