#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1296641,65072326,terL,KMD30_gp02,-,-,-,-,large subunit terminase,protein-coding,-,-,-,large subunit terminase,20210607,-
1296641,65072327,por,KMD30_gp03,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
1296641,65072328,pro,KMD30_gp04,-,-,-,-,protease,protein-coding,-,-,-,protease,20210607,-
1296641,65072329,mcp,KMD30_gp05,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
1296641,65072330,KMD30_gp06,KMD30_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
1296641,65072331,KMD30_gp15,KMD30_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
1296641,65072332,KMD30_gp19,KMD30_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072333,ami,KMD30_gp24,-,-,-,-,amidase,protein-coding,-,-,-,amidase,20210607,-
1296641,65072334,lukS-PV,KMD30_gp25,-,-,-,-,Panton-Valentine leukocidin chain S precursor,protein-coding,-,-,-,Panton-Valentine leukocidin chain S precursor,20210609,-
1296641,65072335,lukF-PV,KMD30_gp26,-,-,-,-,Panton-Valentine leukocidin subunit F,protein-coding,-,-,-,Panton-Valentine leukocidin subunit F,20210612,-
1296641,65072336,int,KMD30_gp27,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210612,-
1296641,65072337,KMD30_gp28,KMD30_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072338,KMD30_gp31,KMD30_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072339,KMD30_gp33,KMD30_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072340,KMD30_gp41,KMD30_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072341,KMD30_gp53,KMD30_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072342,KMD30_gp55,KMD30_gp55,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20210607,-
1296641,65072343,endo,KMD30_gp57,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
1296641,65072344,KMD30_gp07,KMD30_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072345,KMD30_gp08,KMD30_gp08,-,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20210607,-
1296641,65072346,KMD30_gp09,KMD30_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072347,KMD30_gp10,KMD30_gp10,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210612,-
1296641,65072348,KMD30_gp11,KMD30_gp11,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
1296641,65072349,KMD30_gp12,KMD30_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072350,KMD30_gp13,KMD30_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072351,tmp,KMD30_gp14,-,-,-,-,tail-length tape measure protein,protein-coding,-,-,-,tail-length tape measure protein,20210607,-
1296641,65072352,KMD30_gp16,KMD30_gp16,-,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20210612,-
1296641,65072353,KMD30_gp17,KMD30_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072354,rbp,KMD30_gp18,-,-,-,-,receptor binding protein,protein-coding,-,-,-,receptor binding protein,20210607,-
1296641,65072355,KMD30_gp20,KMD30_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
1296641,65072356,KMD30_gp21,KMD30_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072357,KMD30_gp22,KMD30_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072358,hol,KMD30_gp23,-,-,-,-,holin,protein-coding,-,-,-,holin,20210607,-
