#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
201961,15820773,trnM,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820774,trnS(UCN),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820775,trnG(GGN),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820776,CYTB,-,-,-,MT,-,cytochrome b,protein-coding,-,-,-,-,20160903,-
201961,15820777,trnL(CUN),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820778,trnQ,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820779,trnF,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820780,trnG(AGR),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820781,trnP,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820782,ND2,-,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,-,20160903,-
201961,15820783,ND6,-,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,-,20150626,-
201961,15820784,trnA,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820785,ND4,-,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,-,20160903,-
201961,15820786,trnP,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820787,trnD,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820788,ATP6,-,-,-,MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,-,20160903,-
201961,15820789,rrnL,-,-,-,MT,-,l-rRNA,rRNA,-,-,-,-,20130628,-
201961,15820790,trnR,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820791,trnV,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820792,trnM(UAU),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820793,rrnS,-,-,-,MT,-,s-rRNA,rRNA,-,-,-,-,20130628,-
201961,15820794,trnK,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820795,trnS(AGY),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820796,ND1,-,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,-,20150626,-
201961,15820797,trnC,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820798,trnN,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820799,trnQ,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820800,trnY,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820801,COX3,-,-,-,MT,-,cytochrome c oxidase subunit III,protein-coding,-,-,-,-,20160903,-
201961,15820802,trnT,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820803,COX1,-,-,-,MT,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,-,20160903,-
201961,15820804,trnH,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820805,trnI,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820806,ATP8,-,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,-,20150626,-
201961,15820807,trnW,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820808,trnE,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820809,ND3,-,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,-,20150626,-
201961,15820810,ND4L,-,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,-,20160903,-
201961,15820811,ND5,-,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20160903,-
201961,15820812,trnL(UUR),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130628,-
201961,15820813,COX2,-,-,-,MT,-,cytochrome c oxidase subunit II,protein-coding,-,-,-,-,20160903,-
