#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2510508,63025959,2,J1598_gp02,SEA_TIAMOCELI_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
2510508,63025960,3,J1598_gp03,SEA_TIAMOCELI_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025961,4,J1598_gp04,SEA_TIAMOCELI_4,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210309,-
2510508,63025962,5,J1598_gp05,SEA_TIAMOCELI_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025963,6,J1598_gp06,SEA_TIAMOCELI_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025964,7,J1598_gp07,SEA_TIAMOCELI_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025965,8,J1598_gp08,SEA_TIAMOCELI_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025966,9,J1598_gp09,SEA_TIAMOCELI_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025967,10,J1598_gp10,SEA_TIAMOCELI_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025968,11,J1598_gp11,SEA_TIAMOCELI_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025969,12,J1598_gp12,SEA_TIAMOCELI_12,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210309,-
2510508,63025970,13,J1598_gp13,SEA_TIAMOCELI_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2510508,63025971,14,J1598_gp14,SEA_TIAMOCELI_14,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210309,-
2510508,63025972,15,J1598_gp15,SEA_TIAMOCELI_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025973,16,J1598_gp16,SEA_TIAMOCELI_16,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210309,-
2510508,63025974,17,J1598_gp17,SEA_TIAMOCELI_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
