#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1086749,18561822,2,CL62_gp02,DREAMBOAT_2,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20200927,-
1086749,18561823,3,CL62_gp03,DREAMBOAT_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561824,4,CL62_gp04,DREAMBOAT_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561825,5,CL62_gp05,DREAMBOAT_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561826,6,CL62_gp06,DREAMBOAT_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561827,7,CL62_gp07,DREAMBOAT_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561828,8,CL62_gp08,DREAMBOAT_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561829,9,CL62_gp09,DREAMBOAT_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561830,10,CL62_gp10,DREAMBOAT_10,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
1086749,18561831,11,CL62_gp11,DREAMBOAT_11,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1086749,18561832,12,CL62_gp12,DREAMBOAT_12,-,-,-,terminase,protein-coding,-,-,-,terminase,20200927,-
1086749,18561833,13,CL62_gp13,DREAMBOAT_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1086749,18561834,14,CL62_gp14,DREAMBOAT_14,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
1086749,18561835,15,CL62_gp15,DREAMBOAT_15,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1086749,18561836,16,CL62_gp16,DREAMBOAT_16,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1086749,18561837,17,CL62_gp17,DREAMBOAT_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561838,18,CL62_gp18,DREAMBOAT_18,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1086749,18561839,19,CL62_gp19,DREAMBOAT_19,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1086749,18561840,20,CL62_gp20,DREAMBOAT_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1086749,18561841,21,CL62_gp21,DREAMBOAT_21,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200927,-
1086749,18561842,22,CL62_gp22,DREAMBOAT_22,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1086749,18561843,24,CL62_gp23,DREAMBOAT_24,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1086749,18561844,25,CL62_gp25,DREAMBOAT_25,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1086749,18561845,23,CL62_gp24,DREAMBOAT_23,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210406,-
1086749,18561846,26,CL62_gp26,DREAMBOAT_26,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200927,-
1086749,18561847,27,CL62_gp27,DREAMBOAT_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561848,28,CL62_gp28,DREAMBOAT_28,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200927,-
1086749,18561849,29,CL62_gp29,DREAMBOAT_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561850,30,CL62_gp30,DREAMBOAT_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561851,31,CL62_gp31,DREAMBOAT_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
1086749,18561852,32,CL62_gp32,DREAMBOAT_32,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200927,-
1086749,18561853,33,CL62_gp33,DREAMBOAT_33,-,-,-,carboxypeptidase,protein-coding,-,-,-,carboxypeptidase,20200927,-
1086749,18561854,34,CL62_gp34,DREAMBOAT_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561855,35,CL62_gp35,DREAMBOAT_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561856,36,CL62_gp36,DREAMBOAT_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561857,37,CL62_gp37,DREAMBOAT_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561858,38,CL62_gp38,DREAMBOAT_38,-,-,-,integrase,protein-coding,-,-,-,integrase,20200927,-
1086749,18561859,39,CL62_gp39,DREAMBOAT_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561860,94,CL62_gp94,DREAMBOAT_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561861,93,CL62_gp93,DREAMBOAT_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561862,92,CL62_gp92,DREAMBOAT_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561863,91,CL62_gp91,DREAMBOAT_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561864,90,CL62_gp90,DREAMBOAT_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561865,89,CL62_gp89,DREAMBOAT_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561866,88,CL62_gp88,DREAMBOAT_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561867,87,CL62_gp87,DREAMBOAT_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561868,86,CL62_gp86,DREAMBOAT_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561869,85,CL62_gp85,DREAMBOAT_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561870,84,CL62_gp84,DREAMBOAT_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561871,83,CL62_gp83,DREAMBOAT_83,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200927,-
1086749,18561872,82,CL62_gp82,DREAMBOAT_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561873,81,CL62_gp81,DREAMBOAT_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561874,80,CL62_gp80,DREAMBOAT_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561875,79,CL62_gp79,DREAMBOAT_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561876,78,CL62_gp78,DREAMBOAT_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561877,77,CL62_gp77,DREAMBOAT_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561878,76,CL62_gp76,DREAMBOAT_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561879,75,CL62_gp75,DREAMBOAT_75,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200927,-
1086749,18561880,74,CL62_gp74,DREAMBOAT_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561881,73,CL62_gp73,DREAMBOAT_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561882,72,CL62_gp72,DREAMBOAT_72,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200927,-
1086749,18561883,71,CL62_gp71,DREAMBOAT_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561884,70,CL62_gp70,DREAMBOAT_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561885,69,CL62_gp69,DREAMBOAT_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
