#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
329381,9712743,rIIA,RB16p002,-,-,-,-,rIIA protector from prophage-induced early lysis,protein-coding,-,-,-,rIIA protector from prophage-induced early lysis,20200909,-
329381,9712744,RB16p003,RB16p003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712745,RB16p004,RB16p004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
329381,9712746,52,RB16p005,-,-,-,-,gp52 DNA topoisomerase subunit,protein-coding,-,-,-,gp52 DNA topoisomerase subunit,20200926,-
329381,9712747,39plus60,RB69p006,-,-,-,-,gp39plus60 DNA topoisomerase II large subunit,protein-coding,-,-,-,gp39plus60 DNA topoisomerase II large subunit,20200926,-
329381,9712748,RB16p007,RB16p007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712749,39.2,RB16p008,-,-,-,-,gp39.2 hypothetical protein,protein-coding,-,-,-,gp39.2 hypothetical protein,20200909,-
329381,9712750,motB.2,RB16p009,-,-,-,-,motB.2 hypothetical protein,protein-coding,-,-,-,motB.2 hypothetical protein,20200909,-
329381,9712751,RB16p010,RB16p010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712752,RB16p011,RB16p011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712753,RB16p012,RB16p012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712754,RB16p013,RB16p013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712755,RB16p014,RB16p014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712756,RB16p015,RB16p015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712757,RB16p016,RB16p016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712758,RB16p017,RB16p017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712759,RB16p018,RB16p018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712760,RB16p019,RB16p019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712761,dexA,RB16p020,-,-,-,-,DexA exonuclease A,protein-coding,-,-,-,DexA exonuclease A,20200909,-
329381,9712762,RB16p021,RB16p021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712763,RB16p022,RB16p022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712764,dda,RB16p023,-,-,-,-,Dda DNA helicase,protein-coding,-,-,-,Dda DNA helicase,20200926,-
329381,9712765,RB16p024,RB16p024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712766,56,RB16p025,-,-,-,-,gp56 dCTPase,protein-coding,-,-,-,gp56 dCTPase,20200909,-
329381,9712767,61,RB16p026,-,-,-,-,gp61 DNA primase subunit,protein-coding,-,-,-,gp61 DNA primase subunit,20200926,-
329381,9712768,RB16p027,RB16p027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712769,61.1,RB16p028,-,-,-,-,gp61.1 conserved hypothetical protein,protein-coding,-,-,-,gp61.1 conserved hypothetical protein,20200909,-
329381,9712770,RB16p029,RB16p029,-,-,-,-,putative methyltransferase,protein-coding,-,-,-,putative methyltransferase,20200909,-
329381,9712771,RB16p030,RB16p030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712772,RB16p031,RB16p031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712773,RB16p032,RB16p032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712774,RB16p033,RB16p033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712775,41,RB16p034,-,-,-,-,gp41 replication and recombination DNA helicase,protein-coding,-,-,-,gp41 replication and recombination DNA helicase,20200926,-
329381,9712776,40,RB16p035,-,-,-,-,gp40 membrane-associated initiation of head vertex,protein-coding,-,-,-,gp40 membrane-associated initiation of head vertex,20200926,-
329381,9712777,uvsX,RB16p036,-,-,-,-,UvsX RecA-like recombination protein,protein-coding,-,-,-,UvsX RecA-like recombination protein,20200926,-
329381,9712778,43,RB16p037,-,-,-,-,gp43 DNA polymerase,protein-coding,-,-,-,gp43 DNA polymerase,20200926,-
329381,9712779,RB16p038,RB16p038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712780,regA,RB16p039,-,-,-,-,RegA early gene translational repressor,protein-coding,-,-,-,RegA early gene translational repressor,20200909,-
329381,9712781,62,RB16p040,-,-,-,-,gp62 clamp-loader subunit,protein-coding,-,-,-,gp62 clamp-loader subunit,20200909,-
329381,9712782,44,RB16p041,-,-,-,-,gp44 clamp-loader subunit,protein-coding,-,-,-,gp44 clamp-loader subunit,20200926,-
329381,9712783,45,RB16p042,-,-,-,-,gp45 sliding clamp DNA polymerase,protein-coding,-,-,-,gp45 sliding clamp DNA polymerase,20200926,-
329381,9712784,rpbA,RB16p043,-,-,-,-,RpbA RNA polymerase binding protein,protein-coding,-,-,-,RpbA RNA polymerase binding protein,20200909,-
329381,9712785,32,RB16p044,-,-,-,-,gp32 ssDNA binding protein,protein-coding,-,-,-,gp32 ssDNA binding protein,20200909,-
329381,9712786,59,RB16p045,-,-,-,-,gp59 loader of DNA helicase,protein-coding,-,-,-,gp59 loader of DNA helicase,20200926,-
329381,9712787,33,RB16p046,-,-,-,-,gp33 late promoters transcription,protein-coding,-,-,-,gp33 late promoters transcription,20200926,-
329381,9712788,dsbA,RB16p047,-,-,-,-,DsbA dsDNA binding protein late transcription,protein-coding,-,-,-,DsbA dsDNA binding protein late transcription,20200909,-
329381,9712789,rnh,RB16p048,-,-,-,-,RnaseH ribonuclease,protein-coding,-,-,-,RnaseH ribonuclease,20200926,-
329381,9712790,55,RB16p049,-,-,-,-,gp55 Sigma factor for late transcription,protein-coding,-,-,-,gp55 Sigma factor for late transcription,20200909,-
329381,9712791,a-gt.5,RB16p050,-,-,-,-,a-gt.5 conserved hypothetical protein,protein-coding,-,-,-,a-gt.5 conserved hypothetical protein,20200909,-
329381,9712792,a-gt.4,RB16p051,-,-,-,-,a-gt.4 conserved hypothetical protein,protein-coding,-,-,-,a-gt.4 conserved hypothetical protein,20200909,-
329381,9712793,47,RB16p052,-,-,-,-,gp47 recombination endonuclease subunit,protein-coding,-,-,-,gp47 recombination endonuclease subunit,20200926,-
329381,9712794,RB16p053,RB16p053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712795,RB16p054,RB16p054,-,-,-,-,putative homing endonuclease RB16 1,protein-coding,-,-,-,putative homing endonuclease RB16 1,20200926,-
329381,9712796,46,RB16p055,-,-,-,-,gp46 recombination endonuclease subunit,protein-coding,-,-,-,gp46 recombination endonuclease subunit,20200926,-
329381,9712797,RB16p056,RB16p056,-,-,-,-,putative homing endonuclease RB16 2,protein-coding,-,-,-,putative homing endonuclease RB16 2,20200926,-
329381,9712798,45.2,RB16p057,-,-,-,-,gp45.2 conserved hypothetical protein,protein-coding,-,-,-,gp45.2 conserved hypothetical protein,20200909,-
329381,9712799,RB16p058,RB16p058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
329381,9712800,RB16p059,RB16p059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712801,RB16p060,RB16p060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712802,frd,RB16p061,-,-,-,-,Frd dihydrofolate reductase,protein-coding,-,-,-,Frd dihydrofolate reductase,20200909,-
329381,9712803,td,RB16p062,-,-,-,-,Td thymidylate synthetase,protein-coding,-,-,-,Td thymidylate synthetase,20200926,-
329381,9712804,nrdA,RB16p063,-,-,-,-,NrdA ribonucleotide reductase A subunit,protein-coding,-,-,-,NrdA ribonucleotide reductase A subunit,20200926,-
329381,9712805,RB16p064,RB16p064,-,-,-,-,putative homing endonuclease RB16 3,protein-coding,-,-,-,putative homing endonuclease RB16 3,20200926,-
329381,9712806,nrdB,RB16p065,-,-,-,-,NrdB ribonucleotide reductase B subunit,protein-coding,-,-,-,NrdB ribonucleotide reductase B subunit,20200926,-
329381,9712807,RB16p066,RB16p066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
329381,9712808,denA,RB16p067,-,-,-,-,DenA endonuclease II,protein-coding,-,-,-,DenA endonuclease II,20200926,-
329381,9712809,rnlA,RB16p068,-,-,-,-,RnlA RNA ligase,protein-coding,-,-,-,RnlA RNA ligase,20200909,-
329381,9712810,pseT.3,RB16p069,-,-,-,-,PseT.3 conserved hypothetical protein,protein-coding,-,-,-,PseT.3 conserved hypothetical protein,20200909,-
329381,9712811,pseT.2,RB16p070,-,-,-,-,PseT.2 conserved hypothetical protein,protein-coding,-,-,-,PseT.2 conserved hypothetical protein,20200909,-
329381,9712812,pseT,RB16p071,-,-,-,-,"PseT 3'phosphatase, 5'polynucleotide kinase",protein-coding,-,-,-,"PseT 3'phosphatase, 5'polynucleotide kinase",20200926,-
329381,9712813,RB16p072,RB16p072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712814,RB16p073,RB16p073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712815,cd,RB16p074,-,-,-,-,Cd dCMP deaminase,protein-coding,-,-,-,Cd dCMP deaminase,20200909,-
329381,9712816,31,RB16p075,-,-,-,-,gp31 co-chaperonin for GroEL,protein-coding,-,-,-,gp31 co-chaperonin for GroEL,20200909,-
329381,9712817,RB16p076,RB16p076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712818,RB16t01,RB16t01,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
329381,9712819,RB16p078,RB16p078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712820,vs.6,RB16p079,-,-,-,-,Vs.6 conserved hypothetical protein,protein-coding,-,-,-,Vs.6 conserved hypothetical protein,20200909,-
329381,9712821,vs.4,RB16p080,-,-,-,-,Vs.4 conserved hypothetical protein,protein-coding,-,-,-,Vs.4 conserved hypothetical protein,20200909,-
329381,9712822,RB16p081,RB16p081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712823,30.3,RB16p082,-,-,-,-,gp30.3 conserved hypothetical protein,protein-coding,-,-,-,gp30.3 conserved hypothetical protein,20200909,-
329381,9712824,RB16p083,RB16p083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712825,RB16p084,RB16p084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712826,30.2,RB16p085,-,-,-,-,gp30.2 conserved hypothetical protein,protein-coding,-,-,-,gp30.2 conserved hypothetical protein,20200909,-
329381,9712827,RB16p086,RB16p086,-,-,-,-,putative homing endonuclease RB16 4,protein-coding,-,-,-,putative homing endonuclease RB16 4,20200926,-
329381,9712828,30,RB16p087,-,-,-,-,gp30 DNA ligase,protein-coding,-,-,-,gp30 DNA ligase,20200926,-
329381,9712829,RB16p088,RB16p088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712830,RB16p089,RB16p089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712831,RB16p090,RB16p090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712832,RB16p091,RB16p091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
329381,9712833,RB16p092,RB16p092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
