#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1675607,26613184,CPT_Matisse2,CPT_Matisse2,-,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20200910,-
1675607,26613185,CPT_Matisse3,CPT_Matisse3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613186,CPT_Matisse4,CPT_Matisse4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1675607,26613187,CPT_Matisse5,CPT_Matisse5,-,-,-,-,DNA topoisomerase medium subunit,protein-coding,-,-,-,DNA topoisomerase medium subunit,20210116,-
1675607,26613188,CPT_Matisse6,CPT_Matisse6,-,-,-,-,DNA topoisomerase large subunit,protein-coding,-,-,-,DNA topoisomerase large subunit,20200910,-
1675607,26613189,CPT_Matisse7,CPT_Matisse7,-,-,-,-,zinc ribbon domain-containing protein,protein-coding,-,-,-,zinc ribbon domain-containing protein,20200910,-
1675607,26613190,CPT_Matisse8,CPT_Matisse8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613191,CPT_Matisse9,CPT_Matisse9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613192,CPT_Matisse10,CPT_Matisse10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613193,CPT_Matisse11,CPT_Matisse11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1675607,26613194,CPT_Matisse12,CPT_Matisse12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613195,CPT_Matisse13,CPT_Matisse13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613196,CPT_Matisse14,CPT_Matisse14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613197,CPT_Matisse15,CPT_Matisse15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613198,CPT_Matisse16,CPT_Matisse16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613199,CPT_Matisse17,CPT_Matisse17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613200,CPT_Matisse18,CPT_Matisse18,-,-,-,-,peptidoglycan-binding protein,protein-coding,-,-,-,peptidoglycan-binding protein,20200910,-
1675607,26613201,CPT_Matisse19,CPT_Matisse19,-,-,-,-,DNA exonuclease,protein-coding,-,-,-,DNA exonuclease,20200910,-
1675607,26613202,CPT_Matisse20,CPT_Matisse20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613203,CPT_Matisse21,CPT_Matisse21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613204,CPT_Matisse22,CPT_Matisse22,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200910,-
1675607,26613205,CPT_Matisse23,CPT_Matisse23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613206,CPT_Matisse24,CPT_Matisse24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613207,CPT_Matisse25,CPT_Matisse25,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20200910,-
1675607,26613208,CPT_Matisse26,CPT_Matisse26,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200910,-
1675607,26613209,CPT_Matisse27,CPT_Matisse27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1675607,26613210,CPT_Matisse28,CPT_Matisse28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613211,CPT_Matisse29,CPT_Matisse29,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
1675607,26613212,CPT_Matisse30,CPT_Matisse30,-,-,-,-,radical SAM protein,protein-coding,-,-,-,radical SAM protein,20200910,-
1675607,26613213,CPT_Matisse31,CPT_Matisse31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613214,CPT_Matisse32,CPT_Matisse32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613215,CPT_Matisse33,CPT_Matisse33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613216,CPT_Matisse34,CPT_Matisse34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613217,CPT_Matisse35,CPT_Matisse35,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200910,-
1675607,26613218,CPT_Matisse36,CPT_Matisse36,-,-,-,-,head assembly protein,protein-coding,-,-,-,head assembly protein,20200919,-
1675607,26613219,CPT_Matisse37,CPT_Matisse37,-,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20210424,-
1675607,26613220,CPT_Matisse38,CPT_Matisse38,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200910,-
1675607,26613221,CPT_Matisse39,CPT_Matisse39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613222,CPT_Matisse40,CPT_Matisse40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613223,CPT_Matisse41,CPT_Matisse41,-,-,-,-,translation repressor protein,protein-coding,-,-,-,translation repressor protein,20200910,-
1675607,26613224,CPT_Matisse42,CPT_Matisse42,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200910,-
1675607,26613225,CPT_Matisse43,CPT_Matisse43,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200910,-
1675607,26613226,CPT_Matisse44,CPT_Matisse44,-,-,-,-,sliding clamp protein,protein-coding,-,-,-,sliding clamp protein,20200910,-
1675607,26613227,CPT_Matisse45,CPT_Matisse45,-,-,-,-,RNA-polymerase binding protein,protein-coding,-,-,-,RNA-polymerase binding protein,20200910,-
1675607,26613228,CPT_Matisse46,CPT_Matisse46,-,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20200910,-
1675607,26613229,CPT_Matisse47,CPT_Matisse47,-,-,-,-,helicase assembly protein,protein-coding,-,-,-,helicase assembly protein,20200910,-
1675607,26613230,CPT_Matisse48,CPT_Matisse48,-,-,-,-,promoter accessory protein,protein-coding,-,-,-,promoter accessory protein,20200919,-
1675607,26613231,CPT_Matisse49,CPT_Matisse49,-,-,-,-,dsDNA-binding protein,protein-coding,-,-,-,dsDNA-binding protein,20200910,-
1675607,26613232,CPT_Matisse50,CPT_Matisse50,-,-,-,-,RNaseH ribonuclease,protein-coding,-,-,-,RNaseH ribonuclease,20200910,-
1675607,26613233,CPT_Matisse51,CPT_Matisse51,-,-,-,-,sigma factor,protein-coding,-,-,-,sigma factor,20200910,-
1675607,26613234,CPT_Matisse52,CPT_Matisse52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613235,CPT_Matisse53,CPT_Matisse53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613236,CPT_Matisse54,CPT_Matisse54,-,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20200910,-
1675607,26613237,CPT_Matisse55,CPT_Matisse55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613238,CPT_Matisse56,CPT_Matisse56,-,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20200910,-
1675607,26613239,CPT_Matisse57,CPT_Matisse57,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200910,-
1675607,26613240,CPT_Matisse58,CPT_Matisse58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613241,CPT_Matisse59,CPT_Matisse59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1675607,26613242,CPT_Matisse60,CPT_Matisse60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613243,CPT_Matisse61,CPT_Matisse61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613244,CPT_Matisse62,CPT_Matisse62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613245,CPT_Matisse63,CPT_Matisse63,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20200910,-
1675607,26613246,CPT_Matisse64,CPT_Matisse64,-,-,-,-,thymidylate synthetase,protein-coding,-,-,-,thymidylate synthetase,20210123,-
1675607,26613247,CPT_Matisse65,CPT_Matisse65,-,-,-,-,ribonucleotide reductase large subunit,protein-coding,-,-,-,ribonucleotide reductase large subunit,20200910,-
1675607,26613248,CPT_Matisse66,CPT_Matisse66,-,-,-,-,ribonucleotide reductase small subunit,protein-coding,-,-,-,ribonucleotide reductase small subunit,20210116,-
1675607,26613249,CPT_Matisse67,CPT_Matisse67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1675607,26613250,CPT_Matisse68,CPT_Matisse68,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200910,-
1675607,26613251,CPT_Matisse69,CPT_Matisse69,-,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20200910,-
1675607,26613252,CPT_Matisse70,CPT_Matisse70,-,-,-,-,i-spanin,protein-coding,-,-,-,i-spanin,20200910,-
1675607,26613253,CPT_Matisse71,CPT_Matisse71,-,-,-,-,o-spanin,protein-coding,-,-,-,o-spanin,20200910,-
1675607,26613254,CPT_Matisse72,CPT_Matisse72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613255,CPT_Matisse73,CPT_Matisse73,-,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20200910,-
1675607,26613256,CPT_Matisse74,CPT_Matisse74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613257,CPT_Matisse75,CPT_Matisse75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613258,CPT_Matisse76,CPT_Matisse76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613259,CPT_Matisse77,CPT_Matisse77,-,-,-,-,cytidine deaminase,protein-coding,-,-,-,cytidine deaminase,20200910,-
1675607,26613260,CPT_Matisse78,CPT_Matisse78,-,-,-,-,head assembly cochaperone protein,protein-coding,-,-,-,head assembly cochaperone protein,20200910,-
1675607,26613261,CPT_Matisse79,CPT_Matisse79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613262,CPT_Matisse.gt1,CPT_Matisse.gt1,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1675607,26613263,CPT_Matisse80,CPT_Matisse80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613264,CPT_Matisse81,CPT_Matisse81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613265,CPT_Matisse82,CPT_Matisse82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613266,CPT_Matisse83,CPT_Matisse83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613267,CPT_Matisse84,CPT_Matisse84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613268,CPT_Matisse85,CPT_Matisse85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613269,CPT_Matisse86,CPT_Matisse86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613270,CPT_Matisse87,CPT_Matisse87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613271,CPT_Matisse88,CPT_Matisse88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613272,CPT_Matisse89,CPT_Matisse89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613273,CPT_Matisse90,CPT_Matisse90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
