#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1524882,26737497,AWJ26_gp02,AWJ26_gp02,phiLM21_p002,-,-,-,excisionase,protein-coding,-,-,-,excisionase,20200910,-
1524882,26737498,AWJ26_gp03,AWJ26_gp03,phiLM21_p003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737499,AWJ26_gp04,AWJ26_gp04,phiLM21_p004,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1524882,26737500,AWJ26_gp05,AWJ26_gp05,phiLM21_p005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737501,AWJ26_gp06,AWJ26_gp06,phiLM21_p006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737502,AWJ26_gp07,AWJ26_gp07,phiLM21_p007,-,-,-,NinB family protein,protein-coding,-,-,-,NinB family protein,20200910,-
1524882,26737503,AWJ26_gp08,AWJ26_gp08,phiLM21_p008,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200919,-
1524882,26737504,AWJ26_gp09,AWJ26_gp09,phiLM21_p009,-,-,-,ERF superfamily protein,protein-coding,-,-,-,ERF superfamily protein,20200910,-
1524882,26737505,AWJ26_gp10,AWJ26_gp10,phiLM21_p010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737506,AWJ26_gp11,AWJ26_gp11,phiLM21_p011,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
1524882,26737507,AWJ26_gp12,AWJ26_gp12,phiLM21_p012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737508,AWJ26_gp13,AWJ26_gp13,phiLM21_p013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737509,AWJ26_gp14,AWJ26_gp14,phiLM21_p014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737510,AWJ26_gp15,AWJ26_gp15,phiLM21_p015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737511,AWJ26_gp16,AWJ26_gp16,phiLM21_p016,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1524882,26737512,AWJ26_gp17,AWJ26_gp17,phiLM21_p017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737513,AWJ26_gp18,AWJ26_gp18,phiLM21_p018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737514,AWJ26_gp19,AWJ26_gp19,phiLM21_p019,-,-,-,XRE family transcriptional regulator,protein-coding,-,-,-,XRE family transcriptional regulator,20200910,-
1524882,26737515,AWJ26_gp20,AWJ26_gp20,phiLM21_p20,-,-,-,putative Cro-like protein,protein-coding,-,-,-,putative Cro-like protein,20200910,-
1524882,26737516,AWJ26_gp21,AWJ26_gp21,phiLM21_p021,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1524882,26737517,AWJ26_gp22,AWJ26_gp22,phiLM21_p022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737518,AWJ26_gp23,AWJ26_gp23,phiLM21_p023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737519,AWJ26_gp24,AWJ26_gp24,phiLM21_p024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737520,AWJ26_gp25,AWJ26_gp25,phiLM21_p025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737521,AWJ26_gp26,AWJ26_gp26,phiLM21_p026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737522,AWJ26_gp27,AWJ26_gp27,phiLM21_p027,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20200910,-
1524882,26737523,AWJ26_gp28,AWJ26_gp28,phiLM21_p028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737524,AWJ26_gp29,AWJ26_gp29,phiLM21_p029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737525,AWJ26_gp30,AWJ26_gp30,phiLM21_p030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737526,AWJ26_gp31,AWJ26_gp31,phiLM21_p031,-,-,-,DnaB replicative DNA helicase,protein-coding,-,-,-,DnaB replicative DNA helicase,20200919,-
1524882,26737527,AWJ26_gp32,AWJ26_gp32,phiLM21_p032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737528,AWJ26_gp33,AWJ26_gp33,phiLM21_p033,-,-,-,chromosomal replication initiator protein DnaA,protein-coding,-,-,-,chromosomal replication initiator protein DnaA,20200910,-
1524882,26737529,AWJ26_gp34,AWJ26_gp34,phiLM21_p034,-,-,-,NusG-like transcription anti-terminator,protein-coding,-,-,-,NusG-like transcription anti-terminator,20200910,-
1524882,26737530,AWJ26_gp35,AWJ26_gp35,phiLM21_p035,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1524882,26737531,AWJ26_gt01,AWJ26_gt01,phiLM21_p036,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1524882,26737532,AWJ26_gp71,AWJ26_gp71,phiLM21_p038,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200910,-
1524882,26737533,AWJ26_gp70,AWJ26_gp70,phiLM21_p039,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200910,-
1524882,26737534,AWJ26_gp69,AWJ26_gp69,phiLM21_p040,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200910,-
1524882,26737535,AWJ26_gp68,AWJ26_gp68,phiLM21_p041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737536,AWJ26_gp67,AWJ26_gp67,phiLM21_p042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
