#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10464,2828299,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Agrotis segetum granulosis virus; AsGV).,other,-,-,-,-,20210531,-
10464,37627031,D1Y34_gp002,D1Y34_gp002,AsGV002,-,-,-,P78/83,protein-coding,-,-,-,P78/83,20180825,-
10464,37627032,D1Y34_gp003,D1Y34_gp003,AsGV003,-,-,-,pk1,protein-coding,-,-,-,pk1,20181110,-
10464,37627033,D1Y34_gp004,D1Y34_gp004,AsGV004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627034,D1Y34_gp005,D1Y34_gp005,AsGV005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627035,D1Y34_gp006,D1Y34_gp006,AsGV006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627036,D1Y34_gp007,D1Y34_gp007,AsGV007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627037,D1Y34_gp008,D1Y34_gp008,AsGV008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627038,D1Y34_gp009,D1Y34_gp009,AsGV009,-,-,-,ie-1,protein-coding,-,-,-,ie-1,20180825,-
10464,37627039,D1Y34_gp010,D1Y34_gp010,AsGV010,-,-,-,nucleopolyhedrovirus protein DUF884,protein-coding,-,-,-,nucleopolyhedrovirus protein DUF884,20181110,-
10464,37627040,D1Y34_gp011,D1Y34_gp011,AsGV011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181110,-
10464,37627041,D1Y34_gp012,D1Y34_gp012,AsGV012,-,-,-,odv-e18,protein-coding,-,-,-,odv-e18,20180825,-
10464,37627042,D1Y34_gp013,D1Y34_gp013,AsGV013,-,-,-,p49,protein-coding,-,-,-,p49,20181110,-
10464,37627043,D1Y34_gp014,D1Y34_gp014,AsGV014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181110,-
10464,37627044,D1Y34_gp015,D1Y34_gp015,AsGV015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627045,D1Y34_gp016,D1Y34_gp016,AsGV016,-,-,-,Baculo_E56,protein-coding,-,-,-,Baculo_E56,20181110,-
10464,37627046,D1Y34_gp017,D1Y34_gp017,AsGV017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10464,37627047,D1Y34_gp018,D1Y34_gp018,AsGV018,-,-,-,DUF919,protein-coding,-,-,-,DUF919,20181110,-
10464,37627048,D1Y34_gp019,D1Y34_gp019,AsGV019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10464,37627049,D1Y34_gp020,D1Y34_gp020,AsGV020,-,-,-,Baculo_PEP_N,protein-coding,-,-,-,Baculo_PEP_N,20181103,-
10464,37627050,D1Y34_gp021,D1Y34_gp021,AsGV021,-,-,-,p10,protein-coding,-,-,-,p10,20181110,-
10464,37627051,D1Y34_gp022,D1Y34_gp022,AsGV022,-,-,-,pep-2,protein-coding,-,-,-,pep-2,20180825,-
10464,37627052,D1Y34_gp023,D1Y34_gp023,AsGV023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627053,D1Y34_gp024,D1Y34_gp024,AsGV024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627054,D1Y34_gp025,D1Y34_gp025,AsGV025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627055,D1Y34_gp026,D1Y34_gp026,AsGV026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627056,D1Y34_gp027,D1Y34_gp027,AsGV027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627057,D1Y34_gp028,D1Y34_gp028,AsGV028,-,-,-,DUF3609,protein-coding,-,-,-,DUF3609,20181110,-
10464,37627058,D1Y34_gp029,D1Y34_gp029,AsGV029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627059,D1Y34_gp030,D1Y34_gp030,AsGV030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181110,-
10464,37627060,D1Y34_gp031,D1Y34_gp031,AsGV031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627061,D1Y34_gp032,D1Y34_gp032,AsGV032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627062,D1Y34_gp033,D1Y34_gp033,AsGV033,-,-,-,pif3,protein-coding,-,-,-,pif3,20181110,-
