#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500799,24723642,ACQ84_gp02,ACQ84_gp02,PHL025M00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500799,24723643,ACQ84_gp03,ACQ84_gp03,PHL025M00_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500799,24723644,ACQ84_gp04,ACQ84_gp04,PHL025M00_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723645,ACQ84_gp05,ACQ84_gp05,PHL025M00_05,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500799,24723646,ACQ84_gp06,ACQ84_gp06,PHL025M00_06,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500799,24723647,ACQ84_gp07,ACQ84_gp07,PHL025M00_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723648,ACQ84_gp08,ACQ84_gp08,PHL025M00_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723649,ACQ84_gp09,ACQ84_gp09,PHL025M00_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723650,ACQ84_gp10,ACQ84_gp10,PHL025M00_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723651,ACQ84_gp11,ACQ84_gp11,PHL025M00_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500799,24723652,ACQ84_gp12,ACQ84_gp12,PHL025M00_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723653,ACQ84_gp13,ACQ84_gp13,PHL025M00_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723654,ACQ84_gp14,ACQ84_gp14,PHL025M00_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500799,24723655,ACQ84_gp15,ACQ84_gp15,PHL025M00_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500799,24723656,ACQ84_gp16,ACQ84_gp16,PHL025M00_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500799,24723657,ACQ84_gp17,ACQ84_gp17,PHL025M00_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723658,ACQ84_gp18,ACQ84_gp18,PHL025M00_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723659,ACQ84_gp19,ACQ84_gp19,PHL025M00_19,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500799,24723660,ACQ84_gp20,ACQ84_gp20,PHL025M00_20,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500799,24723661,ACQ84_gp21,ACQ84_gp21,PHL025M00_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500799,24723662,ACQ84_gp22,ACQ84_gp22,PHL025M00_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723663,ACQ84_gp23,ACQ84_gp23,PHL025M00_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500799,24723664,ACQ84_gp24,ACQ84_gp24,PHL025M00_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723665,ACQ84_gp25,ACQ84_gp25,PHL025M00_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723666,ACQ84_gp26,ACQ84_gp26,PHL025M00_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723667,ACQ84_gp27,ACQ84_gp27,PHL025M00_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723668,ACQ84_gp28,ACQ84_gp28,PHL025M00_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723669,ACQ84_gp29,ACQ84_gp29,PHL025M00_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723670,ACQ84_gp30,ACQ84_gp30,PHL025M00_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500799,24723671,ACQ84_gp31,ACQ84_gp31,PHL025M00_31,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500799,24723672,ACQ84_gp32,ACQ84_gp32,PHL025M00_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723673,ACQ84_gp33,ACQ84_gp33,PHL025M00_33,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1500799,24723674,ACQ84_gp34,ACQ84_gp34,PHL025M00_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723675,ACQ84_gp35,ACQ84_gp35,PHL025M00_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723676,ACQ84_gp36,ACQ84_gp36,PHL025M00_36,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1500799,24723677,ACQ84_gp37,ACQ84_gp37,PHL025M00_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723678,ACQ84_gp38,ACQ84_gp38,PHL025M00_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723679,ACQ84_gp39,ACQ84_gp39,PHL025M00_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723680,ACQ84_gp40,ACQ84_gp40,PHL025M00_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723681,ACQ84_gp41,ACQ84_gp41,PHL025M00_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723682,ACQ84_gp42,ACQ84_gp42,PHL025M00_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500799,24723683,ACQ84_gp43,ACQ84_gp43,PHL025M00_43,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1500799,24723684,ACQ84_gp01,ACQ84_gp01,PHL025M00_01,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1500799,24936508,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
