#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2743829,65127271,KNV12_gp02,KNV12_gp02,elemo69C_phanotate2,-,-,-,A1-like protein,protein-coding,-,-,-,A1-like protein,20210608,-
2743829,65127272,KNV12_gp03,KNV12_gp03,elemo69C_phanotate3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127273,KNV12_gp04,KNV12_gp04,elemo69C_phanotate4,-,-,-,protein of unknown function DUF1064,protein-coding,-,-,-,protein of unknown function DUF1064,20210608,-
2743829,65127274,KNV12_gp05,KNV12_gp05,elemo69C_phanotate5,-,-,-,L-ribulose-5-phosphate 3-epimerase,protein-coding,-,-,-,L-ribulose-5-phosphate 3-epimerase,20210608,-
2743829,65127275,KNV12_gp06,KNV12_gp06,elemo69C_phanotate6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127276,KNV12_gp07,KNV12_gp07,elemo69C_phanotate7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127277,KNV12_gp08,KNV12_gp08,elemo69C_phanotate8,-,-,-,dihydroorotase,protein-coding,-,-,-,dihydroorotase,20210608,-
2743829,65127278,KNV12_gp09,KNV12_gp09,elemo69C_phanotate9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127279,KNV12_gp10,KNV12_gp10,elemo69C_phanotate10,-,-,-,calcineurin-like phosphoesterase,protein-coding,-,-,-,calcineurin-like phosphoesterase,20210608,-
2743829,65127280,KNV12_gp11,KNV12_gp11,elemo69C_phanotate11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127281,KNV12_gp12,KNV12_gp12,elemo69C_phanotate12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127282,KNV12_gp13,KNV12_gp13,elemo69C_phanotate13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127283,KNV12_gp14,KNV12_gp14,elemo69C_phanotate14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127284,KNV12_gp15,KNV12_gp15,elemo69C_phanotate15,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210608,-
2743829,65127285,KNV12_gp16,KNV12_gp16,elemo69C_phanotate16,-,-,-,replication protein,protein-coding,-,-,-,replication protein,20210608,-
2743829,65127286,KNV12_gp17,KNV12_gp17,elemo69C_phanotate17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127287,KNV12_gt01,KNV12_gt01,elemo69C_tRNA1,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2743829,65127288,KNV12_gp87,KNV12_gp87,elemo69C_phanotate19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127289,KNV12_gp86,KNV12_gp86,elemo69C_phanotate20,-,-,-,"ABC-type histidine transport system, ATPase component",protein-coding,-,-,-,"ABC-type histidine transport system, ATPase component",20210608,-
2743829,65127290,KNV12_gp85,KNV12_gp85,elemo69C_phanotate21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127291,KNV12_gp84,KNV12_gp84,elemo69C_phanotate22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127292,KNV12_gp83,KNV12_gp83,elemo69C_phanotate23,-,-,-,5'-3' exonuclease,protein-coding,-,-,-,5'-3' exonuclease,20210608,-
2743829,65127293,KNV12_gp82,KNV12_gp82,elemo69C_phanotate24,-,-,-,ERF superfamily protein,protein-coding,-,-,-,ERF superfamily protein,20210608,-
2743829,65127294,KNV12_gp81,KNV12_gp81,elemo69C_phanotate25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127295,KNV12_gp80,KNV12_gp80,elemo69C_phanotate26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127296,KNV12_gp79,KNV12_gp79,elemo69C_phanotate27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127297,KNV12_gp78,KNV12_gp78,elemo69C_phanotate28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127298,KNV12_gp77,KNV12_gp77,elemo69C_phanotate29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
