#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1718171,26631661,SEA_PARI_2,SEA_PARI_2,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1718171,26631662,SEA_PARI_3,SEA_PARI_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631663,SEA_PARI_4,SEA_PARI_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631664,SEA_PARI_5,SEA_PARI_5,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1718171,26631665,SEA_PARI_6,SEA_PARI_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631666,SEA_PARI_7,SEA_PARI_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631667,SEA_PARI_8,SEA_PARI_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631668,SEA_PARI_9,SEA_PARI_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631669,SEA_PARI_10,SEA_PARI_10,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200910,-
1718171,26631670,SEA_PARI_11,SEA_PARI_11,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200910,-
1718171,26631671,SEA_PARI_12,SEA_PARI_12,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20200910,-
1718171,26631672,SEA_PARI_13,SEA_PARI_13,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200910,-
1718171,26631673,SEA_PARI_14,SEA_PARI_14,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200910,-
1718171,26631674,SEA_PARI_15,SEA_PARI_15,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20200910,-
1718171,26631675,SEA_PARI_16,SEA_PARI_16,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
1718171,26631676,SEA_PARI_17,SEA_PARI_17,-,-,-,-,head to tail connector,protein-coding,-,-,-,head to tail connector,20200910,-
1718171,26631677,SEA_PARI_18,SEA_PARI_18,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200910,-
1718171,26631678,SEA_PARI_19,SEA_PARI_19,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200910,-
1718171,26631679,SEA_PARI_20,SEA_PARI_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1718171,26631680,SEA_PARI_21,SEA_PARI_21,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200910,-
1718171,26631681,SEA_PARI_22,SEA_PARI_22,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
