#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2588504,55619354,29,HWC45_gp29,SEA_STILES_29,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210417,-
2588504,55619355,54,HWC45_gt01,SEA_STILES_54,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2588504,55619356,55,HWC45_gp54,SEA_STILES_55,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2588504,55619357,5,HWC45_gp05,SEA_STILES_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588504,55619358,6,HWC45_gp06,SEA_STILES_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
2588504,55619359,7,HWC45_gp07,SEA_STILES_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588504,55619360,8,HWC45_gp08,SEA_STILES_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200912,-
2588504,55619361,26,HWC45_gp26,SEA_STILES_26,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2588504,55619362,27,HWC45_gp27,SEA_STILES_27,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20201217,-
2588504,55619363,30,HWC45_gp30,SEA_STILES_30,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201217,-
2588504,55619364,31,HWC45_gp31,SEA_STILES_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588504,55619365,32,HWC45_gp32,SEA_STILES_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2588504,55619366,33,HWC45_gp33,SEA_STILES_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588504,55619367,34,HWC45_gp34,SEA_STILES_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588504,55619368,35,HWC45_gp35,SEA_STILES_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2588504,55619369,36,HWC45_gp36,SEA_STILES_36,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2588504,55619370,10,HWC45_gp10,SEA_STILES_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588504,55619371,11,HWC45_gp11,SEA_STILES_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2588504,55619372,12,HWC45_gp12,SEA_STILES_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210417,-
2588504,55619373,14,HWC45_gp13,SEA_STILES_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2588504,55619374,15,HWC45_gp15,SEA_STILES_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201217,-
2588504,55619375,13,HWC45_gp14,SEA_STILES_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2588504,55619376,16,HWC45_gp16,SEA_STILES_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2588504,55619377,17,HWC45_gp17,SEA_STILES_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2588504,55619378,18,HWC45_gp18,SEA_STILES_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588504,55619379,19,HWC45_gp19,SEA_STILES_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588504,55619380,47,HWC45_gp47,SEA_STILES_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2588504,55619381,48,HWC45_gp48,SEA_STILES_48,-,-,-,VRR-NUC domain-containing protein,protein-coding,-,-,-,VRR-NUC domain-containing protein,20201217,-
2588504,55619382,49,HWC45_gp49,SEA_STILES_49,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201217,-
2588504,55619383,50,HWC45_gp50,SEA_STILES_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588504,55619384,51,HWC45_gp51,SEA_STILES_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588504,55619385,52,HWC45_gp52,SEA_STILES_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588504,55619386,53,HWC45_gp53,SEA_STILES_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588504,55619387,2,HWC45_gp02,SEA_STILES_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200910,-
2588504,55619388,3,HWC45_gp03,SEA_STILES_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2588504,55619389,4,HWC45_gp04,SEA_STILES_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200910,-
2588504,55619390,9,HWC45_gp09,SEA_STILES_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200910,-
2588504,55619391,20,HWC45_gp20,SEA_STILES_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588504,55619392,21,HWC45_gp21,SEA_STILES_21,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2588504,55619393,22,HWC45_gp22,SEA_STILES_22,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
2588504,55619394,23,HWC45_gp23,SEA_STILES_23,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2588504,55619395,24,HWC45_gp24,SEA_STILES_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2588504,55619396,25,HWC45_gp25,SEA_STILES_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588504,55619397,37,HWC45_gp37,SEA_STILES_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588504,55619398,38,HWC45_gp38,SEA_STILES_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588504,55619399,39,HWC45_gp39,SEA_STILES_39,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2588504,55619400,40,HWC45_gp40,SEA_STILES_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588504,55619401,41,HWC45_gp41,SEA_STILES_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588504,55619402,42,HWC45_gp42,SEA_STILES_42,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210417,-
2588504,55619403,43,HWC45_gp43,SEA_STILES_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2588504,55619404,44,HWC45_gp44,SEA_STILES_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588504,55619405,45,HWC45_gp45,SEA_STILES_45,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201217,-
2588504,55619406,46,HWC45_gp46,SEA_STILES_46,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2588504,55619407,28,HWC45_gp28,SEA_STILES_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588504,55619408,1,HWC45_gp01,SEA_STILES_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588504,55635974,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200817,-
