#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1852625,29066965,kpv477_002,kpv477_002,-,-,-,-,putative rIIA protein,protein-coding,-,-,-,putative rIIA protein,20200629,-
1852625,29066966,kpv477_003,kpv477_003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1852625,29066967,kpv477_004,kpv477_004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29066968,kpv477_005,kpv477_005,-,-,-,-,putative DNA topoisomerase subunit,protein-coding,-,-,-,putative DNA topoisomerase subunit,20200629,-
1852625,29066969,kpv477_006,kpv477_006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29066970,kpv477_007,kpv477_007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29066971,kpv477_008,kpv477_008,-,-,-,-,zinc ribbon domain-containing protein,protein-coding,-,-,-,zinc ribbon domain-containing protein,20201221,-
1852625,29066972,kpv477_009,kpv477_009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29066973,kpv477_010,kpv477_010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29066974,kpv477_011,kpv477_011,-,-,-,-,cytochrome C biogenesis protein CcmE,protein-coding,-,-,-,cytochrome C biogenesis protein CcmE,20201221,-
1852625,29066975,kpv477_012,kpv477_012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1852625,29066976,kpv477_013,kpv477_013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29066977,kpv477_014,kpv477_014,-,-,-,-,putative DNA exonuclease A,protein-coding,-,-,-,putative DNA exonuclease A,20200926,-
1852625,29066978,kpv477_015,kpv477_015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29066979,kpv477_016,kpv477_016,-,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20200629,-
1852625,29066980,kpv477_017,kpv477_017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29066981,kpv477_018,kpv477_018,-,-,-,-,putative anti-sigma factor,protein-coding,-,-,-,putative anti-sigma factor,20200629,-
1852625,29066982,kpv477_019,kpv477_019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29066983,kpv477_020,kpv477_020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29066984,kpv477_021,kpv477_021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29066985,kpv477_022,kpv477_022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29066986,kpv477_023,kpv477_023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1852625,29066987,kpv477_024,kpv477_024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29066988,kpv477_025,kpv477_025,-,-,-,-,dCTP pyrophosphatase,protein-coding,-,-,-,dCTP pyrophosphatase,20201221,-
1852625,29066989,kpv477_026,kpv477_026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29066990,kpv477_027,kpv477_027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29066991,kpv477_028,kpv477_028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29066992,kpv477_030,kpv477_030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
