#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
27289,11500151,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Naumovia dairenensis; Saccharomyces dairensis).,other,-,-,-,-,20181128,-
27289,35198680,trnL(taa),CWS89_mgt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180117,-
27289,35198681,trnQ(ttg),CWS89_mgt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180117,-
27289,35198682,trnK(ttt),CWS89_mgt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180117,-
27289,35198683,trnR(tct),CWS89_mgt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180117,-
27289,35198684,trnG(tcc),CWS89_mgt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180117,-
27289,35198685,trnD(gtc),CWS89_mgt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180117,-
27289,35198686,trnS(gct),CWS89_mgt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180117,-
27289,35198687,trnH(gtg),CWS89_mgt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180117,-
27289,35198688,trnM(cat),CWS89_mgt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180117,-
27289,35198689,orf342,CWS89_mgp14,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,-,20180118,-
27289,35198690,rps3,CWS89_mgp13,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,-,20180118,-
27289,35198691,trnE(ttc),CWS89_mgt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180117,-
27289,35198692,cob,CWS89_mgp12,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,-,20180118,-
27289,35198693,orf341,CWS89_mgp11,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,-,20180118,-
27289,35198694,orf341,CWS89_mgp10,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,-,20180118,-
27289,35198695,orf351,CWS89_mgp09,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,-,20180117,-
27289,35198696,trnM(cat),CWS89_mgt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180117,-
27289,35198697,trnP(tgg),CWS89_mgt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180117,-
27289,35198698,cox1,CWS89_mgp08,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,-,20180118,-
27289,35198699,orf779,CWS89_mgp07,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,-,20180118,-
27289,35198700,orf290,CWS89_mgp06,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,-,20180118,-
27289,35198701,atp8,CWS89_mgp05,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,-,20180118,-
27289,35198702,atp6,CWS89_mgp04,-,-,MT,-,ATP synthase F0 subunit a,protein-coding,-,-,-,-,20180118,-
27289,35198703,cox2,CWS89_mgp03,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,-,20180118,-
27289,35198704,atp9,CWS89_mgp02,-,-,MT,-,ATP synthase F0 subunit c,protein-coding,-,-,-,-,20180118,-
27289,35198705,trnY(gta),CWS89_mgt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180117,-
27289,35198706,trnN(gtt),CWS89_mgt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180117,-
27289,35198707,trnA(tgc),CWS89_mgt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180117,-
27289,35198708,trnI(gat),CWS89_mgt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180117,-
27289,35198709,trnS(tga),CWS89_mgt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180117,-
27289,35198710,rns,CWS89_mgr02,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20180117,-
27289,35198711,trnW(tca),CWS89_mgt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180117,-
27289,35198712,CWS89_mgr01,CWS89_mgr01,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20180117,-
27289,35198713,trnF(gaa),CWS89_mgt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180117,-
27289,35198714,trnT(ttag),CWS89_mgt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180117,-
27289,35198715,trnC(gca),CWS89_mgt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180117,-
27289,35198716,trnV(tac),CWS89_mgt23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180117,-
27289,35198717,trnT(tgt),CWS89_mgt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180117,-
27289,35198718,cox3,CWS89_mgp01,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,-,20180118,-
