#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1235559,13826449,Redjac_0020,Redjac_0020,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
1235559,13826450,Redjac_0030,Redjac_0030,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210417,-
1235559,13826451,Redjac_0040,Redjac_0040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235559,13826452,Redjac_0050,Redjac_0050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235559,13826453,Redjac_0060,Redjac_0060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235559,13826454,Redjac_0070,Redjac_0070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235559,13826455,Redjac_0080,Redjac_0080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235559,13826456,Redjac_0090,Redjac_0090,-,-,-,-,lysis protein A,protein-coding,-,-,-,lysis protein A,20210417,-
1235559,13826457,Redjac_0100,Redjac_0100,-,-,-,-,endolysin like protein,protein-coding,-,-,-,endolysin like protein,20201221,-
1235559,13826458,Redjac_0110,Redjac_0110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235559,13826459,Redjac_0120,Redjac_0120,-,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201221,-
1235559,13826460,Redjac_0130,Redjac_0130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235559,13826461,Redjac_0140,Redjac_0140,-,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20201221,-
1235559,13826462,Redjac_0150,Redjac_0150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235559,13826463,Redjac_0160,Redjac_0160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235559,13826464,Redjac_0170,Redjac_0170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235559,13826465,Redjac_0180,Redjac_0180,-,-,-,-,recombination-associated protein,protein-coding,-,-,-,recombination-associated protein,20201221,-
1235559,13826466,Redjac_0190,Redjac_0190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235559,13826467,Redjac_0200,Redjac_0200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235559,13826468,Redjac_0210,Redjac_0210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235559,13826469,Redjac_0220,Redjac_0220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235559,13826470,Redjac_0230,Redjac_0230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235559,13826471,Redjac_0240,Redjac_0240,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1235559,13826472,Redjac_0250,Redjac_0250,-,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20201221,-
1235559,13826473,Redjac_0260,Redjac_0260,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235559,13826474,Redjac_0270,Redjac_0270,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235559,13826475,Redjac_0280,Redjac_0280,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235559,13826476,Redjac_0290,Redjac_0290,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1235559,13826477,Redjac_0300,Redjac_0300,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1235559,13826478,Redjac_0310,Redjac_0310,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1235559,13826479,Redjac_0320,Redjac_0320,-,-,-,-,phage portal protein,protein-coding,-,-,-,phage portal protein,20201221,-
1235559,13826480,Redjac_0330,Redjac_0330,-,-,-,-,ClpP,protein-coding,-,-,-,ClpP,20201221,-
1235559,13826481,Redjac_0340,Redjac_0340,-,-,-,-,phage structural protein,protein-coding,-,-,-,phage structural protein,20201221,-
1235559,13826482,Redjac_0350,Redjac_0350,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1235559,13826483,Redjac_0360,Redjac_0360,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235559,13826484,Redjac_0370,Redjac_0370,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235559,13826485,Redjac_0380,Redjac_0380,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235559,13826486,Redjac_0390,Redjac_0390,-,-,-,-,phage structural protein,protein-coding,-,-,-,phage structural protein,20201221,-
1235559,13826487,Redjac_0400,Redjac_0400,-,-,-,-,pre-tape measure frameshift protein,protein-coding,-,-,-,pre-tape measure frameshift protein,20201221,-
1235559,13826488,Redjac_0410,Redjac_0410,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1235559,13826489,Redjac_0010,Redjac_0010,-,-,-,-,conserved tail assembly protein,protein-coding,-,-,-,conserved tail assembly protein,20201221,-
1235559,13839511,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200817,-
