#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1094328,33352456,ND4L,CGU64_mgp11,-,-,mt|MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,-,20170916,-
1094328,33352457,CGU64_mgt03,CGU64_mgt03,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094328,33352458,ATP6,CGU64_mgp09,-,-,mt|MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,-,20170916,-
1094328,33352459,CGU64_mgt08,CGU64_mgt08,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094328,33352460,CGU64_mgt11,CGU64_mgt11,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094328,33352461,CGU64_mgt15,CGU64_mgt15,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094328,33352462,CGU64_mgt16,CGU64_mgt16,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094328,33352463,COX1,CGU64_mgp04,-,-,mt|MT,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,-,20170916,-
1094328,33352464,CGU64_mgt17,CGU64_mgt17,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094328,33352465,CGU64_mgt21,CGU64_mgt21,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094328,33352466,ND5,CGU64_mgp01,-,-,mt|MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20170916,-
1094328,33352467,CGU64_mgt22,CGU64_mgt22,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094328,33352468,CGU64_mgt01,CGU64_mgt01,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094328,33352469,CGU64_mgt02,CGU64_mgt02,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094328,33352470,ND6,CGU64_mgp12,-,-,mt|MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,-,20170916,-
1094328,33352471,CGU64_mgt04,CGU64_mgt04,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094328,33352472,CGU64_mgr02,CGU64_mgr02,-,-,mt|MT,-,12S ribosomal RNA,rRNA,-,-,-,-,20170916,-
1094328,33352473,CGU64_mgt05,CGU64_mgt05,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094328,33352474,CGU64_mgt06,CGU64_mgt06,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094328,33352475,CGU64_mgt07,CGU64_mgt07,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094328,33352476,ND1,CGU64_mgp10,-,-,mt|MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,-,20170916,-
1094328,33352477,CGU64_mgt09,CGU64_mgt09,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094328,33352478,CGU64_mgt10,CGU64_mgt10,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094328,33352479,ND2,CGU64_mgp08,-,-,mt|MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,-,20170916,-
1094328,33352480,CGU64_mgt12,CGU64_mgt12,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094328,33352481,CGU64_mgt13,CGU64_mgt13,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094328,33352482,CGU64_mgt14,CGU64_mgt14,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094328,33352483,CYTB,CGU64_mgp07,-,-,mt|MT,-,cytochrome b,protein-coding,-,-,-,-,20170916,-
1094328,33352484,COX3,CGU64_mgp06,-,-,mt|MT,-,cytochrome c oxidase subunit III,protein-coding,-,-,-,-,20170916,-
1094328,33352485,ND4,CGU64_mgp05,-,-,mt|MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,-,20170916,-
1094328,33352486,CGU64_mgt18,CGU64_mgt18,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094328,33352487,CGU64_mgt19,CGU64_mgt19,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094328,33352488,CGU64_mgt20,CGU64_mgt20,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094328,33352489,COX2,CGU64_mgp03,-,-,mt|MT,-,cytochrome c oxidase subunit II,protein-coding,-,-,-,-,20170916,-
1094328,33352490,CGU64_mgr01,CGU64_mgr01,-,-,mt|MT,-,16S ribosomal RNA,rRNA,-,-,-,-,20170916,-
1094328,33352491,ND3,CGU64_mgp02,-,-,mt|MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,-,20170916,-
