#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2725652,62361869,2,JMN74_gp02,SEA_MANATEE_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2725652,62361870,3,JMN74_gp03,SEA_MANATEE_3,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210123,-
2725652,62361871,4,JMN74_gp04,SEA_MANATEE_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361872,6,JMN74_gp06,SEA_MANATEE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361873,7,JMN74_gp07,SEA_MANATEE_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361874,8,JMN74_gp08,SEA_MANATEE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361875,9,JMN74_gp09,SEA_MANATEE_9,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210327,-
2725652,62361876,10,JMN74_gp10,SEA_MANATEE_10,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210123,-
2725652,62361877,11,JMN74_gp11,SEA_MANATEE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361878,12,JMN74_gp12,SEA_MANATEE_12,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210327,-
2725652,62361879,13,JMN74_gp13,SEA_MANATEE_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210212,-
2725652,62361880,14,JMN74_gp14,SEA_MANATEE_14,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210123,-
2725652,62361881,15,JMN74_gp15,SEA_MANATEE_15,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210123,-
2725652,62361882,16,JMN74_gp16,SEA_MANATEE_16,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2725652,62361883,17,JMN74_gp17,SEA_MANATEE_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361884,18,JMN74_gp18,SEA_MANATEE_18,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210212,-
2725652,62361885,19,JMN74_gp19,SEA_MANATEE_19,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210123,-
2725652,62361886,20,JMN74_gp20,SEA_MANATEE_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2725652,62361887,21,JMN74_gp21,SEA_MANATEE_21,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210123,-
2725652,62361888,22,JMN74_gp22,SEA_MANATEE_22,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210123,-
2725652,62361889,24,JMN74_gp23,SEA_MANATEE_24,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210327,-
2725652,62361890,25,JMN74_gp25,SEA_MANATEE_25,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210327,-
2725652,62361891,23,JMN74_gp24,SEA_MANATEE_23,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210327,-
2725652,62361892,26,JMN74_gp26,SEA_MANATEE_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2725652,62361893,27,JMN74_gp27,SEA_MANATEE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361894,28,JMN74_gp28,SEA_MANATEE_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2725652,62361895,29,JMN74_gp29,SEA_MANATEE_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210212,-
2725652,62361896,30,JMN74_gp30,SEA_MANATEE_30,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2725652,62361897,31,JMN74_gp31,SEA_MANATEE_31,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2725652,62361898,32,JMN74_gp32,SEA_MANATEE_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2725652,62361899,33,JMN74_gp33,SEA_MANATEE_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210313,-
2725652,62361900,34,JMN74_gp34,SEA_MANATEE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361901,35,JMN74_gp35,SEA_MANATEE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361902,36,JMN74_gp36,SEA_MANATEE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361903,37,JMN74_gp37,SEA_MANATEE_37,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2725652,62361904,38,JMN74_gp38,SEA_MANATEE_38,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210327,-
2725652,62361905,39,JMN74_gp39,SEA_MANATEE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361906,40,JMN74_gp40,SEA_MANATEE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361907,41,JMN74_gp41,SEA_MANATEE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361908,42,JMN74_gp42,SEA_MANATEE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361909,43,JMN74_gp43,SEA_MANATEE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361910,44,JMN74_gp44,SEA_MANATEE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361911,45,JMN74_gp45,SEA_MANATEE_45,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210327,-
2725652,62361912,46,JMN74_gp46,SEA_MANATEE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361913,47,JMN74_gp47,SEA_MANATEE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361914,48,JMN74_gp48,SEA_MANATEE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361915,49,JMN74_gp49,SEA_MANATEE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2725652,62361916,50,JMN74_gp50,SEA_MANATEE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2725652,62361917,51,JMN74_gp51,SEA_MANATEE_51,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210123,-
2725652,62361918,52,JMN74_gp52,SEA_MANATEE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361919,53,JMN74_gp53,SEA_MANATEE_53,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20210327,-
2725652,62361920,54,JMN74_gp54,SEA_MANATEE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361921,55,JMN74_gp55,SEA_MANATEE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361922,56,JMN74_gp56,SEA_MANATEE_56,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210403,-
2725652,62361923,57,JMN74_gp57,SEA_MANATEE_57,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210403,-
2725652,62361924,58,JMN74_gp58,SEA_MANATEE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361925,59,JMN74_gp59,SEA_MANATEE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2725652,62361926,60,JMN74_gp60,SEA_MANATEE_60,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210306,-
2725652,62361927,61,JMN74_gp61,SEA_MANATEE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361928,62,JMN74_gp62,SEA_MANATEE_62,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210306,-
2725652,62361929,63,JMN74_gp63,SEA_MANATEE_63,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210212,-
2725652,62361930,64,JMN74_gp64,SEA_MANATEE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361931,65,JMN74_gp65,SEA_MANATEE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
