#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2234029,60330299,2,I5H54_gp02,SEA_KOELLA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2234029,60330300,3,I5H54_gp03,SEA_KOELLA_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2234029,60330301,4,I5H54_gp04,SEA_KOELLA_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2234029,60330302,5,I5H54_gp05,SEA_KOELLA_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210424,-
2234029,60330303,6,I5H54_gp06,SEA_KOELLA_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2234029,60330304,7,I5H54_gp07,SEA_KOELLA_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2234029,60330305,8,I5H54_gp08,SEA_KOELLA_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2234029,60330306,9,I5H54_gp09,SEA_KOELLA_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2234029,60330307,10,I5H54_gp10,SEA_KOELLA_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2234029,60330308,11,I5H54_gp11,SEA_KOELLA_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2234029,60330309,13,I5H54_gp12,SEA_KOELLA_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2234029,60330310,14,I5H54_gp14,SEA_KOELLA_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2234029,60330311,12,I5H54_gp13,SEA_KOELLA_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2234029,60330312,15,I5H54_gp15,SEA_KOELLA_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2234029,60330313,16,I5H54_gp16,SEA_KOELLA_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2234029,60330314,17,I5H54_gp17,SEA_KOELLA_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2234029,60330315,18,I5H54_gp18,SEA_KOELLA_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
