#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2681195,65068528,KMC63_gp02,KMC63_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2681195,65068529,KMC63_gp03,KMC63_gp03,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210608,-
2681195,65068530,KMC63_gp04,KMC63_gp04,-,-,-,-,minor head protein,protein-coding,-,-,-,minor head protein,20210608,-
2681195,65068531,KMC63_gp05,KMC63_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068532,KMC63_gp06,KMC63_gp06,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210608,-
2681195,65068533,KMC63_gp07,KMC63_gp07,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2681195,65068534,KMC63_gp08,KMC63_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068535,KMC63_gp09,KMC63_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2681195,65068536,KMC63_gp10,KMC63_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068537,KMC63_gp11,KMC63_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2681195,65068538,KMC63_gp12,KMC63_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068539,KMC63_gp13,KMC63_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068540,KMC63_gp14,KMC63_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2681195,65068541,KMC63_gp15,KMC63_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068542,KMC63_gp16,KMC63_gp16,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210608,-
2681195,65068543,KMC63_gp17,KMC63_gp17,-,-,-,-,putative distal tail protein,protein-coding,-,-,-,putative distal tail protein,20210612,-
2681195,65068544,KMC63_gp18,KMC63_gp18,-,-,-,-,putative tail associated lysin,protein-coding,-,-,-,putative tail associated lysin,20210608,-
2681195,65068545,KMC63_gp19,KMC63_gp19,-,-,-,-,putative major teichoic acid biosynthesis protein C,protein-coding,-,-,-,putative major teichoic acid biosynthesis protein C,20210608,-
2681195,65068546,KMC63_gp20,KMC63_gp20,-,-,-,-,BppU family baseplate upper protein,protein-coding,-,-,-,BppU family baseplate upper protein,20210608,-
2681195,65068547,KMC63_gp21,KMC63_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068548,KMC63_gp22,KMC63_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2681195,65068549,KMC63_gp23,KMC63_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068550,KMC63_gp24,KMC63_gp24,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20210608,-
2681195,65068551,KMC63_gp25,KMC63_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068552,KMC63_gp26,KMC63_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068553,KMC63_gp27,KMC63_gp27,-,-,-,-,holin,protein-coding,-,-,-,holin,20210608,-
2681195,65068554,KMC63_gp28,KMC63_gp28,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20210608,-
2681195,65068555,KMC63_gp29,KMC63_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068556,KMC63_gp30,KMC63_gp30,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210608,-
2681195,65068557,KMC63_gp31,KMC63_gp31,-,-,-,-,PemK-like family protein,protein-coding,-,-,-,PemK-like family protein,20210608,-
2681195,65068558,KMC63_gp32,KMC63_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068559,KMC63_gp33,KMC63_gp33,-,-,-,-,ImmA/IrrE family metallo-endopeptidase,protein-coding,-,-,-,ImmA/IrrE family metallo-endopeptidase,20210608,-
2681195,65068560,KMC63_gp34,KMC63_gp34,-,-,-,-,cI-like repressor,protein-coding,-,-,-,cI-like repressor,20210608,-
2681195,65068561,KMC63_gp35,KMC63_gp35,-,-,-,-,mor-like repressor,protein-coding,-,-,-,mor-like repressor,20210609,-
2681195,65068562,KMC63_gp36,KMC63_gp36,-,-,-,-,antirepressor protein,protein-coding,-,-,-,antirepressor protein,20210608,-
2681195,65068563,KMC63_gp37,KMC63_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068564,KMC63_gp38,KMC63_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068565,KMC63_gp39,KMC63_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068566,KMC63_gp40,KMC63_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068567,KMC63_gp41,KMC63_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068568,KMC63_gp42,KMC63_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068569,KMC63_gp43,KMC63_gp43,-,-,-,-,ERF family protein,protein-coding,-,-,-,ERF family protein,20210608,-
2681195,65068570,KMC63_gp44,KMC63_gp44,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210608,-
2681195,65068571,KMC63_gp45,KMC63_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068572,KMC63_gp46,KMC63_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068573,KMC63_gp47,KMC63_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068574,KMC63_gp48,KMC63_gp48,-,-,-,-,replication initiation protein,protein-coding,-,-,-,replication initiation protein,20210608,-
2681195,65068575,KMC63_gp49,KMC63_gp49,-,-,-,-,DNA replication helicase loader,protein-coding,-,-,-,DNA replication helicase loader,20210608,-
2681195,65068576,KMC63_gp50,KMC63_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068577,KMC63_gp51,KMC63_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2681195,65068578,KMC63_gp52,KMC63_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068579,KMC63_gp53,KMC63_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068580,KMC63_gp54,KMC63_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068581,KMC63_gp55,KMC63_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068582,KMC63_gp56,KMC63_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068583,KMC63_gp57,KMC63_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068584,KMC63_gp58,KMC63_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068585,KMC63_gp59,KMC63_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068586,KMC63_gp60,KMC63_gp60,-,-,-,-,dimeric dUTPase,protein-coding,-,-,-,dimeric dUTPase,20210609,-
2681195,65068587,KMC63_gp61,KMC63_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068588,KMC63_gp62,KMC63_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2681195,65068589,KMC63_gp63,KMC63_gp63,-,-,-,-,transcriptional activator,protein-coding,-,-,-,transcriptional activator,20210608,-
