#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
232237,2648346,Xp10p05,Xp10p05,-,-,-,-,predicted DNA-binding module,protein-coding,-,-,-,predicted DNA-binding module,20201220,-
232237,2648347,Xp10p49,Xp10p49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648348,Xp10p25,Xp10p25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648349,Xp10p23,Xp10p23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648350,Xp10p33,Xp10p33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648351,Xp10p26,Xp10p26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648352,Xp10p04,Xp10p04,-,-,-,-,N-terminal fragment of terminase large subunit,protein-coding,-,-,-,N-terminal fragment of terminase large subunit,20201220,-
232237,2648353,Xp10p51,Xp10p51,-,-,-,-,putative peptidase of the HslV family,protein-coding,-,-,-,putative peptidase of the HslV family,20201220,-
232237,2648354,Xp10p02,Xp10p02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648355,Xp10p37,Xp10p37,-,-,-,-,5'-exonuclease similar to N-terminal domains of DNA polymerase I,protein-coding,-,-,-,5'-exonuclease similar to N-terminal domains of DNA polymerase I,20201220,-
232237,2648356,Xp10p53,Xp10p53,-,-,-,-,internally deleted HNH exonuclease with predicted DNA-binding module in C-terminus,protein-coding,-,-,-,internally deleted HNH exonuclease with predicted DNA-binding module in C-terminus,20201220,-
232237,2648357,Xp10p09,Xp10p09,-,-,-,-,head protein; major capsid subunit precursor,protein-coding,-,-,-,head protein|major capsid subunit precursor,20201220,-
232237,2648358,Xp10p08,Xp10p08,-,-,-,-,protease of the ClpP family,protein-coding,-,-,-,protease of the ClpP family,20201220,-
232237,2648359,Xp10p24,Xp10p24,-,-,-,-,conserved phage protein,protein-coding,-,-,-,conserved phage protein,20201220,-
232237,2648360,Xp10p35,Xp10p35,-,-,-,-,exonuclease related to epsilon chain of DNA polymerase,protein-coding,-,-,-,exonuclease related to epsilon chain of DNA polymerase,20201220,-
