#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2653273,65122360,2,KNU76_gp02,SEA_JABBERWOCKY_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210608,-
2653273,65122361,3,KNU76_gp03,SEA_JABBERWOCKY_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122362,4,KNU76_gp04,SEA_JABBERWOCKY_4,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210608,-
2653273,65122363,5,KNU76_gp05,SEA_JABBERWOCKY_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122364,6,KNU76_gp06,SEA_JABBERWOCKY_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122365,7,KNU76_gp07,SEA_JABBERWOCKY_7,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210608,-
2653273,65122366,8,KNU76_gp08,SEA_JABBERWOCKY_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122367,9,KNU76_gp09,SEA_JABBERWOCKY_9,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210608,-
2653273,65122368,10,KNU76_gp10,SEA_JABBERWOCKY_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122369,11,KNU76_gp11,SEA_JABBERWOCKY_11,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210608,-
2653273,65122370,12,KNU76_gp12,SEA_JABBERWOCKY_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122371,13,KNU76_gp13,SEA_JABBERWOCKY_13,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210608,-
2653273,65122372,14,KNU76_gp14,SEA_JABBERWOCKY_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122373,15,KNU76_gp15,SEA_JABBERWOCKY_15,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210608,-
2653273,65122374,16,KNU76_gp16,SEA_JABBERWOCKY_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122375,17,KNU76_gp17,SEA_JABBERWOCKY_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122376,18,KNU76_gp18,SEA_JABBERWOCKY_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122377,19,KNU76_gp19,SEA_JABBERWOCKY_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
